fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
3240001025473_200_00,200,JPY,0,0,,3240001025473
3240001025473_220_00,220,JPY,0,0,,3240001025473
3240001025473_230_00,230,JPY,0,0,,3240001025473
3240001025473_240_00,240,JPY,0,0,,3240001025473
3240001025473_250_00,250,JPY,0,0,,3240001025473
3240001025473_260_00,260,JPY,0,0,,3240001025473
3240001025473_280_00,280,JPY,0,0,,3240001025473
3240001025473_290_00,290,JPY,0,0,,3240001025473
3240001025473_300_00,300,JPY,0,0,,3240001025473
3240001025473_310_00,310,JPY,0,0,,3240001025473
3240001025473_320_00,320,JPY,0,0,,3240001025473
3240001025473_340_00,340,JPY,0,0,,3240001025473
3240001025473_350_00,350,JPY,0,0,,3240001025473
3240001025473_360_00,360,JPY,0,0,,3240001025473
3240001025473_370_00,370,JPY,0,0,,3240001025473
3240001025473_400_00,400,JPY,0,0,,3240001025473
3240001025473_410_00,410,JPY,0,0,,3240001025473
3240001025473_430_00,430,JPY,0,0,,3240001025473
3240001025473_440_00,440,JPY,0,0,,3240001025473
3240001025473_460_00,460,JPY,0,0,,3240001025473
3240001025473_470_00,470,JPY,0,0,,3240001025473
3240001025473_490_00,490,JPY,0,0,,3240001025473
3240001025473_500_00,500,JPY,0,0,,3240001025473
3240001025473_540_00,540,JPY,0,0,,3240001025473
