fare_id,route_id,origin_id,destination_id,contains_id
3240001025473_200_00,3564786346,6040 2,6010 2,
3240001025473_200_00,3564786346,5830 2,5870 2,
3240001025473_200_00,3564786346,5830 2,5840 2,
3240001025473_200_00,3564786346,5870 2,5890 2,
3240001025473_200_00,3564786346,5870 2,5970 2,
3240001025473_200_00,3564786346,5860 2,5890 2,
3240001025473_200_00,3564786346,5800 2,5850 2,
3240001025473_200_00,3564786346,5920 2,5940 2,
3240001025473_200_00,3564786346,5810 2,5830 2,
3240001025473_200_00,3564786346,5850 2,5860 2,
3240001025473_200_00,3564786346,5780 4,5790 2,
3240001025473_200_00,3564786346,6030 2,5850 2,
3240001025473_200_00,3564786346,6020 1,6020 2,
3240001025473_200_00,3564786346,5840 2,5860 2,
3240001025473_200_00,3564786346,5900 2,5940 2,
3240001025473_200_00,3564786346,5910 2,5940 2,
3240001025473_200_00,3564786346,5880 2,5970 2,
3240001025473_200_00,3564786346,5880 2,5900 2,
3240001025473_200_00,3564786346,5880 2,5910 2,
3240001025473_200_00,3564786346,5880 2,5940 2,
3240001025473_200_00,3564786346,5940 2,5970 2,
3240001025473_200_00,3564786346,5690 2,6030 2,
3240001025473_200_00,3564786346,5700 2,5780 4,
3240001025473_200_00,3564786346,5890 2,5920 2,
3240001025473_200_00,3564786346,5890 2,5900 2,
3240001025473_200_00,3564786346,6010 2,6030 2,
3240001025473_200_00,3564786346,5980 2,6010 2,
3240001025473_200_00,3564786346,5980 2,5780 4,
3240001025473_200_00,3564786346,5800 2,5820 2,
3240001025473_200_00,3564786346,5920 2,5970 2,
3240001025473_200_00,3564786346,5810 2,5850 2,
3240001025473_200_00,3564786346,5820 2,5830 2,
3240001025473_200_00,3564786346,5850 2,5880 2,
3240001025473_200_00,3564786346,5990 2,6000 2,
3240001025473_200_00,3564786346,5780 4,5800 2,
3240001025473_200_00,3564786346,5780 4,5820 2,
3240001025473_200_00,3564786346,25180 2,5990 2,
3240001025473_200_00,3564786346,6030 2,5780 4,
3240001025473_200_00,3564786346,5900 2,5910 2,
3240001025473_200_00,3564786346,5910 2,5920 2,
3240001025473_200_00,3564786346,5910 2,5970 2,
3240001025473_200_00,3564786346,5790 2,5830 2,
3240001025473_200_00,3564786346,5880 2,5920 2,
3240001025473_200_00,3564786346,5940 2,5950 2,
3240001025473_200_00,3564786346,5800 1,6000 1,
3240001025473_200_00,3564786346,5800 1,6010 1,
3240001025473_200_00,3564786346,5900 1,5880 1,
3240001025473_200_00,3564786346,6000 1,5690 1,
3240001025473_200_00,3564786346,6000 1,5720 1,
3240001025473_200_00,3564786346,5840 1,5820 1,
3240001025473_200_00,3564786346,5840 1,5810 1,
3240001025473_200_00,3564786346,5940 1,5900 1,
3240001025473_200_00,3564786346,5940 1,5920 1,
3240001025473_200_00,3564786346,5790 1,6000 1,
3240001025473_200_00,3564786346,5810 1,6030 1,
3240001025473_200_00,3564786346,5920 1,5870 1,
3240001025473_200_00,3564786346,5960 1,5900 1,
3240001025473_200_00,3564786346,5720 1,5690 1,
3240001025473_200_00,3564786346,5880 1,5860 1,
3240001025473_200_00,3564786346,5880 1,5830 1,
3240001025473_200_00,3564786346,5980 1,5680 3,
3240001025473_200_00,3564786346,5910 1,5880 1,
3240001025473_200_00,3564786346,6030 1,6010 1,
3240001025473_200_00,3564786346,5850 1,5800 1,
3240001025473_200_00,3564786346,5890 1,5870 1,
3240001025473_200_00,3564786346,5970 1,5890 1,
3240001025473_200_00,3564786346,5790 1,6030 1,
3240001025473_200_00,3564786346,5810 1,6020 2,
3240001025473_200_00,3564786346,5870 1,5850 1,
3240001025473_200_00,3564786346,5870 1,5810 1,
3240001025473_200_00,3564786346,5870 1,5830 1,
3240001025473_200_00,3564786346,5920 1,5860 1,
3240001025473_200_00,3564786346,5880 1,5840 1,
3240001025473_200_00,3564786346,6040 2,6020 2,
3240001025473_200_00,3564786346,6040 2,6020 1,
3240001025473_200_00,3564786346,5890 2,5960 2,
3240001025473_200_00,3564786346,5890 2,5970 2,
3240001025473_200_00,3564786346,6010 2,6020 2,
3240001025473_200_00,3564786346,6010 2,5780 4,
3240001025473_200_00,3564786346,5870 2,5920 2,
3240001025473_200_00,3564786346,5850 2,5890 2,
3240001025473_200_00,3564786346,6030 2,5840 2,
3240001025473_200_00,3564786346,5840 2,5900 2,
3240001025473_200_00,3564786346,5900 2,5970 2,
3240001025473_200_00,3564786346,5910 2,5930 2,
3240001025473_200_00,3564786346,5910 2,5960 2,
3240001025473_200_00,3564786346,5690 2,6000 2,
3240001025473_200_00,3564786346,5920 2,5960 2,
3240001025473_200_00,3564786346,6020 2,5780 4,
3240001025473_200_00,3564786346,5990 2,6010 2,
3240001025473_200_00,3564786346,5930 2,5970 2,
3240001025473_200_00,3564786346,5680 2,6000 2,
3240001025473_200_00,3564786346,5790 2,5810 2,
3240001025473_200_00,3564786346,5950 1,5910 1,
3240001025473_200_00,3564786346,5800 1,5990 1,
3240001025473_200_00,3564786346,5800 1,5780 3,
3240001025473_200_00,3564786346,5990 1,5690 1,
3240001025473_200_00,3564786346,5900 1,5860 1,
3240001025473_200_00,3564786346,5900 1,5850 1,
3240001025473_200_00,3564786346,5900 1,5870 1,
3240001025473_200_00,3564786346,5860 1,5810 1,
3240001025473_200_00,3564786346,5780 3,5690 1,
3240001025473_200_00,3564786346,5780 3,5980 1,
3240001025473_200_00,3564786346,5840 1,5830 1,
3240001025473_200_00,3564786346,5940 1,5930 1,
3240001025473_200_00,3564786346,5850 1,5790 1,
3240001025473_200_00,3564786346,5790 1,5990 1,
3240001025473_200_00,3564786346,5790 1,5780 3,
3240001025473_200_00,3564786346,5960 1,5890 1,
3240001025473_200_00,3564786346,5830 1,5810 1,
3240001025473_200_00,3564786346,6020 1,5700 1,
3240001025473_200_00,3564786346,5720 1,5680 3,
3240001025473_200_00,3564786346,5930 1,5900 1,
3240001025473_200_00,3564786346,5950 1,5940 1,
3240001025473_200_00,3564786346,5800 1,6020 2,
3240001025473_200_00,3564786346,5800 1,5790 1,
3240001025473_200_00,3564786346,5910 1,5890 1,
3240001025473_200_00,3564786346,5820 1,5800 1,
3240001025473_200_00,3564786346,5970 1,5930 1,
3240001025473_200_00,3564786346,5790 1,6010 1,
3240001025473_200_00,3564786346,5870 1,5820 1,
3240001025473_200_00,3564786346,5920 1,5880 1,
3240001025473_200_00,3564786346,5960 1,5880 1,
3240001025473_200_00,3564786346,5880 1,5850 1,
3240001025473_200_00,3564786346,6040 2,5810 2,
3240001025473_200_00,3564786346,5820 2,5860 2,
3240001025473_200_00,3564786346,5850 2,5920 2,
3240001025473_200_00,3564786346,6030 2,5830 2,
3240001025473_200_00,3564786346,5930 2,5940 2,
3240001025473_200_00,3564786346,6020 1,5790 2,
3240001025473_200_00,3564786346,5900 2,5920 2,
3240001025473_200_00,3564786346,5860 2,5870 2,
3240001025473_200_00,3564786346,5980 2,5720 2,
3240001025473_200_00,3564786346,5800 2,5870 2,
3240001025473_200_00,3564786346,6020 2,6030 2,
3240001025473_200_00,3564786346,5990 2,5800 2,
3240001025473_200_00,3564786346,5990 2,5780 4,
3240001025473_200_00,3564786346,25180 2,5690 2,
3240001025473_200_00,3564786346,6030 2,5810 2,
3240001025473_200_00,3564786346,5680 2,5690 2,
3240001025473_200_00,3564786346,5900 2,5950 2,
3240001025473_200_00,3564786346,5880 2,5960 2,
3240001025473_200_00,3564786346,6000 1,5980 1,
