station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
29bb7ad9-5018-46b1-ac6b-de7c58d250a9,20df8c88-e74f-4762-81de-0416123dacd3,,,1,501,阿戸学校,
d1244cc3-13b0-4ab3-a947-a274e33e58e1,20df8c88-e74f-4762-81de-0416123dacd3,,,2,501,阿戸学校,
ce7ceed2-5fcd-44a5-b3c4-101d772e193f,20df8c88-e74f-4762-81de-0416123dacd3,,,3,501,阿戸学校,
c6a77c0a-fb24-4dca-b18c-11d4dd21420d,20df8c88-e74f-4762-81de-0416123dacd3,,,4,501,阿戸学校,
5d9b59f2-0b6b-4215-b4d3-562f5838448d,20df8c88-e74f-4762-81de-0416123dacd3,,,5,501,阿戸学校,
d38d0734-ba0e-4e4e-a9fd-fb917593d75e,20df8c88-e74f-4762-81de-0416123dacd3,,,6,501,阿戸学校,
4038f6eb-504e-41d5-a6fa-87e427998c54,20df8c88-e74f-4762-81de-0416123dacd3,,,7,501,阿戸学校,
c0f6741f-fcae-4447-9810-30a781dde981,20df8c88-e74f-4762-81de-0416123dacd3,,,8,501,阿戸学校,
4b762d91-3f5d-41ac-a66a-220fe02345a9,20df8c88-e74f-4762-81de-0416123dacd3,,,9,501,阿戸学校,
2c2decdb-fbb3-41e2-a6ee-7dfc1d398fbd,20df8c88-e74f-4762-81de-0416123dacd3,,,10,501,阿戸学校,
4c2f01d1-4d3c-4746-bd17-a38c0856a548,20df8c88-e74f-4762-81de-0416123dacd3,,,11,501,阿戸学校,
d6001caa-f8f7-4b34-89bc-9d733565ca00,20df8c88-e74f-4762-81de-0416123dacd3,,,12,501,阿戸学校,
ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,20df8c88-e74f-4762-81de-0416123dacd3,,,13,501,阿戸学校,
86380362-dfd6-4748-8570-605f92b07f28,20df8c88-e74f-4762-81de-0416123dacd3,,,14,501,阿戸学校,
5aec461b-5ec3-43a3-9c47-723eb1c0853d,20df8c88-e74f-4762-81de-0416123dacd3,,,15,501,阿戸学校,
