stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
25180 1,,火ノ原,,34.33266204,132.5672839,25180 1,,0,,,,
25180 2,,火ノ原,,34.3328703,132.5683758,25180 2,,0,,,,
5680 2,,熊野営業所,,34.3315706,132.5647423,5680 2,,0,,,,2
5680 3,,熊野営業所,,34.3316906,132.5647939,5680 3,,0,,,,
5690 1,,熊野川角,,34.33256208,132.5693504,5690 1,,0,,,,
5690 2,,熊野川角,,34.33286,132.5706697,5690 2,,0,,,,
5700 1,,出来庭,,34.3331,132.5744066,5700 1,,0,,,,
5700 2,,出来庭,,34.3332541,132.5741,5700 2,,0,,,,
5720 1,,中溝,,34.3355503,132.580523,5720 1,,0,,,,
5720 2,,中溝,,34.3357702,132.580627,5720 2,,0,,,,
5780 3,,熊野萩原,,34.3442745,132.5898836,5780 3,,0,,,,
5780 4,,熊野萩原,,34.34432785,132.5899981,5780 4,,0,,,,
5790 1,,庄賀地,,34.3464191,132.5909645,5790 1,,0,,,,
5790 2,,庄賀地,,34.3461445,132.5907309,5790 2,,0,,,,
5800 1,,下庄賀地,,34.3509603,132.592782,5800 1,,0,,,,
5800 2,,下庄賀地,,34.350995,132.5926691,5800 2,,0,,,,
5810 1,,初神,,34.3538997,132.5931658,5810 1,,0,,,,
5810 2,,初神,,34.3539514,132.5930624,5810 2,,0,,,,
5820 1,,下初神,,34.3562095,132.5960142,5820 1,,0,,,,
5820 2,,下初神,,34.356445,132.5962138,5820 2,,0,,,,
5830 1,,東初神,,34.3596082,132.5990904,5830 1,,0,,,,
5830 2,,東初神,,34.359585,132.5988988,5830 2,,0,,,,
5840 1,,西追分,,34.3604845,132.6003022,5840 1,,0,,,,
5840 2,,西追分,,34.3606611,132.6004113,5840 2,,0,,,,
5850 1,,追分,,34.3613391,132.6020126,5850 1,,0,,,,
5850 2,,追分,,34.3614236,132.6020057,5850 2,,0,,,,
5860 1,,東追分,,34.3629718,132.6063713,5860 1,,0,,,,
5860 2,,東追分,,34.3630506,132.6063305,5860 2,,0,,,,
5870 1,,加良地,,34.3643728,132.6096523,5870 1,,0,,,,
5870 2,,加良地,,34.3645981,132.6099327,5870 2,,0,,,,
5880 1,,西新宮,,34.3679564,132.6135211,5880 1,,0,,,,
5880 2,,西新宮,,34.3681258,132.6135105,5880 2,,0,,,,
5890 1,,新宮,,34.3688367,132.6152981,5890 1,,0,,,,
5890 2,,新宮,,34.3688923,132.6156181,5890 2,,0,,,,
5900 1,,東新宮,,34.3700747,132.6186208,5900 1,,0,,,,
5900 2,,東新宮,,34.3701262,132.6185359,5900 2,,0,,,,
5910 1,,海上側,,34.3719659,132.6214778,5910 1,,0,,,,
5910 2,,海上側,,34.3720921,132.6214856,5910 2,,0,,,,
5920 1,,国草,,34.3731808,132.624109,5920 1,,0,,,,
5920 2,,国草,,34.373252,132.6240502,5920 2,,0,,,,
5930 1,,山崎橋,,34.3748269,132.6261292,5930 1,,0,,,,
5930 2,,山崎橋,,34.3749152,132.6262387,5930 2,,0,,,,
5940 1,,阿戸,,34.3784417,132.6285388,5940 1,,0,,,,
5940 2,,阿戸,,34.3790759,132.6287181,5940 2,,0,,,,
5950 1,,阿戸出張所,,34.3807924,132.6282428,5950 1,,0,,,,
5950 2,,阿戸出張所,,34.3806883,132.6282279,5950 2,,0,,,,
5960 1,,長戸路橋,,34.3818489,132.6267552,5960 1,,0,,,,
5960 2,,長戸路橋,,34.3816834,132.6268073,5960 2,,0,,,,
5970 1,,阿戸学校,,34.3841076,132.625798,5970 1,,0,,,,
5970 2,,阿戸学校,,34.3840748,132.6257408,5970 2,,0,,,,
5980 1,,熊野中筋,,34.33436,132.5784028,5980 1,,0,,,,
5980 2,,熊野中筋,,34.3347133,132.5787542,5980 2,,0,,,,
5990 1,,熊野町役場前,,34.3366481,132.5836028,5990 1,,0,,,,
5990 2,,熊野町役場前,,34.3371047,132.5844989,5990 2,,0,,,,
6000 1,,熊野保育所前,,34.3379124,132.5858032,6000 1,,0,,,,
6000 2,,熊野保育所前,,34.3377424,132.585475,6000 2,,0,,,,
6010 1,,萩原下,,34.3388658,132.5889317,6010 1,,0,,,,
6010 2,,萩原下,,34.3390551,132.5895812,6010 2,,0,,,,
6020 1,,熊野馬場（熊野営業所方面),,34.34009499,132.5912649,6020 1,,0,,,,
6020 2,,熊野馬場（阿戸学校方面),,34.3401339,132.5911504,6020 2,,0,,,,
6030 1,,熊野消防署前,,34.342197,132.5901623,6030 1,,0,,,,
6030 2,,熊野消防署前,,34.3424258,132.5899198,6030 2,,0,,,,
6040 1,,フジ熊野店,,34.342161447363487936942,132.5917980723054486108472,6040 1,,0,,,,
6040 2,,フジ熊野店,,34.342161447363487936942,132.5917980723054486108472,6040 2,,0,,,,
