stop_id,direction
25180 1,熊野方面
25180 2,阿戸方面
5680 2,阿戸方面
5680 3,熊野方面
5690 1,熊野方面
5690 2,阿戸方面
5700 1,熊野方面
5700 2,阿戸方面
5720 1,熊野方面
5720 2,阿戸方面
5780 3,熊野方面
5780 4,阿戸方面
5790 1,熊野方面
5790 2,阿戸方面
5800 1,熊野方面
5800 2,阿戸方面
5810 1,熊野方面
5810 2,阿戸方面
5820 1,熊野方面
5820 2,阿戸方面
5830 1,熊野方面
5830 2,阿戸方面
5840 1,熊野方面
5840 2,阿戸方面
5850 1,熊野方面
5850 2,阿戸方面
5860 1,熊野方面
5860 2,阿戸方面
5870 1,熊野方面
5870 2,阿戸方面
5880 1,熊野方面
5880 2,阿戸方面
5890 1,熊野方面
5890 2,阿戸方面
5900 1,熊野方面
5900 2,阿戸方面
5910 1,熊野方面
5910 2,阿戸方面
5920 1,熊野方面
5920 2,阿戸方面
5930 1,熊野方面
5930 2,阿戸方面
5940 1,熊野方面
5940 2,阿戸方面
5950 1,熊野方面
5950 2,阿戸方面
5960 1,熊野方面
5960 2,阿戸方面
5970 1,熊野方面
5970 2,阿戸方面
5980 1,熊野方面
5980 2,阿戸方面
5990 1,熊野方面
5990 2,阿戸方面
6000 1,熊野方面
6000 2,阿戸方面
6010 1,熊野方面
6010 2,阿戸方面
6020 1,熊野方面
6020 2,阿戸方面
6030 1,熊野方面
6030 2,阿戸方面
6040 1,
6040 2,阿戸方面
