table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja,朝日交通,3240001025473,,
agency,agency_name,ja-Hrkt,アサヒコウツウ,3240001025473,,
stops,stop_name,ja,火ノ原,25180 1,,
stops,stop_name,ja-Hrkt,ひのはら,25180 1,,
stops,stop_name,en,Hinohara,25180 1,,
stops,stop_name,ko,히노하라,25180 1,,
stops,stop_name,zh-cn,火之原,25180 1,,
stops,stop_name,zh-tw,火之原,25180 1,,
stops,stop_name,ja,火ノ原,25180 2,,
stops,stop_name,ja-Hrkt,ひのはら,25180 2,,
stops,stop_name,en,Hinohara,25180 2,,
stops,stop_name,ko,히노하라,25180 2,,
stops,stop_name,zh-cn,火之原,25180 2,,
stops,stop_name,zh-tw,火之原,25180 2,,
stops,stop_name,ja,熊野営業所,5680 2,,
stops,stop_name,ja-Hrkt,くまのえいぎょうしょ,5680 2,,
stops,stop_name,en,Kumano Eigyosho,5680 2,,
stops,stop_name,ko,구마노 영업소,5680 2,,
stops,stop_name,zh-cn,熊野营业所,5680 2,,
stops,stop_name,zh-tw,熊野營業所,5680 2,,
stops,stop_name,ja,熊野営業所,5680 3,,
stops,stop_name,ja-Hrkt,くまのえいぎょうしょ,5680 3,,
stops,stop_name,en,Kumano Eigyosho,5680 3,,
stops,stop_name,ko,구마노 영업소,5680 3,,
stops,stop_name,zh-cn,熊野营业所,5680 3,,
stops,stop_name,zh-tw,熊野營業所,5680 3,,
stops,stop_name,ja,熊野川角,5690 1,,
stops,stop_name,ja-Hrkt,くまのかわすみ,5690 1,,
stops,stop_name,en,Kumano Kawasumi,5690 1,,
stops,stop_name,ko,구마노 카와스미,5690 1,,
stops,stop_name,zh-cn,熊野川角,5690 1,,
stops,stop_name,zh-tw,熊野川角,5690 1,,
stops,stop_name,ja,熊野川角,5690 2,,
stops,stop_name,ja-Hrkt,くまのかわすみ,5690 2,,
stops,stop_name,en,Kumano Kawasumi,5690 2,,
stops,stop_name,ko,구마노 카와스미,5690 2,,
stops,stop_name,zh-cn,熊野川角,5690 2,,
stops,stop_name,zh-tw,熊野川角,5690 2,,
stops,stop_name,ja,出来庭,5700 1,,
stops,stop_name,ja-Hrkt,できにわ,5700 1,,
stops,stop_name,en,Dekiniwa,5700 1,,
stops,stop_name,ko,데키니와,5700 1,,
stops,stop_name,zh-cn,出来庭,5700 1,,
stops,stop_name,zh-tw,出來庭,5700 1,,
stops,stop_name,ja,出来庭,5700 2,,
stops,stop_name,ja-Hrkt,できにわ,5700 2,,
stops,stop_name,en,Dekiniwa,5700 2,,
stops,stop_name,ko,데키니와,5700 2,,
stops,stop_name,zh-cn,出来庭,5700 2,,
stops,stop_name,zh-tw,出來庭,5700 2,,
stops,stop_name,ja,中溝,5720 1,,
stops,stop_name,ja-Hrkt,なかみぞ,5720 1,,
stops,stop_name,en,Nakamizo,5720 1,,
stops,stop_name,ko,나카미조,5720 1,,
stops,stop_name,zh-cn,中沟,5720 1,,
stops,stop_name,zh-tw,中溝,5720 1,,
stops,stop_name,ja,中溝,5720 2,,
stops,stop_name,ja-Hrkt,なかみぞ,5720 2,,
stops,stop_name,en,Nakamizo,5720 2,,
stops,stop_name,ko,나카미조,5720 2,,
stops,stop_name,zh-cn,中沟,5720 2,,
