table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
agency,agency_name,ja,朝日交通,3240001025473,,,,
agency,agency_name,ja-Hrkt,アサヒコウツウ,3240001025473,,,,
stops,stop_name,ja,火ノ原,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,ja-Hrkt,ひのはら,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,en,Hinohara,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,ko,히노하라,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,zh-cn,火之原,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,zh-tw,火之原,25180 1,,,ef436e5a-c9e2-4b1a-9322-8c91f4d188d5,
stops,stop_name,ja,火ノ原,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,ja-Hrkt,ひのはら,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,en,Hinohara,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,ko,히노하라,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,zh-cn,火之原,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,zh-tw,火之原,25180 2,,,d1244cc3-13b0-4ab3-a947-a274e33e58e1,
stops,stop_name,ja,熊野営業所,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,ja-Hrkt,くまのえいぎょうしょ,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,en,Kumano Eigyosho,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,ko,구마노 영업소,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,zh-cn,熊野营业所,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,zh-tw,熊野營業所,5680 2,,,29bb7ad9-5018-46b1-ac6b-de7c58d250a9,
stops,stop_name,ja,熊野営業所,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,ja-Hrkt,くまのえいぎょうしょ,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,en,Kumano Eigyosho,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,ko,구마노 영업소,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,zh-cn,熊野营业所,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,zh-tw,熊野營業所,5680 3,,,599f171f-2d07-4050-85de-e8eabebe769c,
stops,stop_name,ja,熊野川角,5690 1,,,623dee99-6bc0-4698-ad61-6796b7090ef1,
stops,stop_name,ja-Hrkt,くまのかわすみ,5690 1,,,623dee99-6bc0-4698-ad61-6796b7090ef1,
stops,stop_name,en,Kumano Kawasumi,5690 1,,,623dee99-6bc0-4698-ad61-6796b7090ef1,
stops,stop_name,ko,구마노 카와스미,5690 1,,,623dee99-6bc0-4698-ad61-6796b7090ef1,
