daiya_sid,bin_no,course_sid
c1975b09-92cb-4e5e-b2e9-2a4b0d3079f2,5,2b3e545f-5f03-4414-bb56-9e7920cc2a05
e1732993-0791-424b-9dbe-3bdbd06440ac,1,2b3e545f-5f03-4414-bb56-9e7920cc2a05
5602f7f3-4c20-4659-94e3-47e62e21ac1d,5,2b3e545f-5f03-4414-bb56-9e7920cc2a05
c2acb05c-5390-4af5-b1ba-4c2c1bf135f5,3,2b3e545f-5f03-4414-bb56-9e7920cc2a05
22791d0f-64d9-40fa-96c8-6c39ae0ad3fb,2,2b3e545f-5f03-4414-bb56-9e7920cc2a05
3002bc09-ec4c-4f84-bf84-6c99fcc2a520,4,2b3e545f-5f03-4414-bb56-9e7920cc2a05
3d61d292-0690-4bb2-a90b-6d93eeb4ad91,4,2b3e545f-5f03-4414-bb56-9e7920cc2a05
4796227e-5cd5-457f-a8f6-5f4b2178ccf7,1,2b3e545f-5f03-4414-bb56-9e7920cc2a05
b1de9495-3ccb-4f6c-8905-7454d7e0f54c,3,2b3e545f-5f03-4414-bb56-9e7920cc2a05
9bf6bbc7-403f-443d-af89-887615a8ac79,3,2b3e545f-5f03-4414-bb56-9e7920cc2a05
abec5e73-6a35-4559-be42-a4c316812372,2,2b3e545f-5f03-4414-bb56-9e7920cc2a05
81775f6b-cb69-4e53-b9a0-ca6c6f91f6f7,2,2b3e545f-5f03-4414-bb56-9e7920cc2a05
2ccf68cb-d89c-41ee-be7d-e641c49f7ff2,4,2b3e545f-5f03-4414-bb56-9e7920cc2a05
8d816c0b-6739-46ce-9769-f9c9ad10d442,1,2b3e545f-5f03-4414-bb56-9e7920cc2a05
143912cb-2e26-4fc7-b43e-b9aef3d36b01,3,cf8b1c8d-8154-4986-98bf-a46b24b4134e
2235f20f-8a93-4f04-a9db-bb40ae974b27,4,cf8b1c8d-8154-4986-98bf-a46b24b4134e
e2047d86-a67a-4ac7-b138-bf8da002f8a9,1,cf8b1c8d-8154-4986-98bf-a46b24b4134e
b33d3129-4b9c-4a61-9285-e4c91d2762f8,8,cf8b1c8d-8154-4986-98bf-a46b24b4134e
82a15010-f16d-4ce6-bdc4-cc333be17b07,5,cf8b1c8d-8154-4986-98bf-a46b24b4134e
7cab85d2-41b3-4ed7-8dc6-a7b76b5c95e1,1,cf8b1c8d-8154-4986-98bf-a46b24b4134e
d6bd9efb-2b3f-4b70-a2cc-7f11867ed90a,5,cf8b1c8d-8154-4986-98bf-a46b24b4134e
b0ab7ab6-dd0a-4227-b853-8371ab4c2d5f,3,cf8b1c8d-8154-4986-98bf-a46b24b4134e
d7081349-be26-4330-b811-537953ec0302,4,cf8b1c8d-8154-4986-98bf-a46b24b4134e
81ff27e2-42b9-4897-a0d3-539bf3e0df63,4,cf8b1c8d-8154-4986-98bf-a46b24b4134e
172b58c2-2e31-47b0-b627-5dc099f96f02,2,cf8b1c8d-8154-4986-98bf-a46b24b4134e
7c55f4d3-9509-4e4d-9ff7-5f1ea5bf8ba0,1,cf8b1c8d-8154-4986-98bf-a46b24b4134e
2b6151b9-12cf-4706-8c29-3ca952d19c74,3,cf8b1c8d-8154-4986-98bf-a46b24b4134e
a53e2f24-47e2-440c-afd4-4155d95d5e89,6,cf8b1c8d-8154-4986-98bf-a46b24b4134e
311f42e9-dda0-42ee-bb4b-34ddfc8136fd,2,cf8b1c8d-8154-4986-98bf-a46b24b4134e
155ba965-6f94-4de3-8e6c-277a146f2e1e,2,cf8b1c8d-8154-4986-98bf-a46b24b4134e
20df8c88-e74f-4762-81de-0416123dacd3,7,cf8b1c8d-8154-4986-98bf-a46b24b4134e
7c9ba561-e17a-4139-8173-1e3c050376a8,5,cf8b1c8d-8154-4986-98bf-a46b24b4134e
ea55f669-1f9a-448b-9510-21b0afd63b26,2,bd17c974-a36d-4234-a61d-c2f47276be0a
a80a5e9c-f615-4f83-9a88-23f13a14ad73,8,bd17c974-a36d-4234-a61d-c2f47276be0a
58fee34f-4910-4cd6-8115-23f4b4aa9e44,5,bd17c974-a36d-4234-a61d-c2f47276be0a
08c41525-3cab-4bc1-91ee-05ad43e0e375,3,bd17c974-a36d-4234-a61d-c2f47276be0a
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,1,bd17c974-a36d-4234-a61d-c2f47276be0a
dc897b67-97ff-4c09-b87e-29c8680cd605,5,bd17c974-a36d-4234-a61d-c2f47276be0a
d27c9754-3b8c-4d48-8ffc-370c646c06ee,1,bd17c974-a36d-4234-a61d-c2f47276be0a
fd1a4bf0-8c53-4f44-b057-4ef8facbefdd,4,bd17c974-a36d-4234-a61d-c2f47276be0a
da1cf7ac-c18a-40fd-898f-7cc4e056e063,4,bd17c974-a36d-4234-a61d-c2f47276be0a
ece33ee6-7711-44dc-8826-617049bc0a3a,3,bd17c974-a36d-4234-a61d-c2f47276be0a
4f6c69af-bbc0-4864-8320-6ebdf2d7db7e,5,bd17c974-a36d-4234-a61d-c2f47276be0a
7680d02d-7a14-4243-8d62-a01b98a815a4,3,bd17c974-a36d-4234-a61d-c2f47276be0a
53a54413-44cc-4fb6-915e-a42a98329e23,1,bd17c974-a36d-4234-a61d-c2f47276be0a
33bd0c20-8d49-4530-a8ac-8dae3376325e,2,bd17c974-a36d-4234-a61d-c2f47276be0a
b5bff0ad-7a49-4cf6-9494-9099cf71048c,2,bd17c974-a36d-4234-a61d-c2f47276be0a
c8dc40ec-9843-4956-b276-b30d0d2f394b,7,bd17c974-a36d-4234-a61d-c2f47276be0a
969b034d-ba07-4345-93dd-6716f08f8ef1,6,bd17c974-a36d-4234-a61d-c2f47276be0a
e640f17b-05ed-477b-ba1b-f5781701fee3,4,bd17c974-a36d-4234-a61d-c2f47276be0a
cae1d584-4f87-4012-a84d-ed0ca692b135,4,ad6e8d04-1c5c-4729-b68e-e1b1a1570997
2ec93927-561c-45ef-8333-f2e8a35c887d,4,ad6e8d04-1c5c-4729-b68e-e1b1a1570997
a7b332e3-e08d-4141-bddc-f3b38306580d,4,ad6e8d04-1c5c-4729-b68e-e1b1a1570997
9fd051de-343b-4add-862f-a72063ec3e6c,2,ad6e8d04-1c5c-4729-b68e-e1b1a1570997
d32c5435-f8c8-4925-863b-d8c134560431,5,ad6e8d04-1c5c-4729-b68e-e1b1a1570997
