daiya_sid,bin_no,course_sid
05251c1e-40d4-4684-87a5-25093a658198,3,e0941658-b99f-48d1-81b2-029fe1e89384
2f052c85-e0de-456a-927a-38e8013036be,1,e0941658-b99f-48d1-81b2-029fe1e89384
5d428ba4-32d5-4922-ae29-9472a4ce8a5b,2,e0941658-b99f-48d1-81b2-029fe1e89384
96ff756c-40e8-4e85-bb32-cca694934445,2,e0941658-b99f-48d1-81b2-029fe1e89384
09f5cd94-9118-4502-a34e-d885c783ec65,2,e0941658-b99f-48d1-81b2-029fe1e89384
a445ff83-840f-4611-8c47-45f806d1e6da,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
d0c971c3-881f-40a8-a51d-35f85bdb05cd,3,679fb861-177f-4f73-ab5a-056c44a7d52d
0eb8e79a-535c-4c28-bd74-49172af9a90e,1,679fb861-177f-4f73-ab5a-056c44a7d52d
4202e4bd-f8c3-4442-ba5f-a3a686623b7d,4,679fb861-177f-4f73-ab5a-056c44a7d52d
6883ad96-77e9-476a-83ec-f3424cbc7e6f,2,679fb861-177f-4f73-ab5a-056c44a7d52d
9de987a5-cefa-4bb5-a0bb-9afdc9a599ee,2,9d2688a0-6f79-47e4-b91a-05cac37109db
5b20007b-9be1-4632-b405-9f8dd515d6d7,1,9d2688a0-6f79-47e4-b91a-05cac37109db
0f2c7df6-5f17-4fcf-9b5b-78729f5fd6e8,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
b7c21372-bb86-4713-8968-8ed98fcd92a0,1,09ededdf-e96a-401c-8a6e-106582091f83
70144398-9a5d-4f0c-8423-d2b17fd0ff4e,1,7af3871f-6e4f-49fe-888e-110298632087
47b51bfd-5cf0-4539-817f-9f4135a2e049,1,6913486c-5f3b-47a0-b048-11519caf42aa
51dbef52-b422-4029-b331-efe8fc3b40d0,2,6913486c-5f3b-47a0-b048-11519caf42aa
0d8ca190-c98f-4b2d-b180-a2742877a948,1,18fa4c21-dadb-431b-9302-12f3cc310ce0
55181b99-cdc1-4de1-a627-b16ce7a46973,1,8e800e1f-d933-45ba-b62b-14d0721c6544
19324461-f3fe-4062-8d7e-f0a57fa8b00e,2,8e800e1f-d933-45ba-b62b-14d0721c6544
29308843-fb16-467a-911f-848cfeb98a57,1,8e800e1f-d933-45ba-b62b-14d0721c6544
6590929c-0e40-4710-af29-0d5b2e348c76,1,8e800e1f-d933-45ba-b62b-14d0721c6544
43657a87-395d-467f-8794-c59b45040212,2,e5446d03-4b87-4e20-9c2c-196c86a05406
0d831000-5b1a-4518-add3-c8d7c6abd7c7,1,e5446d03-4b87-4e20-9c2c-196c86a05406
a56d37c3-be33-4c35-9ad1-f13ab7be180c,2,e5446d03-4b87-4e20-9c2c-196c86a05406
3c2e65cd-7f9f-4631-abde-95473f3467d9,2,e5446d03-4b87-4e20-9c2c-196c86a05406
4a8a3d2a-436f-475a-ad45-1166897d3f66,1,3cbf6362-e5d7-4b44-b63e-1b50a291a9e7
3cb4c97e-3a6c-4521-8988-ee515ba38ab4,1,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
201be31c-627b-495f-a779-e615918313b1,3,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
92aef150-4d37-4280-92ee-b027b71000ac,2,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
df247d2b-1ba5-45ed-9362-aac052d07eb1,1,29920ace-bc93-4b8f-bf51-2356743c1c54
6a68f032-b0a0-4351-93fc-d1793745ba25,1,64eed813-73a9-4d12-b87c-23de8ea34c07
13160147-5208-4bc7-aa65-fd58dc2c3788,3,64eed813-73a9-4d12-b87c-23de8ea34c07
37e3a57c-6c3f-412a-8b34-84043eb2eeb3,6,64eed813-73a9-4d12-b87c-23de8ea34c07
c2c361b1-823d-4631-93d0-05b4a18971c7,4,64eed813-73a9-4d12-b87c-23de8ea34c07
2d98066d-cdaa-47d3-8d57-075574e8f2b9,2,64eed813-73a9-4d12-b87c-23de8ea34c07
d706fa99-ade4-4394-bdf2-232de1a951e5,5,64eed813-73a9-4d12-b87c-23de8ea34c07
8165c86c-8911-4ee3-95ec-138451476a59,2,95bd9670-e784-4f50-bb4b-2505abdf4885
5ece90ee-3b0a-4861-bf20-4d3e5eb72f04,1,95bd9670-e784-4f50-bb4b-2505abdf4885
50f0ac60-5b0c-478a-8e58-0ad0b3a710cb,1,2889effb-2231-4952-86a3-25dd839329ca
fb75bb95-02a7-4eb7-bc7a-071e7269c6c0,2,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
5b289706-8651-47d1-8d70-02a8809acb72,4,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
a6355b6b-8720-4ff1-bb6a-21a9c59b9754,1,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
88162cb4-f809-4fce-90b5-536ac212375e,3,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
3025fe6f-d536-40ae-8cfa-92098db9275f,1,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
54b1d593-45cd-425e-a67c-9fa98269a0ec,5,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
b86806d7-249e-4153-aadb-a91a84bb942c,1,9b37d007-0688-4ed3-8da3-28e4e8ed22b9
7ee6957a-47e9-4d03-af19-96093a20d504,3,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
8b983137-3ba4-4687-a7c3-97c81a8266c3,2,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
76f1c7c5-ed77-4b68-9519-b0395406442e,11,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
7da33b15-a8e5-4b98-bc3c-b4e6b7a25b2f,3,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
f3421d14-f0ee-43d4-8d54-ce770da24753,5,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
3ecfcbed-e857-4f37-9bf0-ca1407b92fdd,6,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
3e8cf48f-8489-4710-8e2f-c5b8d6b06d64,6,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
3b0eb9b5-dc23-4661-883c-e86f4811b33a,9,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
7562241e-1f5e-44b2-9533-eb7f9406ff2f,8,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
db3c7ffa-ae32-41d1-ae7c-ece266dfcea4,1,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
e71cd89e-7bc4-4f24-9b9f-f3229051414d,4,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
580ffc46-f9df-486d-9bd4-ef242178645b,8,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
9b8c46ff-a9c0-4586-a983-92b3f77e6efe,8,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
59197a19-43f7-4ba9-9b91-89c6c1ea7ab2,2,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
0abb37f9-fb52-462c-a23e-89d45ffadabd,7,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
e986ef49-4625-4748-89f4-89daecfa60e8,7,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
59a35c7d-9ad4-4626-afdb-8b1d47d3dae5,4,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
40c3482a-9b64-457c-8122-7ed451bcb19d,10,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
386805af-f8d2-4042-90b9-7fccd206717e,9,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
93dffa57-c520-4500-8249-74cf62001aab,11,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
d1437c0b-18c7-42a1-bcd5-517b976af916,10,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
84ececcf-c474-4f93-ba22-4c9fc2be63a9,11,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
d975bdff-a0f7-4ebf-a3e5-5d7b5409fba5,10,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
f072a8fa-77eb-4f11-a78e-61529bba6a65,4,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
8248feb1-b738-4e36-9b7a-617a99af074d,12,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
6ddbd08d-fe8c-40b5-adfb-44722b1197fa,1,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
8a6be3c6-5e42-424b-9e57-37f3a7232d91,6,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
9c218c15-7e6a-4be0-94fc-3a816c9bc9c7,2,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
ee0df189-2f02-41d4-adac-2f6a4d76f434,1,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
f3e22445-5f8a-4362-a740-25a05dc81f8d,9,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
80e3f801-4279-471d-8873-05dd82c5a70b,3,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
7371c846-7956-4ad6-866d-0ae5ec797527,7,0068e81a-b7a2-49c5-ab1f-295c90f36bf6
82336b8c-bf57-4cbb-923b-2cf004d5061b,1,cb5574c5-c864-4397-a6b0-2b1bfb6a4603
b46beb56-8c46-4a96-aa40-68d0a7e8adf3,2,cb5574c5-c864-4397-a6b0-2b1bfb6a4603
15b7fc9a-cb18-431a-a27b-5ccb8ca31b68,1,bedc442d-896f-4e25-ab7d-2baf53574c94
9b028de4-97d2-4b2e-b8f6-30f1e5c02b52,1,bedc442d-896f-4e25-ab7d-2baf53574c94
9d2ddcd4-a80f-4ac8-ba97-0a87407742c2,1,bedc442d-896f-4e25-ab7d-2baf53574c94
d1a89ebb-0677-4531-b0b9-1eb6e16bb8a0,1,208f6390-7b31-4e37-a282-2d264066f9f7
