"service_id","date","exception_type"
"1_1384_20260401","20260429","2"
"1_1386_20260401","20260429","1"
"1_1384_20260401","20260504","2"
"1_1386_20260401","20260504","1"
"1_1384_20260401","20260505","2"
"1_1386_20260401","20260505","1"
"1_1384_20260401","20260506","2"
"1_1386_20260401","20260506","1"
"1_1384_20260401","20260720","2"
"1_1386_20260401","20260720","1"
"1_1384_20260401","20260811","2"
"1_1386_20260401","20260811","1"
"1_1384_20260401","20260813","2"
"1_1386_20260401","20260813","1"
"1_1384_20260401","20260814","2"
"1_1386_20260401","20260814","1"
"1_1385_20260401","20260815","2"
"1_1386_20260401","20260815","1"
"2_1387_20260401","20260429","2"
"2_1390_20260401","20260429","1"
"2_1387_20260401","20260504","2"
"2_1390_20260401","20260504","1"
"2_1387_20260401","20260505","2"
"2_1390_20260401","20260505","1"
"2_1387_20260401","20260506","2"
"2_1390_20260401","20260506","1"
"2_1387_20260401","20260720","2"
"2_1390_20260401","20260720","1"
"2_1387_20260401","20260811","2"
"2_1390_20260401","20260811","1"
"2_1387_20260401","20260813","2"
"2_1390_20260401","20260813","1"
"2_1387_20260401","20260814","2"
"2_1390_20260401","20260814","1"
"2_1388_20260401","20260815","2"
"2_1390_20260401","20260815","1"
"3_1391_20260401","20260429","2"
"3_1393_20260401","20260429","1"
"3_1391_20260401","20260504","2"
"3_1393_20260401","20260504","1"
"3_1391_20260401","20260505","2"
"3_1393_20260401","20260505","1"
"3_1391_20260401","20260506","2"
"3_1393_20260401","20260506","1"
"3_1391_20260401","20260720","2"
"3_1393_20260401","20260720","1"
"3_1391_20260401","20260811","2"
"3_1393_20260401","20260811","1"
"3_1391_20260401","20260813","2"
"3_1393_20260401","20260813","1"
"3_1391_20260401","20260814","2"
"3_1393_20260401","20260814","1"
"3_1392_20260401","20260815","2"
"3_1393_20260401","20260815","1"
"4_1394_20260401","20260429","2"
"4_1396_20260401","20260429","1"
"4_1394_20260401","20260504","2"
"4_1396_20260401","20260504","1"
"4_1394_20260401","20260505","2"
"4_1396_20260401","20260505","1"
"4_1394_20260401","20260506","2"
"4_1396_20260401","20260506","1"
"4_1394_20260401","20260720","2"
"4_1396_20260401","20260720","1"
"4_1394_20260401","20260811","2"
"4_1396_20260401","20260811","1"
"4_1394_20260401","20260813","2"
"4_1396_20260401","20260813","1"
"4_1394_20260401","20260814","2"
"4_1396_20260401","20260814","1"
"4_1395_20260401","20260815","2"
"4_1396_20260401","20260815","1"
