"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"1_34_190_20260401","190","JPY","0","0",
"1_34_210_20260401","210","JPY","0","0",
"1_34_220_20260401","220","JPY","0","0",
"1_34_230_20260401","230","JPY","0","0",
"1_34_240_20260401","240","JPY","0","0",
"1_34_250_20260401","250","JPY","0","0",
"1_34_260_20260401","260","JPY","0","0",
"1_34_270_20260401","270","JPY","0","0",
"1_34_280_20260401","280","JPY","0","0",
"1_34_290_20260401","290","JPY","0","0",
"1_34_300_20260401","300","JPY","0","0",
"1_34_310_20260401","310","JPY","0","0",
"1_34_320_20260401","320","JPY","0","0",
"1_34_330_20260401","330","JPY","0","0",
"1_34_340_20260401","340","JPY","0","0",
"1_34_350_20260401","350","JPY","0","0",
"1_34_360_20260401","360","JPY","0","0",
"1_34_370_20260401","370","JPY","0","0",
"1_34_380_20260401","380","JPY","0","0",
"1_34_390_20260401","390","JPY","0","0",
"1_34_400_20260401","400","JPY","0","0",
"1_34_410_20260401","410","JPY","0","0",
"1_34_420_20260401","420","JPY","0","0",
"1_34_430_20260401","430","JPY","0","0",
"1_34_440_20260401","440","JPY","0","0",
"1_34_450_20260401","450","JPY","0","0",
"1_34_460_20260401","460","JPY","0","0",
"1_34_470_20260401","470","JPY","0","0",
"1_34_480_20260401","480","JPY","0","0",
"1_34_490_20260401","490","JPY","0","0",
"1_34_500_20260401","500","JPY","0","0",
"1_34_510_20260401","510","JPY","0","0",
"1_34_520_20260401","520","JPY","0","0",
"1_34_530_20260401","530","JPY","0","0",
"1_34_540_20260401","540","JPY","0","0",
"1_34_550_20260401","550","JPY","0","0",
"1_34_570_20260401","570","JPY","0","0",
"1_34_580_20260401","580","JPY","0","0",
"1_34_590_20260401","590","JPY","0","0",
"1_34_600_20260401","600","JPY","0","0",
"1_34_610_20260401","610","JPY","0","0",
"1_34_620_20260401","620","JPY","0","0",
"1_34_630_20260401","630","JPY","0","0",
"1_34_640_20260401","640","JPY","0","0",
"1_34_650_20260401","650","JPY","0","0",
"1_34_660_20260401","660","JPY","0","0",
"1_34_670_20260401","670","JPY","0","0",
"1_34_680_20260401","680","JPY","0","0",
"1_34_690_20260401","690","JPY","0","0",
