"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"1_34_20260401","20260401",,,
"1_41_20260401","20260401",,,
"1_47_20260401","20260401",,,
"1_49_20260401","20260401",,,
"1_62_20260401","20260401",,,
"1_64_20260401","20260401",,,
"1_67_20260401","20260401",,,
"1_72_20260401","20260401",,,
"1_73_20260401","20260401",,,
"1_79_20260401","20260401",,,
"1_80_20260401","20260401",,,
"1_81_20260401","20260401",,,
"1_84_20260401","20260401",,,
"1_86_20260401","20260401",,,
"1_87_20260401","20260401",,,
"1_88_20260401","20260401",,,
"1_89_20260401","20260401",,,
"1_91_20260401","20260401",,,
"1_95_20260401","20260401",,,
"1_98_20260401","20260401",,,
"1_101_20260401","20260401",,,
"1_102_20260401","20260401",,,
"1_103_20260401","20260401",,,
"1_104_20260401","20260401",,,
"1_108_20260401","20260401",,,
"1_110_20260401","20260401",,,
"1_111_20260401","20260401",,,
"1_121_20260401","20260401",,,
"1_125_20260401","20260401",,,
"3_138_20260401","20260401",,,
"1_146_20260401","20260401",,,
"1_148_20260401","20260401",,,
"1_163_20260401","20260401",,,
"1_166_20260401","20260401",,,
"1_168_20260401","20260401",,,
"1_179_20260401","20260401",,,
"1_215_20260401","20260401",,,
"1_501_20260401","20260401",,,
"1_605_20260401","20260401",,,
