"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"2_3",,"十三軒屋","十三軒屋　下り","34.550587","133.35791","2_3",,"0",,,,
"2_4",,"十三軒屋","十三軒屋　上り","34.55066","133.35805","2_4",,"0",,,,
"3_5",,"十九軒屋","十九軒屋　下り","34.54639","133.36145","3_5",,"0",,,,
"3_6",,"十九軒屋","十九軒屋　上り","34.546257","133.3618","3_6",,"0",,,,
"4_7",,"６番通り","６番通り　下り","34.506275","133.36104","4_7",,"0",,,,
"5_9",,"八軒屋","八軒屋　下り","34.559113","133.34952","5_9",,"0",,,,
"5_10",,"八軒屋","八軒屋　上り","34.559204","133.34961","5_10",,"0",,,,
"10_19",,"青葉台一丁目","青葉台一丁目　下り","34.51281","133.42853","10_19",,"0",,,,
"13_25",,"曙公園入口","曙公園入口　上り","34.472137","133.4052","13_25",,"0",,,,
"14_28",,"曙小学校前","曙小学校前　下り","34.47073","133.39445","14_28",,"0",,,,
"15_30",,"曙町一丁目","曙町一丁目　上り","34.4741","133.3982","15_30",,"0",,,,
"18_35",,"曙町四丁目","曙町四丁目　上り","34.47321","133.40138","18_35",,"0",,,,
"19_37",,"曙町五丁目","曙町五丁目　下り","34.46968","133.39821","19_37",,"0",,,,
"20_40",,"曙町六丁目","曙町六丁目　下り","34.46854","133.40228","20_40",,"0",,,,
"21_41",,"阿下岐","阿下岐　下り","34.752674","133.2752","21_41",,"0",,,,
"21_42",,"阿下岐","阿下岐　上り","34.752705","133.2753","21_42",,"0",,,,
"24_47",,"浅原","浅原　上下","34.601017","133.2602","24_47",,"0",,,,
"28_55",,"旭ヶ丘団地上","旭ヶ丘団地上　下り","34.4919","133.42963","28_55",,"0",,,,
"28_56",,"旭ヶ丘団地上","旭ヶ丘団地上　上り","34.491142","133.42949","28_56",,"0",,,,
"33_65",,"旭町","旭町　上り","34.490208","133.37408","33_65",,"0",,,,
"33_66",,"旭町","旭町　下り","34.49034","133.37466","33_66",,"0",,,,
"39_79",,"阿字","阿字　下り","34.611233","133.18365","39_79",,"0",,,,
"39_80",,"阿字","阿字　上り","34.611244","133.18375","39_80",,"0",,,,
"40_81",,"網引小学校前","網引小学校前　上り","34.57568","133.27467","40_81",,"0",,,,
"41_83",,"網引農協","網引農協　下り","34.571896","133.27438","41_83",,"0",,,,
"41_84",,"網引農協","網引農協　上り","34.57168","133.27444","41_84",,"0",,,,
"44_89",,"阿北","阿北　上り","34.38623","133.32455","44_89",,"0",,,,
"44_90",,"阿北","阿北　下り","34.385826","133.3251","44_90",,"0",,,,
"57_115",,"安全衛生試験センター","安全衛生試験センター　上り","34.45731","133.40732","57_115",,"0",,,,
