"table_name","field_name","field_value","language","translation"
"routes","route_long_name","まわローズ(青ルート）","en","Mawarose"
"routes","route_long_name","まわローズ(青ルート）","ja","まわローズ(青ルート）"
"routes","route_long_name","まわローズ(青ルート）","ja-Hrkt","マワローズアオルート"
"routes","route_long_name","ファーマシィ本社前(五本松)・多治米車庫前線","en","Pharmacy Office (Gohonmatsu)・Tajimeshako"
"routes","route_long_name","ファーマシィ本社前(五本松)・多治米車庫前線","ja","ファーマシィ本社前(五本松)・多治米車庫前線"
"routes","route_long_name","ファーマシィ本社前(五本松)・多治米車庫前線","ja-Hrkt","ファーマシィホンシャマエタジメシャコマエセン"
"routes","route_long_name","ファーマシィ本社前(五本松)・西川口・多治米車庫前線","en","Pharmacy Office (Gohonmatsu)・Nishikawaguchi・Tajimeshako"
"routes","route_long_name","ファーマシィ本社前(五本松)・西川口・多治米車庫前線","ja","ファーマシィ本社前(五本松)・西川口・多治米車庫前線"
"routes","route_long_name","ファーマシィ本社前(五本松)・西川口・多治米車庫前線","ja-Hrkt","ファーマシィホンシャマエニシカワグチタジメシャコマエセン"
"routes","route_long_name","三原甲山線","en","Mihara・Kozan"
"routes","route_long_name","三原甲山線","ja","三原甲山線"
"routes","route_long_name","三原甲山線","ja-Hrkt","ミハラコウザンセン"
"routes","route_long_name","三原駅・如水館線(深線)","en","Miharaeki・Josuikan (Fuka)"
"routes","route_long_name","三原駅・如水館線(深線)","ja","三原駅・如水館線(深線)"
"routes","route_long_name","三原駅・如水館線(深線)","ja-Hrkt","ミハラエキジョスイカンセン"
"routes","route_long_name","三原～広島空港","en","Mihara~Hiroshima Airport"
"routes","route_long_name","三原～広島空港","ja","三原～広島空港"
"routes","route_long_name","三原～広島空港","ja-Hrkt","ミハラヒロシマクウコウ"
"routes","route_long_name","三幸社前(古地)・多治米車庫前線","en","Sankoshamae・Tajimeshako"
"routes","route_long_name","三幸社前(古地)・多治米車庫前線","ja","三幸社前(古地)・多治米車庫前線"
"routes","route_long_name","三幸社前(古地)・多治米車庫前線","ja-Hrkt","サンコウシャマエタジメシャコマエ"
"routes","route_long_name","三菱循環線","en","Mitsubishijunnkann"
"routes","route_long_name","三菱循環線","ja","三菱循環線"
"routes","route_long_name","三菱循環線","ja-Hrkt","ミツビシジュンカンセン"
"routes","route_long_name","中国中央病院線","en","Chugokuchuobyoin"
"routes","route_long_name","中国中央病院線","ja","中国中央病院線"
"routes","route_long_name","中国中央病院線","ja-Hrkt","チュウゴクチュウオウビョウインセン"
"routes","route_long_name","南宮台団地線","en","Nangudaidanchi"
"routes","route_long_name","南宮台団地線","ja","南宮台団地線"
"routes","route_long_name","南宮台団地線","ja-Hrkt","ナングウダイダンチセン"
"routes","route_long_name","卸町線","en","Oroshimachi"
"routes","route_long_name","卸町線","ja","卸町線"
"routes","route_long_name","卸町線","ja-Hrkt","オロシマチセン"
"routes","route_long_name","向陽団地線","en","Koyodanchi"
"routes","route_long_name","向陽団地線","ja","向陽団地線"
"routes","route_long_name","向陽団地線","ja-Hrkt","コウヨウダンチセン"
"routes","route_long_name","土生・栗柄線","en","Habu・Kurigara"
"routes","route_long_name","土生・栗柄線","ja","土生・栗柄線"
"routes","route_long_name","土生・栗柄線","ja-Hrkt","ハブクリガラセン"
"routes","route_long_name","坂部線","en","Sakabe"
"routes","route_long_name","坂部線","ja","坂部線"
"routes","route_long_name","坂部線","ja-Hrkt","サカベセン"
"routes","route_long_name","大谷団地線","en","Otanidanchi"
"routes","route_long_name","大谷団地線","ja","大谷団地線"
"routes","route_long_name","大谷団地線","ja-Hrkt","オオタニダンチセン"
"routes","route_long_name","大門線(福山市東部ゾーンバス）","en","Daimonsenn"
"routes","route_long_name","大門線(福山市東部ゾーンバス）","ja","大門線(福山市東部ゾーンバス）"
"routes","route_long_name","大門線(福山市東部ゾーンバス）","ja-Hrkt","ダイモンセン"
"routes","route_long_name","尾道・三成線","en","Onomichi・Minari"
"routes","route_long_name","尾道・三成線","ja","尾道・三成線"
"routes","route_long_name","尾道・三成線","ja-Hrkt","オノミチミナリセン"
"routes","route_long_name","尾道・原田線","en","Onomichi・Harada"
"routes","route_long_name","尾道・原田線","ja","尾道・原田線"
"routes","route_long_name","尾道・原田線","ja-Hrkt","オノミチハラダセン"
"routes","route_long_name","尾道・新尾道・市・甲山線","en","Onomichi・ShinOnomichi・Ichi・Kozan"
"routes","route_long_name","尾道・新尾道・市・甲山線","ja","尾道・新尾道・市・甲山線"
"routes","route_long_name","尾道・新尾道・市・甲山線","ja-Hrkt","オノミチシンオノミチイチコウザンセン"
"routes","route_long_name","尾道～如水館線","en","Onomichi・Josuikan"
"routes","route_long_name","尾道～如水館線","ja","尾道～如水館線"
"routes","route_long_name","尾道～如水館線","ja-Hrkt","オノミチジョスイカンセン"
"routes","route_long_name","幕山団地線","en","Makuyamadanchi"
"routes","route_long_name","幕山団地線","ja","幕山団地線"
"routes","route_long_name","幕山団地線","ja-Hrkt","マクヤマダンチセン"
"routes","route_long_name","府中ぐるっとバス(右回り）","en","Fuchu Gurutto Bus"
"routes","route_long_name","府中ぐるっとバス(右回り）","ja","府中ぐるっとバス(右回り）"
"routes","route_long_name","府中ぐるっとバス(右回り）","ja-Hrkt","フチュウグルットバスミギマワリ"
"routes","route_long_name","府中ぐるっとバス（左回り）","en","Fuchu Gurutto Bus"
"routes","route_long_name","府中ぐるっとバス（左回り）","ja","府中ぐるっとバス（左回り）"
"routes","route_long_name","府中ぐるっとバス（左回り）","ja-Hrkt","フチュウグルットバスヒダリマワリ"
"routes","route_long_name","明王台線","en","Myooudai"
"routes","route_long_name","明王台線","ja","明王台線"
"routes","route_long_name","明王台線","ja-Hrkt","ミョウオウダイセン"
"routes","route_long_name","曙循環線","en","Akebonojunnkann"
"routes","route_long_name","曙循環線","ja","曙循環線"
"routes","route_long_name","曙循環線","ja-Hrkt","アケボノジュンカンセン"
"routes","route_long_name","東廻り油木・東城線","en","Higashimawari Yuki・Tojo"
"routes","route_long_name","東廻り油木・東城線","ja","東廻り油木・東城線"
"routes","route_long_name","東廻り油木・東城線","ja-Hrkt","ユキトウジョウセン"
"routes","route_long_name","深津隧道経由　鋼管病院・鋼管町線","en","FukatsuZuidokeiyu Kokanbyoin・Kokancho"
"routes","route_long_name","深津隧道経由　鋼管病院・鋼管町線","ja","深津隧道経由　鋼管病院・鋼管町線"
"routes","route_long_name","深津隧道経由　鋼管病院・鋼管町線","ja-Hrkt","フカツズイドウケイユコウカンビョウインコウカンチョウセン"
