"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_34_20260401","1_1384_20260401","1_1384_139_1_102579_20260401","福山駅前",,"0",,"1_139_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_139_1_102580_20260401","福山駅前",,"0",,"1_139_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_139_1_102581_20260401","福山駅前",,"0",,"1_139_1",,,"1",
"1_34_20260401","1_1385_20260401","1_1385_139_1_102253_20260401","福山駅前",,"0",,"1_139_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_140_1_102582_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_140_1_102583_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_140_1_102584_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_140_1_102585_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_140_1_102586_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1385_20260401","1_1385_140_1_102254_20260401","福山駅前",,"0",,"1_140_1",,,"1",
"1_34_20260401","1_1384_20260401","1_1384_143_2_101981_20260401","東城駅前",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_143_2_101363_20260401","東城駅前",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_143_2_101982_20260401","東城駅前",,"1",,,,,"1",
"1_34_20260401","1_1385_20260401","1_1385_143_2_101983_20260401","東城駅前",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_159_2_101701_20260401","油木",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_159_2_101975_20260401","油木",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_159_2_101976_20260401","油木",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_159_2_101977_20260401","油木",,"1",,,,,"1",
"1_34_20260401","1_1384_20260401","1_1384_159_2_101978_20260401","油木",,"1",,,,,"1",
"1_34_20260401","1_1385_20260401","1_1385_159_2_101206_20260401","油木",,"1",,,,,"1",
"1_41_20260401","2_1387_20260401","1_1387_84_1_1685_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1387_20260401","1_1387_84_1_1686_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1387_20260401","1_1387_84_1_102178_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1387_20260401","1_1387_84_1_101263_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1387_20260401","1_1387_84_1_101264_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_1688_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_1689_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_101265_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_1687_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_101266_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1388_20260401","1_1388_84_1_101267_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1390_20260401","1_1390_84_1_101268_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_41_20260401","2_1390_20260401","1_1390_84_1_101269_20260401","道の駅びんご府中",,"0",,,,,"2",
