fare_id,route_id,origin_id,destination_id
97,1,00065_2,00066_2
97,1,00065_2,00067_1
97,1,00065_2,00068_1
97,1,00065_2,00069_1
97,1,00065_2,00070_2
97,1,00066_2,00067_1
97,1,00066_2,00068_1
97,1,00066_2,00069_1
97,1,00066_2,00070_2
97,1,00066_2,00071_1
97,1,00066_2,00072_2
97,1,00066_2,00073_2
97,1,00067_1,00068_1
97,1,00067_1,00069_1
97,1,00067_1,00070_2
97,1,00067_1,00071_1
97,1,00067_1,00072_2
97,1,00067_1,00073_2
97,1,00068_1,00069_1
97,1,00068_1,00070_2
97,1,00068_1,00071_1
97,1,00068_1,00072_2
97,1,00068_1,00073_2
97,1,00069_1,00070_2
97,1,00069_1,00071_1
97,1,00069_1,00072_2
97,1,00069_1,00073_2
97,1,00070_2,00071_1
97,1,00070_2,00072_2
97,1,00070_2,00073_2
97,1,00071_1,00072_2
97,1,00071_1,00073_2
97,1,00072_2,00073_2
97,1,00073_2,00080_1
97,1,00073_2,00081_1
97,1,00073_2,00082_2
97,1,00073_2,00083_1
97,1,00073_2,00084_1
97,1,00073_2,00085_1
97,1,00073_2,00086_1
97,1,00080_1,00081_1
97,1,00080_1,00082_2
97,1,00080_1,00083_1
97,1,00080_1,00084_1
97,1,00080_1,00085_1
97,1,00080_1,00086_1
97,1,00081_1,00082_2
97,1,00081_1,00083_1
97,1,00081_1,00084_1
97,1,00081_1,00085_1
97,1,00081_1,00086_1
97,1,00082_2,00083_1
97,1,00082_2,00084_1
97,1,00082_2,00085_1
97,1,00082_2,00086_1
97,1,00083_1,00084_1
97,1,00083_1,00085_1
97,1,00083_1,00086_1
97,1,00084_1,00085_1
97,1,00084_1,00086_1
97,1,00085_1,00086_1
97,1,00087_1,00088_1
97,1,00087_1,00089_1
97,1,00087_1,00090_1
97,1,00087_1,00091_2
97,1,00087_1,00092_1
97,1,00088_1,00089_1
97,1,00088_1,00090_1
97,1,00088_1,00091_2
97,1,00088_1,00092_1
97,1,00089_1,00090_1
97,1,00089_1,00091_2
97,1,00089_1,00092_1
97,1,00089_1,00093_1
97,1,00089_1,00094_1
97,1,00090_1,00091_2
97,1,00090_1,00092_1
97,1,00090_1,00093_1
97,1,00090_1,00094_1
97,1,00091_2,00092_1
97,1,00091_2,00093_1
97,1,00091_2,00094_1
97,1,00092_1,00093_1
97,1,00092_1,00094_1
97,1,00092_1,00095_2
97,1,00092_1,00096_1
97,1,00092_1,00097_2
97,1,00093_1,00094_1
97,1,00093_1,00095_2
97,1,00093_1,00096_1
97,1,00093_1,00097_2
97,1,00094_1,00095_2
97,1,00094_1,00096_1
97,1,00094_1,00097_2
97,1,00095_2,00096_1
97,1,00095_2,00097_2
97,1,00095_2,00098_1
97,1,00096_1,00097_2
97,1,00096_1,00098_1
97,1,00097_2,00098_1
97,1,00098_1,00099_1
97,1,00098_1,00100_1
97,1,00099_1,00100_1
97,1,00100_1,00101_1
97,1,00101_1,00102_1
97,1,00101_1,00103_1
97,1,00102_1,00103_1
97,1,00103_1,00104_1
97,1,00103_1,00105_1
97,1,00103_1,00106_1
97,1,00104_1,00105_1
97,1,00104_1,00106_1
97,1,00105_1,00106_1
97,1,00106_1,00107_1
97,1,00106_1,00108_1
97,1,00106_1,00109_1
97,1,00106_1,00110_1
97,1,00107_1,00108_1
97,1,00107_1,00109_1
97,1,00107_1,00110_1
97,1,00108_1,00109_1
97,1,00108_1,00110_1
97,1,00109_1,00110_1
98,1,00065_2,00071_1
98,1,00065_2,00072_2
98,1,00087_1,00093_1
98,1,00087_1,00094_1
98,1,00088_1,00093_1
98,1,00088_1,00094_1
98,1,00089_1,00095_2
98,1,00090_1,00095_2
98,1,00091_2,00095_2
99,1,00065_2,00073_2
99,1,00094_1,00098_1
99,1,00101_1,00104_1
99,1,00101_1,00105_1
99,1,00101_1,00106_1
99,1,00102_1,00104_1
99,1,00102_1,00105_1
99,1,00102_1,00106_1
99,1,00103_1,00107_1
99,1,00103_1,00108_1
99,1,00103_1,00109_1
99,1,00103_1,00110_1
99,1,00104_1,00107_1
99,1,00104_1,00108_1
99,1,00104_1,00109_1
99,1,00104_1,00110_1
99,1,00105_1,00107_1
99,1,00105_1,00108_1
99,1,00105_1,00109_1
99,1,00105_1,00110_1
100,1,00087_1,00095_2
100,1,00088_1,00095_2
100,1,00089_1,00096_1
100,1,00089_1,00097_2
100,1,00090_1,00096_1
100,1,00090_1,00097_2
100,1,00091_2,00096_1
100,1,00091_2,00097_2
100,1,00097_2,00099_1
100,1,00097_2,00100_1
100,1,00109_1,00065_2
100,1,00109_1,00111_1
100,1,00110_1,00065_2
100,1,00110_1,00111_1
100,1,00111_1,00065_2
101,1,00092_1,00098_1
101,1,00093_1,00098_1
101,1,00098_1,00101_1
101,1,00099_1,00101_1
101,1,00100_1,00102_1
101,1,00100_1,00103_1
102,1,00087_1,00096_1
102,1,00087_1,00097_2
102,1,00088_1,00096_1
102,1,00088_1,00097_2
102,1,00095_2,00099_1
102,1,00095_2,00100_1
102,1,00096_1,00099_1
102,1,00096_1,00100_1
102,1,00109_1,00066_2
102,1,00109_1,00067_1
102,1,00110_1,00066_2
102,1,00110_1,00067_1
102,1,00111_1,00066_2
102,1,00111_1,00067_1
103,1,00083_1,00087_1
103,1,00084_1,00087_1
103,1,00085_1,00087_1
103,1,00086_1,00087_1
103,1,00101_1,00107_1
103,1,00101_1,00108_1
103,1,00101_1,00109_1
103,1,00101_1,00110_1
103,1,00102_1,00107_1
103,1,00102_1,00108_1
103,1,00102_1,00109_1
103,1,00102_1,00110_1
104,1,00094_1,00099_1
104,1,00094_1,00100_1
104,1,00106_1,00065_2
104,1,00106_1,00111_1
104,1,00107_1,00065_2
104,1,00107_1,00111_1
104,1,00108_1,00065_2
104,1,00108_1,00111_1
105,1,00083_1,00088_1
105,1,00083_1,00089_1
105,1,00084_1,00088_1
105,1,00084_1,00089_1
105,1,00085_1,00088_1
105,1,00085_1,00089_1
105,1,00086_1,00088_1
105,1,00086_1,00089_1
105,1,00089_1,00098_1
105,1,00090_1,00098_1
105,1,00091_2,00098_1
105,1,00098_1,00102_1
105,1,00098_1,00103_1
105,1,00099_1,00102_1
105,1,00099_1,00103_1
105,1,00109_1,00068_1
105,1,00109_1,00069_1
105,1,00110_1,00068_1
105,1,00110_1,00069_1
105,1,00111_1,00068_1
105,1,00111_1,00069_1
106,1,00081_1,00087_1
