trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
21_202507,11:37:00,11:37:00,00073_2,1,,0,0,,
21_202507,11:38:00,11:38:00,00080_1,2,,0,0,,
21_202507,11:38:00,11:38:00,00081_1,3,,0,0,,
21_202507,11:39:00,11:39:00,00082_2,4,,0,0,,
21_202507,11:39:00,11:39:00,00083_1,5,,0,0,,
21_202507,11:39:00,11:39:00,00084_1,6,,0,0,,
21_202507,11:42:00,11:42:00,00085_1,7,,0,0,,
21_202507,11:42:00,11:42:00,00086_1,8,,0,0,,
21_202507,11:46:00,11:46:00,00087_1,9,,0,0,,
21_202507,11:47:00,11:47:00,00088_1,10,,0,0,,
21_202507,11:50:00,11:50:00,00089_1,11,,0,0,,
21_202507,11:51:00,11:51:00,00090_1,12,,0,0,,
21_202507,11:51:00,11:51:00,00091_2,13,,0,0,,
21_202507,11:52:00,11:52:00,00092_1,14,,0,0,,
21_202507,11:53:00,11:53:00,00093_1,15,,0,0,,
21_202507,11:53:00,11:53:00,00094_1,16,,0,0,,
21_202507,11:54:00,11:54:00,00095_2,17,,0,0,,
21_202507,11:54:00,11:54:00,00096_1,18,,0,0,,
21_202507,11:57:00,11:57:00,00097_2,19,,0,0,,
21_202507,11:59:00,11:59:00,00098_1,20,,0,0,,
21_202507,12:00:00,12:00:00,00099_1,21,,0,0,,
21_202507,12:01:00,12:01:00,00100_1,22,,0,0,,
21_202507,12:03:00,12:03:00,00101_1,23,,0,0,,
21_202507,12:03:00,12:03:00,00102_1,24,,0,0,,
21_202507,12:07:00,12:07:00,00103_1,25,,0,0,,
21_202507,12:08:00,12:08:00,00104_1,26,,0,0,,
21_202507,12:09:00,12:09:00,00105_1,27,,0,0,,
21_202507,12:10:00,12:10:00,00106_1,28,,0,0,,
21_202507,12:11:00,12:11:00,00107_1,29,,0,0,,
21_202507,12:12:00,12:12:00,00108_1,30,,0,0,,
21_202507,12:15:00,12:15:00,00109_1,31,,0,0,,
21_202507,12:15:00,12:15:00,00110_1,32,,0,0,,
21_202507,12:16:00,12:16:00,00111_1,33,,0,0,,
21_202507,12:20:00,12:20:00,00065_2,34,,0,0,,
21_202507,12:20:00,12:20:00,00066_2,35,,0,0,,
21_202507,12:21:00,12:21:00,00067_1,36,,0,0,,
21_202507,12:22:00,12:22:00,00068_1,37,,0,0,,
21_202507,12:22:00,12:22:00,00069_1,38,,0,0,,
21_202507,12:23:00,12:23:00,00070_2,39,,0,0,,
21_202507,12:23:00,12:23:00,00071_1,40,,0,0,,
21_202507,12:24:00,12:24:00,00072_2,41,,0,0,,
21_202507,12:25:00,12:25:00,00073_2,42,,0,0,,
21_202541,13:25:00,13:25:00,00073_2,1,,0,0,,
21_202541,13:26:00,13:26:00,00080_1,2,,0,0,,
21_202541,13:26:00,13:26:00,00081_1,3,,0,0,,
21_202541,13:27:00,13:27:00,00082_2,4,,0,0,,
21_202541,13:27:00,13:27:00,00083_1,5,,0,0,,
21_202541,13:27:00,13:27:00,00084_1,6,,0,0,,
21_202541,13:30:00,13:30:00,00085_1,7,,0,0,,
21_202541,13:30:00,13:30:00,00086_1,8,,0,0,,
21_202541,13:34:00,13:34:00,00087_1,9,,0,0,,
21_202541,13:35:00,13:35:00,00088_1,10,,0,0,,
21_202541,13:38:00,13:38:00,00089_1,11,,0,0,,
21_202541,13:39:00,13:39:00,00090_1,12,,0,0,,
21_202541,13:39:00,13:39:00,00091_2,13,,0,0,,
21_202541,13:40:00,13:40:00,00092_1,14,,0,0,,
21_202541,13:41:00,13:41:00,00093_1,15,,0,0,,
21_202541,13:41:00,13:41:00,00094_1,16,,0,0,,
21_202541,13:42:00,13:42:00,00095_2,17,,0,0,,
21_202541,13:42:00,13:42:00,00096_1,18,,0,0,,
21_202541,13:45:00,13:45:00,00097_2,19,,0,0,,
21_202541,13:47:00,13:47:00,00098_1,20,,0,0,,
21_202541,13:48:00,13:48:00,00099_1,21,,0,0,,
21_202541,13:49:00,13:49:00,00100_1,22,,0,0,,
21_202541,13:51:00,13:51:00,00101_1,23,,0,0,,
21_202541,13:51:00,13:51:00,00102_1,24,,0,0,,
21_202541,13:55:00,13:55:00,00103_1,25,,0,0,,
21_202541,13:56:00,13:56:00,00104_1,26,,0,0,,
21_202541,13:57:00,13:57:00,00105_1,27,,0,0,,
21_202541,13:58:00,13:58:00,00106_1,28,,0,0,,
21_202541,13:59:00,13:59:00,00107_1,29,,0,0,,
21_202541,14:00:00,14:00:00,00108_1,30,,0,0,,
21_202541,14:03:00,14:03:00,00109_1,31,,0,0,,
21_202541,14:03:00,14:03:00,00110_1,32,,0,0,,
21_202541,14:04:00,14:04:00,00111_1,33,,0,0,,
21_202541,14:08:00,14:08:00,00065_2,34,,0,0,,
21_202541,14:08:00,14:08:00,00066_2,35,,0,0,,
21_202541,14:09:00,14:09:00,00067_1,36,,0,0,,
21_202541,14:10:00,14:10:00,00068_1,37,,0,0,,
21_202541,14:10:00,14:10:00,00069_1,38,,0,0,,
21_202541,14:11:00,14:11:00,00070_2,39,,0,0,,
21_202541,14:11:00,14:11:00,00071_1,40,,0,0,,
21_202541,14:12:00,14:12:00,00072_2,41,,0,0,,
21_202541,14:13:00,14:13:00,00073_2,42,,0,0,,
21_202545,17:00:00,17:00:00,00073_2,1,,0,0,,
21_202545,17:01:00,17:01:00,00080_1,2,,0,0,,
21_202545,17:01:00,17:01:00,00081_1,3,,0,0,,
21_202545,17:02:00,17:02:00,00082_2,4,,0,0,,
21_202545,17:02:00,17:02:00,00083_1,5,,0,0,,
21_202545,17:02:00,17:02:00,00084_1,6,,0,0,,
21_202545,17:05:00,17:05:00,00085_1,7,,0,0,,
21_202545,17:05:00,17:05:00,00086_1,8,,0,0,,
21_202545,17:09:00,17:09:00,00087_1,9,,0,0,,
21_202545,17:10:00,17:10:00,00088_1,10,,0,0,,
21_202545,17:13:00,17:15:00,00089_1,11,,0,0,,
21_202545,17:16:00,17:16:00,00090_1,12,,0,0,,
21_202545,17:16:00,17:16:00,00091_2,13,,0,0,,
21_202545,17:17:00,17:17:00,00092_1,14,,0,0,,
21_202545,17:18:00,17:18:00,00093_1,15,,0,0,,
21_202545,17:18:00,17:18:00,00094_1,16,,0,0,,
21_202545,17:19:00,17:19:00,00095_2,17,,0,0,,
21_202545,17:19:00,17:19:00,00096_1,18,,0,0,,
21_202545,17:22:00,17:22:00,00097_2,19,,0,0,,
21_202545,17:24:00,17:24:00,00098_1,20,,0,0,,
21_202545,17:25:00,17:25:00,00099_1,21,,0,0,,
21_202545,17:26:00,17:26:00,00100_1,22,,0,0,,
21_202545,17:28:00,17:28:00,00101_1,23,,0,0,,
21_202545,17:28:00,17:28:00,00102_1,24,,0,0,,
21_202545,17:32:00,17:32:00,00103_1,25,,0,0,,
21_202545,17:33:00,17:33:00,00104_1,26,,0,0,,
21_202545,17:34:00,17:34:00,00105_1,27,,0,0,,
21_202545,17:35:00,17:35:00,00106_1,28,,0,0,,
21_202545,17:36:00,17:36:00,00107_1,29,,0,0,,
21_202545,17:37:00,17:37:00,00108_1,30,,0,0,,
21_202545,17:40:00,17:40:00,00109_1,31,,0,0,,
21_202545,17:40:00,17:40:00,00110_1,32,,0,0,,
21_202545,17:41:00,17:41:00,00111_1,33,,0,0,,
21_202545,17:45:00,17:45:00,00065_2,34,,0,0,,
21_202545,17:45:00,17:45:00,00066_2,35,,0,0,,
21_202545,17:46:00,17:46:00,00067_1,36,,0,0,,
21_202545,17:47:00,17:47:00,00068_1,37,,0,0,,
21_202545,17:47:00,17:47:00,00069_1,38,,0,0,,
21_202545,17:48:00,17:48:00,00070_2,39,,0,0,,
21_202545,17:48:00,17:48:00,00071_1,40,,0,0,,
21_202545,17:49:00,17:49:00,00072_2,41,,0,0,,
21_202545,17:50:00,17:50:00,00073_2,42,,0,0,,
21_202634,15:50:00,15:50:00,00073_2,1,,0,0,,
21_202634,15:51:00,15:51:00,00080_1,2,,0,0,,
21_202634,15:51:00,15:51:00,00081_1,3,,0,0,,
21_202634,15:52:00,15:52:00,00082_2,4,,0,0,,
21_202634,15:52:00,15:52:00,00083_1,5,,0,0,,
21_202634,15:52:00,15:52:00,00084_1,6,,0,0,,
21_202634,15:55:00,15:55:00,00085_1,7,,0,0,,
21_202634,15:55:00,15:55:00,00086_1,8,,0,0,,
21_202634,15:59:00,15:59:00,00087_1,9,,0,0,,
21_202634,16:00:00,16:00:00,00088_1,10,,0,0,,
21_202634,16:03:00,16:10:00,00089_1,11,,0,0,,
21_202634,16:11:00,16:11:00,00090_1,12,,0,0,,
21_202634,16:11:00,16:11:00,00091_2,13,,0,0,,
21_202634,16:12:00,16:12:00,00092_1,14,,0,0,,
21_202634,16:13:00,16:13:00,00093_1,15,,0,0,,
21_202634,16:13:00,16:13:00,00094_1,16,,0,0,,
21_202634,16:14:00,16:14:00,00095_2,17,,0,0,,
21_202634,16:14:00,16:14:00,00096_1,18,,0,0,,
21_202634,16:17:00,16:17:00,00097_2,19,,0,0,,
21_202634,16:19:00,16:19:00,00098_1,20,,0,0,,
21_202634,16:20:00,16:20:00,00099_1,21,,0,0,,
21_202634,16:21:00,16:21:00,00100_1,22,,0,0,,
21_202634,16:23:00,16:23:00,00101_1,23,,0,0,,
21_202634,16:23:00,16:23:00,00102_1,24,,0,0,,
21_202634,16:27:00,16:27:00,00103_1,25,,0,0,,
21_202634,16:28:00,16:28:00,00104_1,26,,0,0,,
21_202634,16:29:00,16:29:00,00105_1,27,,0,0,,
21_202634,16:30:00,16:30:00,00106_1,28,,0,0,,
21_202634,16:31:00,16:31:00,00107_1,29,,0,0,,
21_202634,16:32:00,16:32:00,00108_1,30,,0,0,,
21_202634,16:35:00,16:35:00,00109_1,31,,0,0,,
21_202634,16:35:00,16:35:00,00110_1,32,,0,0,,
21_202634,16:36:00,16:36:00,00111_1,33,,0,0,,
21_202634,16:40:00,16:40:00,00065_2,34,,0,0,,
21_202634,16:40:00,16:40:00,00066_2,35,,0,0,,
21_202634,16:41:00,16:41:00,00067_1,36,,0,0,,
21_202634,16:42:00,16:42:00,00068_1,37,,0,0,,
21_202634,16:42:00,16:42:00,00069_1,38,,0,0,,
21_202634,16:43:00,16:43:00,00070_2,39,,0,0,,
21_202634,16:43:00,16:43:00,00071_1,40,,0,0,,
21_202634,16:44:00,16:44:00,00072_2,41,,0,0,,
21_202634,16:45:00,16:45:00,00073_2,42,,0,0,,
21_202635,17:00:00,17:00:00,00073_2,1,,0,0,,
21_202635,17:01:00,17:01:00,00080_1,2,,0,0,,
21_202635,17:01:00,17:01:00,00081_1,3,,0,0,,
