stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
00014_1,1,小用,,34.248426,132.492405,00014_1,,0,,,,,
00014_2,2,小用,,34.248580,132.492491,00014_2,,0,,,,,
00014_3,3,小用,,34.248736,132.492582,00014_3,,0,,,,,
00014_4,,小用,,34.248888,132.492655,00014_4,,0,,,,,
00015_1,,西の谷,,34.249376,132.489606,00015_1,,0,,,,,
00015_2,,西の谷,,34.249555,132.489109,00015_2,,0,,,,,
00016_1,,柿の木田,,34.249967,132.486389,00016_1,,0,,,,,
00017_1,1,世上口,,34.248023,132.480808,00017_1,,0,,,,,
00017_2,2,世上口,,34.247510,132.479753,00017_2,,0,,,,,
00017_3,3,世上口,,34.248162,132.480039,00017_3,,0,,,,,
00018_1,,第一術科学校前,,34.246656,132.477428,00018_1,,0,,,,,
00018_2,,第一術科学校前,,34.246563,132.477381,00018_2,,0,,,,,
00019_1,,向側,,34.244706,132.477699,00019_1,,0,,,,,
00019_2,,向側,,34.244131,132.477216,00019_2,,0,,,,,
00020_1,,八幡神社前,,34.242390,132.476430,00020_1,,0,,,,,
00020_2,,八幡神社前,,34.242034,132.476524,00020_2,,0,,,,,
00021_1,,江田島小学校前,,34.238562,132.477045,00021_1,,0,,,,,
00021_2,,江田島小学校前,,34.238176,132.477393,00021_2,,0,,,,,
00022_1,,山田,,34.236709,132.478459,00022_1,,0,,,,,
00022_2,,山田,,34.236312,132.478801,00022_2,,0,,,,,
00023_1,,江田島図書館前,,34.233233,132.479743,00023_1,,0,,,,,
00023_2,,江田島図書館前,,34.233652,132.479694,00023_2,,0,,,,,
00024_1,,鷲部中郷,,34.230946,132.479821,00024_1,,0,,,,,
00024_2,,鷲部中郷,,34.230532,132.479842,00024_2,,0,,,,,
00025_1,,鷲部,,34.227231,132.479583,00025_1,,0,,,,,
00025_2,,鷲部,,34.227312,132.479713,00025_2,,0,,,,,
00026_1,,江田島南部墓苑,,34.215679,132.476187,00026_1,,0,,,,,
00026_2,,江田島南部墓苑,,34.215547,132.476237,00026_2,,0,,,,,
00027_1,,沖平,,34.212364,132.474814,00027_1,,0,,,,,
00027_2,,沖平,,34.212042,132.475022,00027_2,,0,,,,,
00028_1,,江南橋,,34.208377,132.474384,00028_1,,0,,,,,
00028_2,,江南橋,,34.208781,132.474550,00028_2,,0,,,,,
00028_3,,江南橋,,34.208189,132.473904,00028_3,,0,,,,,
00028_4,,江南橋,,34.208294,132.473879,00028_4,,0,,,,,
00029_1,1,中継ターミナルゆめタウン前,,34.206015,132.473088,00029_1,,0,,,,,
00029_2,2,中継ターミナルゆめタウン前,,34.205839,132.472871,00029_2,,0,,,,,
00029_3,3,中継ターミナルゆめタウン前,,34.205862,132.472533,00029_3,,0,,,,,
00031_1,,外海,,34.198586,132.473636,00031_1,,0,,,,,
00031_2,,外海,,34.198067,132.473654,00031_2,,0,,,,,
00032_1,,庭草,,34.195070,132.472791,00032_1,,0,,,,,
00032_2,,庭草,,34.195001,132.472844,00032_2,,0,,,,,
00033_1,,楠田,,34.190382,132.472324,00033_1,,0,,,,,
00034_1,,阿浜,,34.187777,132.472399,00034_1,,0,,,,,
00035_1,,柿浦浜,,34.183079,132.471566,00035_1,,0,,,,,
00035_2,,柿浦浜,,34.183095,132.471642,00035_2,,0,,,,,
00036_1,,柿浦桟橋,,34.180850,132.470806,00036_1,,0,,,,,
00036_2,,柿浦桟橋,,34.181492,132.470986,00036_2,,0,,,,,
00037_1,,柿浦峠,,34.179234,132.466870,00037_1,,0,,,,,
00037_2,,柿浦峠,,34.179208,132.467002,00037_2,,0,,,,,
00038_1,,江田島市役所前,,34.175432,132.462911,00038_1,,0,,,,,
00038_2,,江田島市役所前,,34.175340,132.462856,00038_2,,0,,,,,
00040_1,,柿浦,,34.179088,132.469408,00040_1,,0,,,,,
00040_2,,柿浦,,34.179070,132.469532,00040_2,,0,,,,,
00041_1,,常道,,34.176940,132.471806,00041_1,,0,,,,,
00041_2,,常道,,34.176989,132.471873,00041_2,,0,,,,,
00042_1,,坊地,,34.177078,132.474953,00042_1,,0,,,,,
00043_1,,壱畝町,,34.174713,132.477858,00043_1,,0,,,,,
00043_2,,壱畝町,,34.174764,132.477939,00043_2,,0,,,,,
00044_1,,大君,,34.170709,132.479493,00044_1,,0,,,,,
00044_2,,大君,,34.170285,132.479797,00044_2,,0,,,,,
00045_1,,南大君,,34.168781,132.478729,00045_1,,0,,,,,
00045_2,,南大君,,34.168754,132.478829,00045_2,,0,,,,,
00046_1,,河内,,34.169639,132.469020,00046_1,,0,,,,,
00047_1,,能美大原,,34.171055,132.467348,00047_1,,0,,,,,
