trans_id,lang,translation
小用,ja,小用
小用,en,Koyo
小用,ja-Hrkt,こよう
小用,ko,고요
小用,zh_cn,小用
小用,zh_tw,小用
西の谷,ja,西の谷
西の谷,en,Nishinotani
西の谷,ja-Hrkt,にしのたに
西の谷,ko,니시노타니
西の谷,zh_cn,西之谷
西の谷,zh_tw,西之谷
柿の木田,ja,柿の木田
柿の木田,en,Kakinokida
柿の木田,ja-Hrkt,かきのきだ
世上口,ja,世上口
世上口,en,Sejoguchi
世上口,ja-Hrkt,せじょうぐち
第一術科学校前,ja,第一術科学校前
第一術科学校前,en,Daiichi Jukka Gakko Mae
第一術科学校前,ja-Hrkt,だいいちじゅっかがっこうまえ
向側,ja,向側
向側,en,Mukaigawa
向側,ja-Hrkt,むかいがわ
八幡神社前,ja,八幡神社前
八幡神社前,en,Yahata Jinja-mae
八幡神社前,ja-Hrkt,はちまんじんじゃまえ
八幡神社前,ko,야하타진자 신사
八幡神社前,zh_cn,八幡神社前
八幡神社前,zh_tw,八幡神社前
江田島小学校前,ja,江田島小学校前
江田島小学校前,en,Etajima Shogakko
江田島小学校前,ja-Hrkt,えたじましょうがっこうまえ
山田,ja,山田
山田,en,Yamada
山田,ja-Hrkt,やまだ
山田,ko,야마다
山田,zh_cn,山田
山田,zh_tw,山田
江田島図書館前,ja,江田島図書館前
江田島図書館前,en,Etajima Toshokan Mae
江田島図書館前,ja-Hrkt,えたじまとしょかんまえ
鷲部中郷,ja,鷲部中郷
鷲部中郷,en,Washibe Nakago
鷲部中郷,ja-Hrkt,わしべなかごう
鷲部,ja,鷲部
鷲部,en,Washibe
鷲部,ja-Hrkt,わしべ
江田島南部墓苑,ja,江田島南部墓苑
江田島南部墓苑,en,Etajima Nanbu Boen
江田島南部墓苑,ja-Hrkt,えたじまなんぶぼえん
沖平,ja,沖平
沖平,en,Okihira
沖平,ja-Hrkt,おきひら
江南橋,ja,江南橋
江南橋,en,Konan Bashi
江南橋,ja-Hrkt,こうなんばし
中継ターミナルゆめタウン前,ja,中継ターミナルゆめタウン前
中継ターミナルゆめタウン前,en,Chukei Terminal Youme Town Mae
中継ターミナルゆめタウン前,ja-Hrkt,ちゅうけいたーみなるゆめたうんまえ
外海,ja,外海
外海,en,Sotoumi
外海,ja-Hrkt,そとうみ
庭草,ja,庭草
庭草,en,Niwaso
庭草,ja-Hrkt,にわそう
楠田,ja,楠田
楠田,en,Kusuda
楠田,ja-Hrkt,くすだ
阿浜,ja,阿浜
阿浜,en,Abama
阿浜,ja-Hrkt,あばま
