fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
2240001005781_170_00,170,JPY,0,0,,2240001005781
2240001005781_180_00,180,JPY,0,0,,2240001005781
2240001005781_190_00,190,JPY,0,0,,2240001005781
2240001005781_200_00,200,JPY,0,0,,2240001005781
2240001005781_210_00,210,JPY,0,0,,2240001005781
2240001005781_220_00,220,JPY,0,0,,2240001005781
2240001005781_230_00,230,JPY,0,0,,2240001005781
2240001005781_240_00,240,JPY,0,0,,2240001005781
2240001005781_250_00,250,JPY,0,0,,2240001005781
2240001005781_260_00,260,JPY,0,0,,2240001005781
2240001005781_270_00,270,JPY,0,0,,2240001005781
2240001005781_280_00,280,JPY,0,0,,2240001005781
2240001005781_290_00,290,JPY,0,0,,2240001005781
2240001005781_300_00,300,JPY,0,0,,2240001005781
2240001005781_310_00,310,JPY,0,0,,2240001005781
2240001005781_320_00,320,JPY,0,0,,2240001005781
2240001005781_330_00,330,JPY,0,0,,2240001005781
2240001005781_340_00,340,JPY,0,0,,2240001005781
2240001005781_350_00,350,JPY,0,0,,2240001005781
2240001005781_360_00,360,JPY,0,0,,2240001005781
2240001005781_370_00,370,JPY,0,0,,2240001005781
2240001005781_380_00,380,JPY,0,0,,2240001005781
2240001005781_390_00,390,JPY,0,0,,2240001005781
2240001005781_400_00,400,JPY,0,0,,2240001005781
2240001005781_410_00,410,JPY,0,0,,2240001005781
2240001005781_420_00,420,JPY,0,0,,2240001005781
2240001005781_430_00,430,JPY,0,0,,2240001005781
2240001005781_440_00,440,JPY,0,0,,2240001005781
2240001005781_450_00,450,JPY,0,0,,2240001005781
2240001005781_460_00,460,JPY,0,0,,2240001005781
2240001005781_470_00,470,JPY,0,0,,2240001005781
2240001005781_480_00,480,JPY,0,0,,2240001005781
2240001005781_490_00,490,JPY,0,0,,2240001005781
2240001005781_500_00,500,JPY,0,0,,2240001005781
2240001005781_510_00,510,JPY,0,0,,2240001005781
2240001005781_520_00,520,JPY,0,0,,2240001005781
2240001005781_530_00,530,JPY,0,0,,2240001005781
2240001005781_540_00,540,JPY,0,0,,2240001005781
2240001005781_550_00,550,JPY,0,0,,2240001005781
2240001005781_560_00,560,JPY,0,0,,2240001005781
2240001005781_570_00,570,JPY,0,0,,2240001005781
2240001005781_580_00,580,JPY,0,0,,2240001005781
2240001005781_590_00,590,JPY,0,0,,2240001005781
2240001005781_600_00,600,JPY,0,0,,2240001005781
2240001005781_610_00,610,JPY,0,0,,2240001005781
2240001005781_630_00,630,JPY,0,0,,2240001005781
2240001005781_640_00,640,JPY,0,0,,2240001005781
2240001005781_650_00,650,JPY,0,0,,2240001005781
2240001005781_680_00,680,JPY,0,0,,2240001005781
