station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
dd32d734-7091-4f14-9343-4f700c0f6d0e,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,1,,,
64cc8882-0b5f-44a8-a4ed-82df106d7b4d,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,2,,,
5d98cc10-e5cd-4549-9072-d2764b3901b9,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,3,,,
c32e28b8-3dd0-475e-81f3-fa5f2eec2c8b,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,4,,,
476569f1-b33a-408a-9ee9-58eba4278f6c,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,5,,,
d587be3f-999f-4cc1-9c41-3e23b284f95e,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,6,,,
b8ae44b2-ae67-4aba-9304-63929bc6e4de,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,7,,,
6f3f1e26-60e5-4275-a2b5-2ee5ea71ff15,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,8,,,
6cfe998e-1371-43c2-891a-d7f3d11a457c,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,9,,,
bae1ffee-d5c0-4db2-b3e8-1b9fee5c0b35,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,10,,,
d658603e-91b3-4962-974c-d51b77a1c16e,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,11,,,
4216cd9d-4397-4f6c-9338-ec055fffc8ed,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,12,,,
d2a4b3e0-6c2a-4b7c-ade1-7da0cb844738,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,13,,,
7f86f45b-f5db-4ced-b746-92f7a2298c79,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,14,,,
1c480b22-73b6-4725-8bec-fa238d1e76e2,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,15,,,
02809704-71ca-44bd-9584-315fd0fdb3c0,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,16,,,
ced4023c-cb85-462d-854e-fd6e72905221,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,17,,,
dd32d734-7091-4f14-9343-4f700c0f6d0e,1fbdc8c5-f7fb-4a4c-872e-00068130de32,,,18,,,
98dd1db4-1f83-44b0-936a-5b5f5b503bf9,df15862a-b85c-4a16-87a6-00069003069f,,,1,,,
bcf3eb8c-eb09-46f7-b571-b98ce1682b2a,df15862a-b85c-4a16-87a6-00069003069f,,,2,,,
66646e40-4ce6-4a1d-97ba-1ce25b804336,df15862a-b85c-4a16-87a6-00069003069f,,,3,,,
092027ec-d75c-4e0f-a71a-8ebe709a1a37,df15862a-b85c-4a16-87a6-00069003069f,,,4,,,
37314633-644a-4a65-bd89-af1cbad788c1,df15862a-b85c-4a16-87a6-00069003069f,,,5,,,
bb6595dc-f84d-47bb-a2db-f27d980fc458,df15862a-b85c-4a16-87a6-00069003069f,,,6,,,
