stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1010 1,,あさひが丘１番,,34.50514124,132.4329704,1010 1,,0,,,,
1010 2,,あさひが丘１番,,34.50507458,132.4329538,1010 2,,0,,,,
1020 1,,あさひが丘２番,,34.5072348,132.4320966,1020 1,,0,,,,
1020 2,,あさひが丘２番,,34.5080861,132.4318731,1020 2,,0,,,,
1030 1,,あさひが丘３番,,34.5092176,132.4328476,1030 1,,0,,,,
1030 2,,あさひが丘３番,,34.5091631,132.4334168,1030 2,,0,,,,
1040 1,,あさひが丘下,,34.5058043,132.4408232,1040 1,,0,,,,
1040 2,,あさひが丘下,,34.5052087,132.4391323,1040 2,,0,,,,
1040 3,,あさひが丘下,,34.504374761199603601101,132.4390032923986534519128,1040 3,,0,,,,
1040 4,,あさひが丘下,,34.505158027393898869895,132.4399531774656995135318,1040 4,,0,,,,
1050 1,,あさひが丘上,,34.5091641,132.4366446,1050 1,,0,,,,
1050 2,,あさひが丘上,,34.5094076,132.4357836,1050 2,,0,,,,
1050 3,,あさひが丘上,,34.509057547116831113149,132.4363366314623605756766,1050 3,,0,,,,
1060 1,,あさひが丘中,,34.5066809,132.4377645,1060 1,,0,,,,
1060 2,,あさひが丘中,,34.5072861,132.4369243,1060 2,,0,,,,
1070 1,,あさひが丘展望台入口,,34.5033222,132.4349654,1070 1,,0,,,,
1070 2,,あさひが丘展望台入口,,34.5036378,132.4344688,1070 2,,0,,,,
1080 1,,あさひが丘東,,34.5062493,132.444541,1080 1,,0,,,,
1080 2,,あさひが丘東,,34.5062465,132.4442224,1080 2,,0,,,,
1090 1,,くすの木台,,34.5028308,132.3897732,1090 1,,0,,,,
1090 2,,くすの木台,,34.501955,132.3894767,1090 2,,0,,,,
1100 1,,くすの木台下,,34.4992333,132.3950612,1100 1,,0,,,,
1100 2,,くすの木台下,,34.5001346,132.3944632,1100 2,,0,,,,
1110 1,,くすの木台中,,34.5022641,132.3927157,1110 1,,0,,,,
