station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
2cfab9be-6fb9-4cef-b37f-9686214d6ea0,1636001@HiroshimaArea,,3,,あさひが丘方面,あさひが丘１番@HiroshimaArea
80a36fbc-6cef-42cf-8cfe-4e065c3ea3c4,1636002@HiroshimaArea,,3,,広島方面,あさひが丘１番@HiroshimaArea
06140464-d02c-480a-84b8-87efd379dacf,1637001@HiroshimaArea,,3,,あさひが丘方面,あさひが丘２番@HiroshimaArea
d11b7411-0ebf-404c-bb89-b0ae6e43a885,1637002@HiroshimaArea,,3,,広島方面,あさひが丘２番@HiroshimaArea
8b4860a3-7601-4750-94c7-8d8e458b9060,1638001@HiroshimaArea,,3,,広島方面,あさひが丘３番@HiroshimaArea
912a451b-a432-461a-98b6-b90b4a320705,1638002@HiroshimaArea,,3,,あさひが丘方面,あさひが丘３番@HiroshimaArea
198de2ce-3532-4797-83b1-bfb227592448,1617003@HiroshimaArea,,3,,上安駅方面,あさひが丘下@HiroshimaArea
4a8ca66e-39eb-4026-85e3-865373cb88d3,1617002@HiroshimaArea,,3,,広島方面 起点,あさひが丘下@HiroshimaArea
d301d98d-9417-4f15-98d4-ae0c975ee29c,@HiroshimaArea,,3,,,あさひが丘下@HiroshimaArea
b713c3aa-ba18-4bc9-a34d-7c1f83420024,@HiroshimaArea,,3,,,あさひが丘下@HiroshimaArea
d8b92612-3181-42ba-a50b-8bd64837167f,1619001@HiroshimaArea,,3,,広島方面,あさひが丘上@HiroshimaArea
d528d9c2-c9cf-4825-8f8c-b75239040367,1619002@HiroshimaArea,,3,,あさひが丘方面,あさひが丘上@HiroshimaArea
062217f8-04c3-485e-82dd-e7aa0b4a8cd2,@HiroshimaArea,,3,,,あさひが丘上@HiroshimaArea
c2e62dec-df21-470a-9225-ba18ef437c2e,1618001@HiroshimaArea,,3,,広島方面,あさひが丘中@HiroshimaArea
7dda7664-ed89-48e0-b910-094df11399c4,1618002@HiroshimaArea,,3,,あさひが丘方面,あさひが丘中@HiroshimaArea
d4845872-64d8-4fe8-b42a-f59b945675f5,2182001@HiroshimaArea,,3,,あさひが丘方面,あさひが丘展望台入口@HiroshimaArea
065c6024-5d81-4a6f-92fe-387b7203db93,2182002@HiroshimaArea,,3,,広島方面,あさひが丘展望台入口@HiroshimaArea
12f34cb2-9106-4ebb-b8dd-463f180860ae,3817401@HiroshimaArea,,3,,上安駅方面,あさひが丘東@HiroshimaArea
713a1cb6-1ca9-48e5-b58b-ef12909cc253,3817402@HiroshimaArea,,3,,飯室方面、あさひが丘県営方面,あさひが丘東@HiroshimaArea
df09e3c6-41ca-497b-a7c7-c40a2efcdb04,1571001@HiroshimaArea,,3,,広島方面,くすの木台@HiroshimaArea
eaa8506f-615a-4920-a2d4-3fe5dec3e509,1571002@HiroshimaArea,,3,,くすの木台方面,くすの木台@HiroshimaArea
d2b9391d-8fc4-4cca-bc33-73fab6602733,1569001@HiroshimaArea,,3,,広島方面,くすの木台下@HiroshimaArea
889c2597-7508-492a-9ac0-2bbcf7b284e7,1569002@HiroshimaArea,,3,,くすの木台方面,くすの木台下@HiroshimaArea
d509bdb9-6989-4713-be56-59dc1f816ece,1570001@HiroshimaArea,,3,,広島方面,くすの木台中@HiroshimaArea
e27f2834-105d-4e42-80d9-45008fd906db,1570002@HiroshimaArea,,3,,くすの木台方面,くすの木台中@HiroshimaArea
2970ace1-7558-46d1-9974-49cfd7d46bc0,1610001@HiroshimaArea,,3,,広島方面,安県営住宅@HiroshimaArea
9bd3bdf6-ddcc-4564-a71b-4cf38c75f693,1610002@HiroshimaArea,,3,,あさひが丘方面,安県営住宅@HiroshimaArea
60d46c20-0372-4378-8289-a5c6526bf50e,@HiroshimaArea,,1,,広島方面,安佐営業所@HiroshimaArea
2e7b9fb6-71c0-4e6b-a2fa-e643d6764ce4,2225002@HiroshimaArea,,3,,その他方面,安佐営業所@HiroshimaArea
1417ccea-f498-451a-af73-ac035594e355,2224001@HiroshimaArea,,3,,広島方面,安佐出張所前@HiroshimaArea
7bd4b121-f8c1-4dfc-b987-d4457153ddf0,2224002@HiroshimaArea,,3,,北方面,安佐出張所前@HiroshimaArea
8c607db6-1c17-4b74-994d-4ebf5e28641d,1615001@HiroshimaArea,,3,,広島方面,安佐動物公園@HiroshimaArea
68c948e2-21b1-4b1a-900f-08cf6a20bff1,1615002@HiroshimaArea,,3,,あさひが丘方面,安佐動物公園@HiroshimaArea
0b7b6fb1-38bb-4335-9e12-6014fc9fca57,3813701@HiroshimaArea,,3,,大原駅方面,一つ町@HiroshimaArea
573e765a-4c20-4201-9745-4ecf12bb3494,3813702@HiroshimaArea,,3,,飯室方面,一つ町@HiroshimaArea
56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,0892001@HiroshimaArea,,3,,飯室・可部方面,宇津@HiroshimaArea
9cbdc792-bbbe-4f8c-acf4-14d8eb144ecb,0892002@HiroshimaArea,,3,,三段峡・大原駅・上安駅方面,宇津@HiroshimaArea
51f374aa-6d21-49fb-8a73-f974a0e8c686,1488001@HiroshimaArea,,3,1,大塚方面,下向@HiroshimaArea
10bd9bac-9bbd-478d-a4f5-169694ca3ea3,1488002@HiroshimaArea,,3,2,沼田高校方面,下向@HiroshimaArea
69c633e4-11b2-4b4b-b2d7-25a68a68a499,1488004@HiroshimaArea,,3,4,高速４号方面（安川通り）,下向@HiroshimaArea
79a65481-b580-45eb-a221-4c0fd78ba713,1511001@HiroshimaArea,,3,,沼田高校方面,下向上@HiroshimaArea
e2f26256-a290-45a9-b70e-e48370c7bef1,1511002@HiroshimaArea,,3,,古市方面,下向上@HiroshimaArea
174adde3-31bf-4198-b84d-d6720eb6d699,1550001@HiroshimaArea,,3,,大原駅方面、沼田高校方面,下大下@HiroshimaArea
1e930226-27a1-47c0-b32b-27548037bb5c,1550002@HiroshimaArea,,3,,戸山方面、飯室方面,下大下@HiroshimaArea
4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,1611001@HiroshimaArea,,3,,広島方面,下萩原@HiroshimaArea
4bf8c8c9-f5d1-46fc-a4b4-924e8d3743fb,1611002@HiroshimaArea,,3,,あさひが丘方面,下萩原@HiroshimaArea
ae1d12e0-9c28-42b1-b240-b1f6b2088044,1489001@HiroshimaArea,,3,,古市方面,下伴@HiroshimaArea
af43631a-e4ab-4d99-ae20-93f0be8cc7a6,1489002@HiroshimaArea,,3,,高速４号方面,下伴@HiroshimaArea
b44306b1-88b5-4fd0-a07a-18de5339dd3d,3811601@HiroshimaArea,,3,,大原駅方面、沼田高校方面,下槙原@HiroshimaArea
146b32f9-eefb-4f13-921e-b8c16e6c78f1,3811602@HiroshimaArea,,3,,戸山方面,下槙原@HiroshimaArea
730ccce4-1703-4b11-887e-2207466e6c50,3809801@HiroshimaArea,,3,,大原駅方面、沼田高校方面,角山橋@HiroshimaArea
aa87b246-682e-4275-9ce4-ade82d52aba4,3809802@HiroshimaArea,,3,,戸山方面,角山橋@HiroshimaArea
241569d9-bf80-4581-a6f1-587fb1270c07,3810601@HiroshimaArea,,3,,大原駅方面、沼田高校方面,吉山@HiroshimaArea
f9ba64fa-a955-478b-9da9-b8acacde0232,3810602@HiroshimaArea,,3,,戸山方面,吉山@HiroshimaArea
3cba5ad5-672c-47d2-884b-60b2642871ad,3814001@HiroshimaArea,,3,,大原駅方面,久地学校@HiroshimaArea
f995ddfb-9cf2-4084-8564-522f1cab7475,3814002@HiroshimaArea,,3,,飯室方面,久地学校@HiroshimaArea
d144fc73-f62b-4ef2-8104-f3abeabf9eac,1555001@HiroshimaArea,,3,,大原駅方面、沼田高校方面,久地魚切@HiroshimaArea
26c6cfbc-cf8a-4946-ade3-6e0d9c923fa7,1555002@HiroshimaArea,,3,,戸山方面、くすのき台方面,久地魚切@HiroshimaArea
c644136b-8759-4b73-aa52-b1dbc39b3fc7,1555003@HiroshimaArea,,3,,大原駅方面,久地魚切@HiroshimaArea
0d062256-8e6a-4b86-8699-48fe727d0c7f,1555004@HiroshimaArea,,3,,飯室方面,久地魚切@HiroshimaArea
33d0579e-2f15-493b-bdb2-77e0cb61b783,1552001@HiroshimaArea,,3,,広島方面,久地境原@HiroshimaArea
b2105ec0-341e-460b-8e94-9a7ad863da77,1552002@HiroshimaArea,,3,,くすの木台方面,久地境原@HiroshimaArea
a87f091e-db28-47c1-8b5c-a7abcf7232d7,3814201@HiroshimaArea,,3,,大原駅方面,久地川井@HiroshimaArea
0b64697e-c469-414b-aa1e-fbdd9bc7a415,3814202@HiroshimaArea,,3,,飯室方面,久地川井@HiroshimaArea
92a0bfc7-a2bb-4e70-8d23-afe5878be773,3813901@HiroshimaArea,,3,,大原駅方面,久地農協@HiroshimaArea
3878af80-7201-4f8d-a089-2a0dd600951c,3813902@HiroshimaArea,,3,,飯室方面,久地農協@HiroshimaArea
288d16f8-7abc-4ac6-bb96-6a7deeda834f,3814101@HiroshimaArea,,3,,大原駅方面,久地本郷下@HiroshimaArea
96f8c6de-f4e8-44ff-ad31-27881952fc41,3814102@HiroshimaArea,,3,,飯室方面,久地本郷下@HiroshimaArea
f1a5aef2-8493-4c6f-a26a-02a3369196fb,3813301@HiroshimaArea,,3,,大原駅方面,魚切橋@HiroshimaArea
e4ce70b8-168f-4ab9-b789-33c35cfa1819,3813302@HiroshimaArea,,3,,飯室方面,魚切橋@HiroshimaArea
ceef18c4-a895-4223-aa92-a5189f358d32,3813201@HiroshimaArea,,3,,大原駅方面,魚切中@HiroshimaArea
707cd415-9bda-4898-b5a5-752a13b77b17,3813202@HiroshimaArea,,3,,飯室方面,魚切中@HiroshimaArea
1b693cd1-f149-4409-834a-2b676ee8d9f1,3817501@HiroshimaArea,,3,,上安駅方面,教雲寺前@HiroshimaArea
9c7dbcf1-b044-4d33-83fa-e0f50c0e3a8b,3817502@HiroshimaArea,,3,,飯室方面、あさひが丘県営方面,教雲寺前@HiroshimaArea
29793e8f-5572-42be-930a-dcdc9d8af3ae,3811801@HiroshimaArea,,3,,大原駅方面、沼田高校方面,郷坂@HiroshimaArea
ce6f58a6-efa2-49db-b166-dc2ab2f881e9,3811802@HiroshimaArea,,3,,戸山方面,郷坂@HiroshimaArea
f510374a-404b-442e-b586-e1a6a35fc6d1,1635001@HiroshimaArea,,3,,あさひが丘方面,県営あさひが丘住宅@HiroshimaArea
d7b5a6a4-6315-4b86-8c9f-33d13685a174,1635002@HiroshimaArea,,3,,広島方面,県営あさひが丘住宅@HiroshimaArea
ce60f36f-308d-43c4-b911-e8911ce6f72d,3810701@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山学校@HiroshimaArea
5e21aa34-07aa-48ae-a8eb-59bd57fcf768,3810702@HiroshimaArea,,3,,戸山方面,戸山学校@HiroshimaArea
771284a8-4e44-495f-8272-43f5fe801772,3809601@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山車庫@HiroshimaArea
acb70e15-1606-4594-85b4-2bd31d156dc2,3809602@HiroshimaArea,,3,,戸山方面,戸山車庫@HiroshimaArea
03c16ba3-b229-40f2-82ac-f9cfd19496f2,3810001@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山中村@HiroshimaArea
f3e28f66-83b9-45fd-ae63-befeee80c1fa,3810002@HiroshimaArea,,3,,戸山方面,戸山中村@HiroshimaArea
4152799d-729c-4ca9-9d44-5a0f8769678d,3811501@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山農協支所前@HiroshimaArea
b61fe805-bf03-4659-adfe-2814c4e62ba4,3811502@HiroshimaArea,,3,,戸山方面,戸山農協支所前@HiroshimaArea
83384f4a-135c-4b49-b238-088752694d8d,3811401@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山槙原@HiroshimaArea
bb51f2b1-e118-4dfa-a7fa-2cd18d6d6424,3811402@HiroshimaArea,,3,,戸山方面,戸山槙原@HiroshimaArea
d9ff27ad-b410-4759-be9f-5aa4c11ec5b9,3810801@HiroshimaArea,,3,,大原駅方面、沼田高校方面,戸山郵便局前@HiroshimaArea
daffd2df-fa36-48b7-97c3-4673ec305e7d,3810802@HiroshimaArea,,3,,戸山方面,戸山郵便局前@HiroshimaArea
5e507590-5bc7-471f-99a9-96c0695ccb84,3817601@HiroshimaArea,,3,,上安駅方面,後山下@HiroshimaArea
ed004ce7-5031-4588-84ab-dccef27adea1,3817602@HiroshimaArea,,3,,飯室方面、あさひが丘県営方面,後山下@HiroshimaArea
3c8c76d6-e756-47a7-b086-bbedd2a70e78,1616001@HiroshimaArea,,3,,広島方面,後山上@HiroshimaArea
2fa56a87-5a94-4753-bdee-dde7a3b7ff5f,1616003@HiroshimaArea,,3,,飯室方面、あさひが丘県営方面,後山上@HiroshimaArea
93edbfd9-5764-44a2-8647-f80f42d6d0dc,@HiroshimaArea,,3,,,後山上@HiroshimaArea
f95c446b-c54e-469b-a7ee-70555ac2af4c,3817701@HiroshimaArea,,3,,上安駅方面,後山農協@HiroshimaArea
78d21a30-66bf-4558-8036-e19b66d4b601,3817702@HiroshimaArea,,3,,飯室方面、あさひが丘県営方面,後山農協@HiroshimaArea
c531103d-f3a3-4831-84d1-e599f0a2194a,1553001@HiroshimaArea,,3,,大原駅方面、沼田高校方面,幸の神@HiroshimaArea
6ba0a6fc-94ca-4d7c-8d09-d41edd0ac3e0,1553002@HiroshimaArea,,3,,戸山方面、くすのき台方面,幸の神@HiroshimaArea
43eb9271-a722-4532-b005-6de9aa96edef,1553003@HiroshimaArea,,3,,大原駅方面,幸の神@HiroshimaArea
3ef8478d-91f6-4660-bbd5-932393c23867,1553004@HiroshimaArea,,3,,飯室方面,幸の神@HiroshimaArea
94f3214f-c638-429c-890a-e468b1b780c8,1490001@HiroshimaArea,,3,,古市方面,広陵学園入口@HiroshimaArea
ba6ff3f7-9bfe-434e-9f52-690bcb01aed7,1490002@HiroshimaArea,,3,,高速４号方面,広陵学園入口@HiroshimaArea
5e2bd0f7-c4b4-4bf6-a4a2-992422608e14,1614001@HiroshimaArea,,3,,広島方面,荒谷@HiroshimaArea
ac742e9c-1402-457c-8250-332555188882,1614002@HiroshimaArea,,3,,あさひが丘方面,荒谷@HiroshimaArea
40cd7035-a3f2-4eb3-9155-43ee181389cd,3811701@HiroshimaArea,,3,,大原駅方面、沼田高校方面,高浜@HiroshimaArea
34d82595-d78b-48f1-9b85-7ee4918d99ce,3811702@HiroshimaArea,,3,,戸山方面,高浜@HiroshimaArea
586e0c87-f627-49d2-ad42-45b5b35e3b92,3816401@HiroshimaArea,,3,,上安駅方面,才の原@HiroshimaArea
b9837d45-0ffa-4a43-8baa-32ab645e88f7,3816402@HiroshimaArea,,3,,飯室方面,才の原@HiroshimaArea
3ef070f0-2858-454c-9150-92a2bbbe04f1,3816301@HiroshimaArea,,3,,上安駅方面,才の原下@HiroshimaArea
94c25cb5-24a2-4164-baea-eca7055d4dd7,3816302@HiroshimaArea,,3,,飯室方面,才の原下@HiroshimaArea
ac12b681-9be5-430f-8979-9d902bb0a38a,1548001@HiroshimaArea,,3,,広島方面,細坂上@HiroshimaArea
5176d405-f5d4-46a6-910a-269e0e96bc52,1548002@HiroshimaArea,,3,,くすの木台方面,細坂上@HiroshimaArea
0c719c1d-d16e-4a6e-9a30-86c4e90d53e4,3810201@HiroshimaArea,,3,,大原駅方面、沼田高校方面,桜が峠口@HiroshimaArea
f98f74e7-cfb6-4c8f-a33a-d30a475cb497,3810202@HiroshimaArea,,3,,戸山方面,桜が峠口@HiroshimaArea
afeb7e38-d2a6-4af3-b3de-d07b5df7cedb,3816201@HiroshimaArea,,3,,上安駅方面,三国分れ@HiroshimaArea
b359a9a8-aed0-43c5-bb26-70e5227172d7,3816202@HiroshimaArea,,3,,飯室方面,三国分れ@HiroshimaArea
4ffb6b3a-1267-40b2-9c6c-6e880188e0ef,1492001@HiroshimaArea,,3,,沼田高校方面,三菱団地入口@HiroshimaArea
9d17f329-93b1-41b3-b95f-d6fea18e632f,1492002@HiroshimaArea,,3,,戸山方面、くすのき台方面,三菱団地入口@HiroshimaArea
d5b512b9-12e5-44e3-ad8f-21a1c81b68d2,3811001@HiroshimaArea,,3,,大原駅方面、沼田高校方面,三本柿@HiroshimaArea
38a64828-7a6a-460e-bfa0-f9f2417ab8f7,3811002@HiroshimaArea,,3,,戸山方面,三本柿@HiroshimaArea
a8eb60df-3758-4e52-b969-9e5ed547471d,3811301@HiroshimaArea,,3,,大原駅方面、沼田高校方面,出雲@HiroshimaArea
b1d53ae6-7d13-4293-890d-24e902f8574b,3811302@HiroshimaArea,,3,,戸山方面,出雲@HiroshimaArea
6d87e915-0f13-4010-8862-199e7944f644,0897001@HiroshimaArea,,3,,可部方面,小浜@HiroshimaArea
36ca84f7-6ee7-4de7-a711-f73f16b2c3ab,0897002@HiroshimaArea,,3,,北方面,小浜@HiroshimaArea
b909da3a-b1c4-4425-91f4-69937eecdcbc,3813401@HiroshimaArea,,3,,大原駅方面,小野原@HiroshimaArea
b4087be1-d2f2-44ee-9a3f-08b7e086babc,3813402@HiroshimaArea,,3,,飯室方面,小野原@HiroshimaArea
7725b388-5256-45c7-821c-a7ccdf6130b7,3813601@HiroshimaArea,,3,,大原駅方面,小野原三国口@HiroshimaArea
75782fe5-73b0-4547-9c25-869dea7382de,3813602@HiroshimaArea,,3,,飯室方面,小野原三国口@HiroshimaArea
6013b43c-af2f-4e10-9cd4-d94596c04681,1491001@HiroshimaArea,,3,,古市方面,松宗@HiroshimaArea
