trans_id,lang,translation
フォーブル,ja,フォーブル
フォーブル,ja-Hrkt,フォーブル
フォーブル,en,"FORBLE, INC."
あさひが丘１番,ja,あさひが丘１番
あさひが丘１番,ja-Hrkt,あさひがおかいちばん
あさひが丘１番,en,Asahigaoka-ichiban
あさひが丘１番,ko,아사히가오카 1반
あさひが丘１番,zh-cn,旭丘1番
あさひが丘１番,zh-tw,旭丘1番
あさひが丘２番,ja,あさひが丘２番
あさひが丘２番,ja-Hrkt,あさひがおかにばん
あさひが丘２番,en,Asahigaoka-niban
あさひが丘２番,ko,아사히가오카 2반
あさひが丘２番,zh-cn,旭丘2番
あさひが丘２番,zh-tw,旭丘2番
あさひが丘３番,ja,あさひが丘３番
あさひが丘３番,ja-Hrkt,あさひがおかさんばん
あさひが丘３番,en,Asahigaoka-samban
あさひが丘３番,ko,아사히가오카 3반
あさひが丘３番,zh-cn,旭丘3番
あさひが丘３番,zh-tw,旭丘3番
あさひが丘下,ja,あさひが丘下
あさひが丘下,ja-Hrkt,あさひがおかしも
あさひが丘下,en,Asahigaoka-shimo
あさひが丘下,ko,아사히가오카 시모
あさひが丘下,zh-cn,旭丘下
あさひが丘下,zh-tw,旭丘下
あさひが丘上,ja,あさひが丘上
あさひが丘上,ja-Hrkt,あさひがおかかみ
あさひが丘上,en,Asahigaoka-kami
あさひが丘上,ko,아사히가오카 카미
あさひが丘上,zh-cn,旭丘上
あさひが丘上,zh-tw,旭丘上
あさひが丘中,ja,あさひが丘中
あさひが丘中,ja-Hrkt,あさひがおかなか
あさひが丘中,en,Asahigaoka-naka
あさひが丘中,ko,아사히가오카 나카
あさひが丘中,zh-cn,旭丘中
あさひが丘中,zh-tw,旭丘中
あさひが丘展望台,ja,あさひが丘展望台
あさひが丘展望台,ja-Hrkt,あさひがおかてんぼうだい
あさひが丘展望台,en,Asahigaoka Tembodai-iriguchi (Asahigaoka Lookout)
あさひが丘展望台,ko,아사히가오카 전망대
あさひが丘展望台,zh-cn,旭丘展望台入口
あさひが丘展望台,zh-tw,旭丘展望臺入口
あさひが丘展望台入口,ja,あさひが丘展望台入口
あさひが丘展望台入口,ja-Hrkt,あさひがおかてんぼうだい
あさひが丘展望台入口,en,Asahigaoka Tembodai-iriguchi (Asahigaoka Lookout)
あさひが丘展望台入口,ko,아사히가오카 전망대
あさひが丘展望台入口,zh-cn,旭丘展望台入口
あさひが丘展望台入口,zh-tw,旭丘展望臺入口
あさひが丘東,ja,あさひが丘東
あさひが丘東,ja-Hrkt,あさひがおかひがし
あさひが丘東,en,Asahigaoka-higashi
あさひが丘東,ko,아사히가오카 히가시
あさひが丘東,zh-cn,旭丘东
あさひが丘東,zh-tw,旭丘東
くすの木台,ja,くすの木台
