trans_id,lang,translation,category,station_sid,course_sid
フォーブル,ja,フォーブル,agency_name,,
フォーブル,ja-Hrkt,フォーブル,agency_name,,
フォーブル,en,"FORBLE, INC.",agency_name,,
あさひが丘１番,ja,あさひが丘１番,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘１番,ja-Hrkt,あさひがおかいちばん,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘１番,en,Asahigaoka-ichiban,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘１番,ko,아사히가오카 1반,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘１番,zh-cn,旭丘1番,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘１番,zh-tw,旭丘1番,stop_name,2cfab9be-6fb9-4cef-b37f-9686214d6ea0,
あさひが丘２番,ja,あさひが丘２番,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘２番,ja-Hrkt,あさひがおかにばん,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘２番,en,Asahigaoka-niban,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘２番,ko,아사히가오카 2반,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘２番,zh-cn,旭丘2番,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘２番,zh-tw,旭丘2番,stop_name,06140464-d02c-480a-84b8-87efd379dacf,
あさひが丘３番,ja,あさひが丘３番,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘３番,ja-Hrkt,あさひがおかさんばん,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘３番,en,Asahigaoka-samban,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘３番,ko,아사히가오카 3반,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘３番,zh-cn,旭丘3番,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘３番,zh-tw,旭丘3番,stop_name,8b4860a3-7601-4750-94c7-8d8e458b9060,
あさひが丘下,ja,あさひが丘下,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
あさひが丘下,ja-Hrkt,あさひがおかしも,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
あさひが丘下,en,Asahigaoka-shimo,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
あさひが丘下,ko,아사히가오카 시모,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
あさひが丘下,zh-cn,旭丘下,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
あさひが丘下,zh-tw,旭丘下,stop_name,198de2ce-3532-4797-83b1-bfb227592448,
