daiya_sid,bin_no,course_sid
2e012701-3f98-4abb-abd4-3d9e8e1871e8,1,9cf5d60b-7a0c-425d-9715-0848ccf230ce
e2e6895f-a90a-42d5-a9ea-d099672a80dc,2,9cf5d60b-7a0c-425d-9715-0848ccf230ce
cfa7a423-fa84-42b4-b2c6-ca480cc71d97,1,5bdf4eaa-d9c4-4249-b528-0bdb87339d54
d122c0cd-938c-4347-a86b-fe9c9faee419,1,5bdf4eaa-d9c4-4249-b528-0bdb87339d54
5ccddd9d-346b-46f7-9567-9f4dd3f0aed1,1,5bdf4eaa-d9c4-4249-b528-0bdb87339d54
4e3c5f7b-6fd3-453e-83c3-bf8448aa50df,2,5bdf4eaa-d9c4-4249-b528-0bdb87339d54
4827740f-9c2f-47d7-a86b-b7c7c9cf879a,10,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
79ceeba3-bbeb-480e-a52b-aaa0e0e7f7de,5,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
e995afa4-accd-4041-9d2f-a00650bf378f,6,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
8c00b2f1-a002-4f2c-ba23-8ec5e5a2d1e5,11,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
189e438d-ff3f-4ffb-9017-93062486841a,3,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
ea326eb1-2467-488e-8d9c-97003fb1deae,2,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
c05494a4-928c-48d5-b21a-98f5db037a9d,4,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
db12bab2-e8c3-4b5f-b164-62388777b7ba,11,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
429b4127-fb10-42cd-9974-6a85ff9aa238,7,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
ac7b72ef-8ea0-40d7-9c76-6f558fa0da5f,7,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
d94bdfe4-f066-4e8e-a873-7335fbc81b8d,8,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
bfc2fa58-f8a9-44d8-9e44-75250ef0d8d1,13,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
3bcb70b0-2b8c-4acb-9b7b-7beafe031693,10,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
a3d32e44-d1a6-44be-b569-7fda0a59cdc9,9,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
f8d9e14c-654a-4ee7-a9ea-85d0e189c1fd,5,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
c75779a7-b511-40eb-97a9-4604be03d2d7,4,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
027cf34c-09bb-4fc4-bf9d-32653fb9d48c,8,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
fb6cad97-e005-450a-9a4a-37b39578f3ca,2,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
720cb83a-73f7-48a1-9685-4b3cf5caba66,10,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
b779add8-d3b8-4e83-9a16-4d8cd668d775,11,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
d680e4e1-e589-4f2c-97d4-4f0a02896538,12,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
592484b2-ed6e-4779-88cb-5bf1c295e22e,3,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
1773b997-20c6-4160-8e57-07013db5b444,5,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
2f1939ae-aa30-40f9-b4d2-0b4ac7ff1ce8,4,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
fc9b61ee-f927-4407-94ec-181d28d9ba6a,3,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
d046f5ff-c776-42ee-ad2e-1830faab31c4,6,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
8b6f3669-c859-47e0-aea6-191796c740f9,1,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
49d6e4fd-ab77-4674-a798-27fa6f7727fd,6,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
c7ca80c9-5674-4e25-b761-2a2d3a5bf453,9,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
591c1dcc-2e9d-4575-b368-f820c3766ac5,1,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
459dc492-b81a-483f-b458-cd2552a3183b,1,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
d6a9d28f-fa1f-43d3-97e2-c431cf26b523,9,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
f7d75fd6-14a0-45d3-83f9-c59d76360aa3,2,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
541bc29e-2e5c-4beb-8c34-d8363884f283,7,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
20f03ce7-be57-4461-b847-dbb3378bf0bf,8,46e0f7d3-0c95-48b1-b1b2-0c3fc96a6311
6d7f9f3b-0f29-475c-998f-65bd6e2c37ad,4,c5790ee2-a30a-41c9-b4e8-127854b00a8f
9044a937-fe24-4c35-b00d-5ff25cc789d5,10,c5790ee2-a30a-41c9-b4e8-127854b00a8f
088c702e-565a-495a-9f4e-5dca856c736e,7,c5790ee2-a30a-41c9-b4e8-127854b00a8f
2b9f4d60-8bcc-4635-b688-6b53a8af213d,20,c5790ee2-a30a-41c9-b4e8-127854b00a8f
66939270-f7a2-413b-90db-6da3bdaa7c4b,16,c5790ee2-a30a-41c9-b4e8-127854b00a8f
a37a5751-2d17-4420-9952-747f2e9548d0,14,c5790ee2-a30a-41c9-b4e8-127854b00a8f
2ede7627-b2ac-4dca-9f1d-77102fa4bd7a,13,c5790ee2-a30a-41c9-b4e8-127854b00a8f
88b06a1c-fa24-4537-8640-8197d3b4369f,14,c5790ee2-a30a-41c9-b4e8-127854b00a8f
49f57feb-26bd-4a61-9727-81a3d32700c7,29,c5790ee2-a30a-41c9-b4e8-127854b00a8f
653f5929-daf9-4c11-b937-82574dc248bd,23,c5790ee2-a30a-41c9-b4e8-127854b00a8f
6a8c7b61-a721-40bb-9ad6-7ba3bdde3504,15,c5790ee2-a30a-41c9-b4e8-127854b00a8f
cc07d91d-9245-4575-b86c-7c3964125cf7,6,c5790ee2-a30a-41c9-b4e8-127854b00a8f
b7c3c6c9-2a38-4691-b4c5-7766c9bd7481,7,c5790ee2-a30a-41c9-b4e8-127854b00a8f
9cf0dffd-dffe-4c8d-9fa2-78aa6d9f77d7,12,c5790ee2-a30a-41c9-b4e8-127854b00a8f
bb555138-edbf-4d84-97ae-88d784019471,13,c5790ee2-a30a-41c9-b4e8-127854b00a8f
d4ca3f4b-c92f-4581-9199-82ff999e9046,21,c5790ee2-a30a-41c9-b4e8-127854b00a8f
1a23e0fa-263b-4349-a5a4-837a82f644d0,6,c5790ee2-a30a-41c9-b4e8-127854b00a8f
873d3e84-121f-4586-bad7-8addf977aadd,11,c5790ee2-a30a-41c9-b4e8-127854b00a8f
5f6078bc-176d-43a6-81e7-bb96590d5981,17,c5790ee2-a30a-41c9-b4e8-127854b00a8f
f133cec7-3620-4376-b312-c141fa2c0911,5,c5790ee2-a30a-41c9-b4e8-127854b00a8f
eb287788-1b92-464b-b02a-bc9ea7c9f011,19,c5790ee2-a30a-41c9-b4e8-127854b00a8f
e52c3a4c-6551-4141-8080-b33b2374f5b6,11,c5790ee2-a30a-41c9-b4e8-127854b00a8f
ae08630a-6803-4620-b8af-b1f20fe5b6be,8,c5790ee2-a30a-41c9-b4e8-127854b00a8f
625fd532-f694-48a2-ac8f-b22906f63d48,23,c5790ee2-a30a-41c9-b4e8-127854b00a8f
4d0b3131-1b3b-454b-b45b-ab909225dfec,15,c5790ee2-a30a-41c9-b4e8-127854b00a8f
81f31776-c73b-4a64-a932-ac9345b2823a,3,c5790ee2-a30a-41c9-b4e8-127854b00a8f
7efbb618-326c-4b5a-84ee-9827564e3f1c,12,c5790ee2-a30a-41c9-b4e8-127854b00a8f
b67c5b41-9471-44a9-868c-9778ce9d8824,3,c5790ee2-a30a-41c9-b4e8-127854b00a8f
2608cfb6-3a28-4220-93c2-92dba4304ab0,7,c5790ee2-a30a-41c9-b4e8-127854b00a8f
e2226d32-b9b5-4736-9cf9-9196d5431ba8,9,c5790ee2-a30a-41c9-b4e8-127854b00a8f
ab00caf5-4156-47e3-becf-a2bf018d1b8c,5,c5790ee2-a30a-41c9-b4e8-127854b00a8f
c7c59951-b0c3-4cf8-9a82-a3213ab0bc67,6,c5790ee2-a30a-41c9-b4e8-127854b00a8f
749cc2b8-15fe-481d-97fe-9dca57e0236d,2,c5790ee2-a30a-41c9-b4e8-127854b00a8f
4b62822d-51f0-485e-a1ab-9b948150763a,1,c5790ee2-a30a-41c9-b4e8-127854b00a8f
1df1931a-aebc-4cd4-83a3-55161c08a144,9,c5790ee2-a30a-41c9-b4e8-127854b00a8f
11b9eac9-19a7-40f0-a4b3-542789a99482,10,c5790ee2-a30a-41c9-b4e8-127854b00a8f
9e51f67c-1448-4ef8-b7c6-588ee7498296,20,c5790ee2-a30a-41c9-b4e8-127854b00a8f
2618f110-c65f-4c49-a45d-5a95fec89aaf,4,c5790ee2-a30a-41c9-b4e8-127854b00a8f
90cf56a4-883e-497d-8c5a-4f2ae6330493,20,c5790ee2-a30a-41c9-b4e8-127854b00a8f
