service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_平日(共通),1,1,1,1,1,0,0,20260401,20261001
1_土曜(共通),0,0,0,0,0,1,0,20260401,20261001
1_日祝(共通),0,0,0,0,0,0,1,20260401,20261001
2_平日(共通),1,1,1,1,1,0,0,20260401,20261001
2_土曜(共通),0,0,0,0,0,1,0,20260401,20261001
2_日祝(共通),0,0,0,0,0,0,1,20260401,20261001
3_平日(共通),1,1,1,1,1,0,0,20260401,20261001
3_土曜(共通),0,0,0,0,0,1,0,20260401,20261001
3_日祝(共通),0,0,0,0,0,0,1,20260401,20261001
4_平日(共通),1,1,1,1,1,0,0,20260401,20261001
4_土曜(共通),0,0,0,0,0,1,0,20260401,20261001
4_日祝(共通),0,0,0,0,0,0,1,20260401,20261001
5_平日(共通),1,1,1,1,1,0,0,20260401,20261001
5_土曜(共通),0,0,0,0,0,1,0,20260401,20261001
5_日祝(共通),0,0,0,0,0,0,1,20260401,20261001
