fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
3240001022504_150_00,150,JPY,0,0,,3240001022504
3240001022504_160_00,160,JPY,0,0,,3240001022504
3240001022504_180_00,180,JPY,0,0,,3240001022504
3240001022504_190_00,190,JPY,0,0,,3240001022504
3240001022504_200_00,200,JPY,0,0,,3240001022504
3240001022504_210_00,210,JPY,0,0,,3240001022504
3240001022504_230_00,230,JPY,0,0,,3240001022504
3240001022504_240_00,240,JPY,0,0,,3240001022504
3240001022504_250_00,250,JPY,0,0,,3240001022504
3240001022504_260_00,260,JPY,0,0,,3240001022504
3240001022504_280_00,280,JPY,0,0,,3240001022504
3240001022504_290_00,290,JPY,0,0,,3240001022504
3240001022504_330_00,330,JPY,0,0,,3240001022504
3240001022504_340_00,340,JPY,0,0,,3240001022504
3240001022504_360_00,360,JPY,0,0,,3240001022504
3240001022504_390_00,390,JPY,0,0,,3240001022504
3240001022504_410_00,410,JPY,0,0,,3240001022504
