fare_id,route_id,origin_id,destination_id,contains_id
3240001022504_150_00,354392225,2818 1,2799 2,
3240001022504_150_00,354392225,2629 3,2791 3,
3240001022504_150_00,354392225,2817 2,2799 2,
3240001022504_150_00,354392225,2791 3,2792 1,
3240001022504_150_00,354392225,2795 1,2994 1,
3240001022504_150_00,354392225,2795 1,2797 1,
3240001022504_150_00,354392225,2795 1,2796 1,
3240001022504_150_00,354392225,2816 1,2819 2,
3240001022504_150_00,354392225,2818 2,2994 1,
3240001022504_150_00,354392225,2819 2,2816 2,
3240001022504_150_00,354392225,2818 1,2818 2,
3240001022504_150_00,354392225,2816 2,2994 1,
3240001022504_150_00,354392225,2627 1,2790 1,
3240001022504_150_00,354392225,2795 1,2815 2,
3240001022504_150_00,354392225,2797 1,2994 1,
3240001022504_150_00,354392225,2799 2,2993 1,
3240001022504_150_00,354392225,2625 4,2629 3,
3240001022504_150_00,354392225,2815 1,2990 1,
3240001022504_150_00,354392225,2815 1,2992 1,
3240001022504_150_00,354392225,2817 1,2818 2,
3240001022504_150_00,354392225,2991 1,2975 0,
3240001022504_150_00,354392225,2796 1,2798 1,
3240001022504_150_00,354392225,2819 2,2818 2,
3240001022504_150_00,354392225,2818 1,2817 2,
3240001022504_150_00,354392225,2793 1,2795 1,
3240001022504_150_00,354392225,2795 1,2815 1,
3240001022504_150_00,354392225,2816 1,2818 1,
3240001022504_150_00,354392225,2816 1,2815 2,
3240001022504_150_00,354392225,2994 1,2991 1,
3240001022504_150_00,354392225,2815 2,2991 1,
3240001022504_150_00,354392225,2626 1,2628 1,
3240001022504_150_00,354392225,2796 1,2797 1,
3240001022504_150_00,354392225,2818 1,2815 2,
3240001022504_150_00,354392225,2816 1,2799 2,
3240001022504_150_00,354392225,2815 2,2994 1,
3240001022504_150_00,354392225,2797 1,2799 2,
3240001022504_150_00,354392225,2799 2,2990 1,
3240001022504_150_00,354392225,2799 2,2991 1,
3240001022504_150_00,354392225,2818 2,2799 2,
3240001022504_150_00,354392225,2625 4,2628 1,
3240001022504_150_00,354392225,2626 1,2629 3,
3240001022504_150_00,354392225,2626 1,2790 1,
3240001022504_150_00,354392225,2792 1,2793 1,
3240001022504_150_00,354392225,2990 1,2975 0,
3240001022504_150_00,354392225,2629 3,2790 1,
3240001022504_150_00,354392225,2816 2,2799 2,
3240001022504_150_00,354392225,2791 3,2793 1,
3240001022504_150_00,354392225,2994 1,2993 1,
3240001022504_150_00,354392225,2815 2,2992 1,
3240001022504_150_00,354392225,2794 1,2795 1,
3240001022504_150_00,354392225,2818 2,2815 2,
3240001022504_150_00,354392225,2815 1,2816 2,
3240001022504_150_00,354392225,2815 1,2991 1,
3240001022504_150_00,354392225,2817 1,2817 2,
3240001022504_150_00,354392225,2819 2,2799 2,
3240001022504_150_00,354392225,2816 2,2815 2,
3240001022504_150_00,354392225,2816 1,2817 1,
3240001022504_150_00,354392225,2815 2,2990 1,
3240001022504_150_00,354392225,2815 2,2799 2,
3240001022504_150_00,354392225,2797 1,2815 1,
3240001022504_150_00,354392225,2790 1,2791 3,
3240001022504_150_00,354392225,2815 1,2799 2,
3240001022504_150_00,354392225,2819 2,2994 1,
3240001022504_150_00,354392225,2818 1,2816 2,
3240001022504_150_00,354392225,2798 1,2815 2,
3240001022504_150_00,354392225,2627 1,2628 1,
3240001022504_150_00,354392225,2795 1,2799 2,
3240001022504_150_00,354392225,2799 2,2994 1,
3240001022504_150_00,354392225,2815 1,2993 1,
