service_id,date,exception_type
900_平日(共通),20260429,2
900_日祝(共通),20260429,1
900_平日(共通),20260504,2
900_日祝(共通),20260504,1
900_平日(共通),20260505,2
900_日祝(共通),20260505,1
900_平日(共通),20260506,2
900_日祝(共通),20260506,1
900_平日(共通),20260720,2
900_日祝(共通),20260720,1
900_平日(共通),20260811,2
900_日祝(共通),20260811,1
900_平日(共通),20260813,2
900_日祝(共通),20260813,1
900_平日(共通),20260814,2
900_日祝(共通),20260814,1
900_土曜(共通),20260815,2
900_日祝(共通),20260815,1
900_平日(共通),20260921,2
900_日祝(共通),20260921,1
900_平日(共通),20260922,2
900_日祝(共通),20260922,1
900_平日(共通),20260923,2
900_日祝(共通),20260923,1
