fare_id,route_id,origin_id,destination_id,contains_id
1000020342131_150_00,3277890833,1510 2,20930 2,
1000020342131_150_00,3277890833,20950 2,750 50,
1000020342131_150_00,3277890833,20960 2,750 50,
1000020342131_150_00,3277890833,4982 2,1520 2,
1000020342131_150_00,3277890833,24020 3,1510 2,
1000020342131_150_00,3277890833,24020 3,20960 2,
1000020342131_150_00,3277890833,24020 3,99119 2,
1000020342131_150_00,3277890833,24020 3,2400 2,
1000020342131_150_00,3277890833,5020 2,4982 2,
1000020342131_150_00,3277890833,5020 2,800 50,
1000020342131_150_00,3277890833,4983 2,1510 2,
1000020342131_150_00,3277890833,4983 2,20950 2,
1000020342131_150_00,3277890833,4983 2,21770 50,
1000020342131_150_00,3277890833,4983 2,99119 2,
1000020342131_150_00,3277890833,3000 1,21770 50,
1000020342131_150_00,3277890833,3000 1,1520 2,
1000020342131_150_00,3277890833,4981 2,20970 2,
1000020342131_150_00,3277890833,99119 2,2810 2,
1000020342131_150_00,3277890833,25400 2,750 50,
1000020342131_150_00,3277890833,25400 2,4982 2,
1000020342131_150_00,3277890833,20940 2,19400 50,
1000020342131_150_00,3277890833,2840 2,2810 2,
1000020342131_150_00,3277890833,2400 2,99119 2,
1000020342131_150_00,3277890833,1520 2,2810 2,
1000020342131_150_00,3277890833,20930 2,21770 50,
1000020342131_150_00,3277890833,1510 1,2400 1,
1000020342131_150_00,3277890833,20940 1,750 50,
1000020342131_150_00,3277890833,20950 1,2400 1,
1000020342131_150_00,3277890833,1520 1,1510 1,
1000020342131_150_00,3277890833,1520 1,4982 1,
1000020342131_150_00,3277890833,1520 1,5020 1,
1000020342131_150_00,3277890833,20930 1,2400 1,
1000020342131_150_00,3277890833,99119 1,2400 1,
1000020342131_150_00,3277890833,99119 1,5020 1,
1000020342131_150_00,3277890833,20970 1,20930 1,
1000020342131_150_00,3277890833,20960 1,20930 1,
1000020342131_150_00,3277890833,20960 1,99119 1,
1000020342131_150_00,3277890833,20920 1,4982 1,
1000020342131_150_00,1830949550,5130 1,5070 1,
1000020342131_150_00,1830949550,25050 1,3001 1,
1000020342131_150_00,1830949550,25050 1,5060 1,
1000020342131_150_00,1830949550,25050 1,5110 1,
1000020342131_150_00,1830949550,25050 1,99106 1,
1000020342131_150_00,1830949550,5090 1,5070 1,
1000020342131_150_00,1830949550,5090 1,2400 1,
1000020342131_150_00,1830949550,5110 1,5040 1,
1000020342131_150_00,1830949550,99106 1,5020 1,
1000020342131_150_00,730850706,2470 2,23460 2,
1000020342131_150_00,730850706,2470 2,23420 2,
1000020342131_150_00,730850706,2470 2,2460 2,
1000020342131_150_00,730850706,19460 2,23480 2,
1000020342131_150_00,730850706,260 0,280 2,
1000020342131_150_00,730850706,24020 3,2470 2,
1000020342131_150_00,730850706,24020 3,23420 2,
1000020342131_150_00,730850706,24020 3,3000 1,
1000020342131_150_00,730850706,24020 3,24890 1,
1000020342131_150_00,730850706,24020 3,2460 2,
1000020342131_150_00,730850706,4983 2,2470 2,
1000020342131_150_00,730850706,4983 2,2450 2,
1000020342131_150_00,730850706,3000 1,2470 2,
1000020342131_150_00,730850706,3000 1,23420 2,
1000020342131_150_00,730850706,3000 1,2450 2,
1000020342131_150_00,730850706,4981 2,23840 1,
1000020342131_150_00,730850706,24900 1,19460 2,
1000020342131_150_00,730850706,24900 1,23440 2,
1000020342131_150_00,730850706,250 1,23460 2,
1000020342131_150_00,730850706,250 1,23440 2,
1000020342131_150_00,730850706,250 1,280 2,
1000020342131_150_00,730850706,19450 2,2460 2,
1000020342131_150_00,730850706,23840 1,23420 2,
1000020342131_150_00,730850706,24890 1,2470 2,
1000020342131_150_00,730850706,24890 1,19450 2,
1000020342131_150_00,730850706,310 2,24900 1,
1000020342131_150_00,730850706,310 2,23840 1,
1000020342131_150_00,730850706,2450 2,23460 2,
1000020342131_150_00,730850706,280 2,23480 2,
1000020342131_150_00,730850706,280 2,2450 2,
1000020342131_150_00,3277890833,1510 2,800 50,
1000020342131_150_00,3277890833,2820 2,19400 50,
1000020342131_150_00,3277890833,20960 2,260 0,
1000020342131_150_00,3277890833,20960 2,800 50,
1000020342131_150_00,3277890833,4982 2,750 50,
1000020342131_150_00,3277890833,4982 2,2840 2,
1000020342131_150_00,3277890833,24020 3,20950 2,
1000020342131_150_00,3277890833,24020 3,740 1,
1000020342131_150_00,3277890833,5020 2,20940 2,
1000020342131_150_00,3277890833,4983 2,740 1,
1000020342131_150_00,3277890833,4983 2,2840 2,
1000020342131_150_00,3277890833,4983 2,20930 2,
1000020342131_150_00,3277890833,3000 1,20950 2,
1000020342131_150_00,3277890833,3000 1,20960 2,
1000020342131_150_00,3277890833,3000 1,99119 2,
1000020342131_150_00,3277890833,3000 1,20920 2,
1000020342131_150_00,3277890833,3000 1,2400 2,
1000020342131_150_00,3277890833,4981 2,2820 2,
1000020342131_150_00,3277890833,99119 2,750 50,
1000020342131_150_00,3277890833,99119 2,2840 2,
1000020342131_150_00,3277890833,25400 2,2840 2,
1000020342131_150_00,3277890833,2840 2,750 50,
1000020342131_150_00,3277890833,2840 2,2830 2,
1000020342131_150_00,3277890833,2400 2,2810 2,
1000020342131_150_00,3277890833,1520 2,750 50,
1000020342131_150_00,3277890833,1520 2,800 50,
1000020342131_150_00,3277890833,20930 2,20950 2,
1000020342131_150_00,730850706,23480 1,250 11,
1000020342131_150_00,730850706,19460 1,4981 50,
1000020342131_150_00,730850706,23910 1,23840 1,
1000020342131_150_00,730850706,23910 1,310 1,
1000020342131_150_00,730850706,1510 2,23910 1,
1000020342131_150_00,730850706,1510 2,280 1,
1000020342131_150_00,730850706,1510 2,20940 2,
1000020342131_150_00,730850706,20950 2,23440 1,
1000020342131_150_00,730850706,20950 2,19450 1,
1000020342131_150_00,730850706,20950 2,250 11,
1000020342131_150_00,730850706,20960 2,23910 1,
1000020342131_150_00,730850706,20960 2,23440 1,
1000020342131_150_00,730850706,20960 2,19450 1,
1000020342131_150_00,730850706,20960 2,800 50,
1000020342131_150_00,730850706,20960 2,290 1,
1000020342131_150_00,730850706,260 0,260 50,
1000020342131_150_00,730850706,260 0,4981 50,
1000020342131_150_00,730850706,260 0,2400 2,
1000020342131_150_00,730850706,21770 50,19460 1,
1000020342131_150_00,730850706,21770 50,23910 1,
1000020342131_150_00,730850706,21770 50,23440 1,
1000020342131_150_00,730850706,21770 50,290 1,
1000020342131_150_00,730850706,4982 2,2480 1,
1000020342131_150_00,730850706,4982 2,3004 2,
1000020342131_150_00,730850706,24020 3,2470 1,
1000020342131_150_00,730850706,24020 3,20930 2,
1000020342131_150_00,730850706,24020 3,310 1,
1000020342131_150_00,730850706,4983 2,24020 3,
1000020342131_150_00,730850706,4983 2,3000 1,
1000020342131_150_00,730850706,4983 2,800 50,
1000020342131_150_00,730850706,19450 1,260 50,
1000020342131_150_00,730850706,19450 1,280 1,
1000020342131_150_00,730850706,19450 1,4981 50,
1000020342131_150_00,730850706,2480 1,23840 1,
1000020342131_150_00,730850706,3004 2,260 50,
1000020342131_150_00,730850706,3004 2,24890 1,
1000020342131_150_00,730850706,3004 2,310 1,
1000020342131_150_00,730850706,3000 1,3000 1,
1000020342131_150_00,730850706,3000 1,23840 1,
1000020342131_150_00,730850706,3000 1,25400 2,
1000020342131_150_00,730850706,3000 1,2470 1,
1000020342131_150_00,730850706,3000 1,24890 1,
1000020342131_150_00,730850706,3000 1,20930 2,
1000020342131_150_00,730850706,800 50,260 50,
1000020342131_150_00,730850706,800 50,2460 1,
1000020342131_150_00,730850706,800 50,2470 1,
1000020342131_150_00,730850706,4981 2,5020 2,
1000020342131_150_00,730850706,4981 2,20920 2,
1000020342131_150_00,730850706,250 1,23480 1,
1000020342131_150_00,730850706,250 1,5020 2,
1000020342131_150_00,730850706,250 1,280 1,
1000020342131_150_00,730850706,250 1,24020 50,
1000020342131_150_00,730850706,250 1,2450 1,
1000020342131_150_00,730850706,250 1,1520 2,
1000020342131_150_00,730850706,99119 2,20970 2,
1000020342131_150_00,730850706,99119 2,19450 1,
1000020342131_150_00,730850706,99119 2,3004 2,
1000020342131_150_00,730850706,99119 2,290 1,
1000020342131_150_00,730850706,23840 1,3000 1,
1000020342131_150_00,730850706,2460 1,2470 1,
1000020342131_150_00,730850706,2440 2,23910 1,
1000020342131_150_00,730850706,25400 2,2480 1,
1000020342131_150_00,730850706,25400 2,3000 1,
1000020342131_150_00,730850706,25400 2,2470 1,
1000020342131_150_00,730850706,20940 2,21770 50,
1000020342131_150_00,730850706,20940 2,2450 1,
1000020342131_150_00,730850706,2470 1,3000 1,
1000020342131_150_00,730850706,2470 1,24890 1,
1000020342131_150_00,730850706,24890 1,3000 1,
1000020342131_150_00,730850706,24890 1,4983 50,
1000020342131_150_00,730850706,20920 2,23910 1,
1000020342131_150_00,730850706,20920 2,24900 1,
1000020342131_150_00,730850706,20920 2,250 11,
1000020342131_150_00,730850706,290 1,280 1,
1000020342131_150_00,730850706,290 1,24020 50,
1000020342131_150_00,730850706,290 1,4981 50,
1000020342131_150_00,730850706,250 11,24020 50,
1000020342131_150_00,730850706,250 11,4981 50,
1000020342131_150_00,730850706,250 2,19460 1,
1000020342131_150_00,730850706,250 2,23910 1,
1000020342131_150_00,730850706,250 2,23440 1,
1000020342131_150_00,730850706,250 2,20970 2,
1000020342131_150_00,730850706,250 2,280 1,
1000020342131_150_00,730850706,250 2,290 1,
1000020342131_150_00,730850706,2400 2,20970 2,
1000020342131_150_00,730850706,2400 2,3004 2,
1000020342131_150_00,730850706,2400 2,24890 1,
1000020342131_150_00,730850706,1520 2,19460 1,
1000020342131_150_00,730850706,1520 2,23440 1,
1000020342131_150_00,730850706,1520 2,20970 2,
1000020342131_150_00,730850706,1520 2,20940 2,
1000020342131_150_00,730850706,1520 2,290 1,
1000020342131_150_00,730850706,20930 2,3000 1,
1000020342131_150_00,730850706,20930 2,23840 1,
1000020342131_150_00,730850706,3005 2,19460 1,
1000020342131_150_00,730850706,3005 2,20970 2,
1000020342131_150_00,730850706,3005 2,20940 2,
1000020342131_150_00,730850706,3005 2,290 1,
1000020342131_150_00,1830949550,5060 2,5100 2,
1000020342131_150_00,1830949550,5030 2,5090 2,
1000020342131_150_00,1830949550,5030 2,5050 2,
1000020342131_150_00,1830949550,5080 2,5130 2,
1000020342131_150_00,1830949550,99106 2,5100 2,
1000020342131_150_00,1830949550,5020 2,25050 2,
1000020342131_150_00,1830949550,5020 2,5100 2,
1000020342131_150_00,1830949550,2320 1,99119 2,
1000020342131_150_00,1830949550,25050 2,5130 2,
1000020342131_150_00,1830949550,3001 1,5110 2,
1000020342131_150_00,1830949550,3001 1,5130 2,
1000020342131_150_00,1830949550,5120 2,5130 2,
1000020342131_150_00,1830949550,5090 2,5130 2,
1000020342131_150_00,1830949550,99119 2,5030 2,
1000020342131_150_00,1830949550,5100 2,5120 2,
1000020342131_150_00,1830949550,25400 2,5130 2,
1000020342131_150_00,1830949550,5050 2,99106 2,
1000020342131_150_00,1830949550,5050 2,5070 2,
1000020342131_150_00,1830949550,2400 2,5030 2,
1000020342131_150_00,730850706,23480 1,3000 1,
1000020342131_150_00,730850706,19460 1,280 1,
1000020342131_150_00,730850706,19460 1,250 11,
1000020342131_150_00,730850706,23440 1,280 1,
1000020342131_150_00,730850706,2480 1,19460 1,
1000020342131_150_00,730850706,2480 1,280 1,
1000020342131_150_00,730850706,2480 1,4981 50,
1000020342131_150_00,730850706,23450 1,280 1,
1000020342131_150_00,730850706,23450 1,24020 50,
1000020342131_150_00,730850706,2460 1,4981 50,
1000020342131_150_00,730850706,23460 1,23440 1,
1000020342131_150_00,730850706,23460 1,250 11,
1000020342131_150_00,730850706,2470 1,23480 1,
1000020342131_150_00,730850706,2470 1,23840 1,
1000020342131_150_00,730850706,2470 1,24020 50,
1000020342131_150_00,730850706,23430 3,260 50,
1000020342131_150_00,730850706,23430 3,4983 50,
1000020342131_150_00,730850706,23430 3,24020 50,
1000020342131_150_00,730850706,23420 1,2480 1,
1000020342131_150_00,730850706,23420 1,3000 1,
1000020342131_150_00,730850706,2450 1,3000 1,
1000020342131_150_00,730850706,2450 1,24890 1,
1000020342131_150_00,1830949550,99105 1,5050 1,
1000020342131_150_00,1830949550,99105 1,3001 1,
1000020342131_150_00,1830949550,99105 1,5080 1,
1000020342131_150_00,1830949550,5070 1,4983 1,
1000020342131_150_00,1830949550,5120 1,5050 1,
1000020342131_150_00,1830949550,5120 1,2320 2,
1000020342131_150_00,1830949550,5120 1,5080 1,
1000020342131_150_00,1830949550,5100 1,4981 2,
1000020342131_150_00,1830949550,5130 1,25050 1,
1000020342131_150_00,1830949550,25050 1,3000 1,
