shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101 9,34.4844217,132.1432788,1,
101 9,34.4843969,132.1433774,2,
101 9,34.4843591,132.143471,3,
101 9,34.4842903,132.1435324,4,
101 9,34.4845435,132.1440462,5,
101 9,34.4847282,132.1445653,6,
101 9,34.4850093,132.145556,7,
101 9,34.4851972,132.1457538,8,
101 9,34.4860715,132.1461796,9,
101 9,34.4862724,132.146379,10,
101 9,34.4864269,132.1466509,11,
101 9,34.4867722,132.147377,12,
101 9,34.4872912,132.1480959,13,
101 9,34.4880056,132.1491057,14,
101 9,34.4887534,132.1501707,15,
101 9,34.4892989,132.1512398,16,
101 9,34.4897547,132.1523444,17,
101 9,34.4902467,132.1529503,18,
101 9,34.4907219,132.1534983,19,
101 9,34.4912545,132.1537942,20,
101 9,34.4923377,132.1542275,21,
101 9,34.4925805,132.1543221,22,
101 9,34.4928985,132.1545508,23,
101 9,34.4930552,132.1542981,24,
101 9,34.4931543,132.1538442,25,
101 9,34.4933564,132.1535079,26,
101 9,34.4935628,132.1530483,27,
101 9,34.4937538,132.1528622,28,
101 9,34.4938918,132.1526386,29,
101 9,34.4938097,132.1520651,30,
101 9,34.4936479,132.1514647,31,
101 9,34.4936855,132.1512132,32,
101 9,34.4939764,132.1509089,33,
101 9,34.4939837,132.1506267,34,
101 9,34.4936019,132.1494861,35,
101 9,34.4936875,132.1490779,36,
101 9,34.4940463,132.1481045,37,
101 9,34.4939995,132.1478754,38,
101 9,34.4939041,132.1476946,39,
101 9,34.4930042,132.1466448,40,
101 9,34.4927876,132.1463615,41,
101 9,34.4927541,132.1458703,42,
101 9,34.4929814,132.1453228,43,
101 9,34.4935279,132.1453659,44,
101 9,34.4939041,132.1452615,45,
101 9,34.494882,132.1450048,46,
101 9,34.4954745,132.1449919,47,
101 9,34.4960205,132.1450448,48,
101 9,34.4963242,132.1450265,49,
101 9,34.4966589,132.1449571,50,
101 9,34.4971033,132.1448534,51,
101 9,34.4974316,132.1449102,52,
101 9,34.4979411,132.1451252,53,
101 9,34.4984703,132.1448947,54,
101 9,34.498979,132.1448586,55,
101 9,34.4992437,132.1448802,56,
101 9,34.5002157,132.1444403,57,
101 9,34.5004179,132.144435,58,
101 9,34.5007262,132.1444806,59,
101 9,34.5009804,132.1445075,60,
101 9,34.5011461,132.1445639,61,
101 9,34.5013516,132.1446861,62,
101 9,34.501756,132.1452762,63,
101 9,34.5021162,132.1456906,64,
101 9,34.5021199,132.1457777,65,
101 9,34.5019785,132.1458063,66,
101 9,34.502078,132.1457141,67,
101 9,34.5017023,132.1452317,68,
101 9,34.501331,132.1447118,69,
101 9,34.5010999,132.1445745,70,
101 9,34.5009631,132.1445294,71,
101 9,34.500676,132.1444978,72,
101 9,34.5004365,132.1444675,73,
101 9,34.5002256,132.1444747,74,
101 9,34.4993551,132.1448506,75,
101 9,34.4991057,132.1448995,76,
101 9,34.4988477,132.1448858,77,
101 9,34.4984723,132.1449218,78,
101 9,34.4979996,132.1451564,79,
101 9,34.4974618,132.1449485,80,
101 9,34.4971675,132.1448822,81,
101 9,34.4966653,132.1449754,82,
101 9,34.4962444,132.1450612,83,
101 9,34.495475,132.1450082,84,
101 9,34.4948997,132.1450176,85,
101 9,34.4943431,132.1451638,86,
