station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
43ce2130-db25-44cc-9ef1-820fa8e63cbe,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,1,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
21c89a16-8b9d-4b5c-a00b-95fedd75ad8f,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,2,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
f8ff3607-44f3-48f9-bbe9-3225cce627a8,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,3,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
52c815eb-400c-4cd1-a035-252273a14286,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,4,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
96a14262-091f-42ed-8714-5d2ab24d2347,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,5,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
a30cb1e4-45db-47cb-927e-d5c61ab4e7a1,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,6,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
c19c4420-4531-4808-8df2-46d5b8bfd9e3,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,7,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
c9395d62-a124-4e5b-9536-178c6290f28f,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,8,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
9fd7c95d-93ab-4a19-8325-56aba43cfa6a,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,9,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
c0d10ce8-ee93-470f-8a61-739e3fc1fa61,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,10,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
352fa6ba-9aec-43c7-a409-dffe98d8a9c3,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,11,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
d095696c-6572-4940-89ca-b0b74757c480,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,12,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
e8a610a5-60b9-4ac6-8536-5108f69ed936,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,13,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
ef265f68-7dd8-46b5-8faf-031613fcb976,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,14,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
a4b61795-aea5-41dd-82fc-72a498da4d34,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,15,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
f58045ec-1321-4a77-a5af-4672c28a607b,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,16,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
f3bbec49-455a-4a4a-b1c0-2f615855f8de,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,17,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
6ba560f2-0fe3-466a-9ee1-85de67692d9f,dfe9fee8-b9c6-4c09-9e86-0023b0446287,,,18,宮内,廿日市市役所前駅,廿日市さくらバス宮内ルート
6ba560f2-0fe3-466a-9ee1-85de67692d9f,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,1,佐方,佐方ルート,廿日市さくらバス佐方ルート
ea349fff-3d8c-48bf-8fc0-4cb5591895f7,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,2,佐方,佐方ルート,廿日市さくらバス佐方ルート
a4b61795-aea5-41dd-82fc-72a498da4d34,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,3,佐方,佐方ルート,廿日市さくらバス佐方ルート
f58045ec-1321-4a77-a5af-4672c28a607b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,4,佐方,佐方ルート,廿日市さくらバス佐方ルート
d48aa614-bdd1-44c2-a2cd-7d74394192cf,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,5,佐方,佐方ルート,廿日市さくらバス佐方ルート
0791db5d-6893-4f18-aff5-2ac0263c87ff,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,6,佐方,佐方ルート,廿日市さくらバス佐方ルート
6d4f4b1e-7525-4301-90c0-4545b5dd7534,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,7,佐方,佐方ルート,廿日市さくらバス佐方ルート
824d207b-2948-44c2-bb47-02aa51a421c4,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,8,佐方,佐方ルート,廿日市さくらバス佐方ルート
b724e443-f23d-4f28-b208-d44e08487e9a,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,9,佐方,佐方ルート,廿日市さくらバス佐方ルート
44f1663d-d8ad-4352-af4f-a328897e6c6a,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,10,佐方,佐方ルート,廿日市さくらバス佐方ルート
95fca0b1-41d0-4417-ae57-2bcc274590e5,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,11,佐方,佐方ルート,廿日市さくらバス佐方ルート
f007e79f-148a-4ef0-b1cb-69ecb5f2577b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,12,佐方,佐方ルート,廿日市さくらバス佐方ルート
aaf81e9e-8f01-4587-aa9a-89494e2736ac,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,13,佐方,佐方ルート,廿日市さくらバス佐方ルート
ba379938-f0a5-4b84-a9cd-0b4783e64883,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,14,佐方,佐方ルート,廿日市さくらバス佐方ルート
61d04aa5-a53e-44ec-8930-5091f93a9e19,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,15,佐方,佐方ルート,廿日市さくらバス佐方ルート
c97f1d69-a2bc-4218-a588-b2aebbb4c6b9,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,16,佐方,佐方ルート,廿日市さくらバス佐方ルート
85fafdc1-df41-42c9-8e76-c108ecd9b34b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,17,佐方,佐方ルート,廿日市さくらバス佐方ルート
3934a463-455a-435e-8129-8d0e879726e1,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,18,佐方,佐方ルート,廿日市さくらバス佐方ルート
8daa28a2-c634-4178-ad11-bba70ce9600b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,19,佐方,佐方ルート,廿日市さくらバス佐方ルート
94b29163-f8b8-4a83-99c0-5840a88bac93,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,20,佐方,佐方ルート,廿日市さくらバス佐方ルート
1ad819d2-07d7-4ab0-9c47-085c9c333288,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,21,佐方,佐方ルート,廿日市さくらバス佐方ルート
b24a5ec3-1275-4ec9-b4e2-038d175ee75b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,22,佐方,佐方ルート,廿日市さくらバス佐方ルート
df206935-57f4-4d48-b5fa-0b04742e6499,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,23,佐方,佐方ルート,廿日市さくらバス佐方ルート
129f4493-4097-4a1e-b555-782d06bcd7e3,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,24,佐方,佐方ルート,廿日市さくらバス佐方ルート
c62db773-7d37-41e7-aa03-81c2fc79ebc9,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,25,佐方,佐方ルート,廿日市さくらバス佐方ルート
51af677a-3121-4b8e-b335-cbfba1e20fbf,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,26,佐方,佐方ルート,廿日市さくらバス佐方ルート
ff14942d-15ba-4883-a1a5-beda9a565be9,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,27,佐方,佐方ルート,廿日市さくらバス佐方ルート
85321481-e272-409a-a6d0-36b9179f84e4,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,28,佐方,佐方ルート,廿日市さくらバス佐方ルート
2d5f205e-3d5a-4f61-8513-b20f6c52057e,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,29,佐方,佐方ルート,廿日市さくらバス佐方ルート
49ccb4dd-1c89-4bcd-80ed-0dbc609733c7,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,30,佐方,佐方ルート,廿日市さくらバス佐方ルート
f58045ec-1321-4a77-a5af-4672c28a607b,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,31,佐方,佐方ルート,廿日市さくらバス佐方ルート
f3bbec49-455a-4a4a-b1c0-2f615855f8de,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,32,佐方,佐方ルート,廿日市さくらバス佐方ルート
31197389-c29e-42b0-a97c-d8b623780109,e83e8d97-04e5-467e-9b22-007cfa229bc9,,,33,佐方,佐方ルート,廿日市さくらバス佐方ルート
2dddd7a9-9f7c-4e81-b8fa-3c2381beee9f,109da090-76f4-42de-9731-00bd3bffc2b3,,,1,原,廿日市市役所前駅,廿日市さくらバス原ルート
f2eba9e1-d40c-4742-879c-0d373dc4d192,109da090-76f4-42de-9731-00bd3bffc2b3,,,2,原,廿日市市役所前駅,廿日市さくらバス原ルート
f9e142a6-a8d8-42d6-96ed-484e82b8ba81,109da090-76f4-42de-9731-00bd3bffc2b3,,,3,原,廿日市市役所前駅,廿日市さくらバス原ルート
468542e7-cf17-43bd-9cda-adb4beff358c,109da090-76f4-42de-9731-00bd3bffc2b3,,,4,原,廿日市市役所前駅,廿日市さくらバス原ルート
2c8a7f16-8345-4b03-8232-17cd93f3bb47,109da090-76f4-42de-9731-00bd3bffc2b3,,,5,原,廿日市市役所前駅,廿日市さくらバス原ルート
e343b14c-f5d0-4e1c-b845-4bf6261d52d8,109da090-76f4-42de-9731-00bd3bffc2b3,,,6,原,廿日市市役所前駅,廿日市さくらバス原ルート
a01a0dad-aa2c-4899-b3aa-07350d4e0e7a,109da090-76f4-42de-9731-00bd3bffc2b3,,,7,原,廿日市市役所前駅,廿日市さくらバス原ルート
6ba33c99-17fd-4c8c-8a28-bde29465951f,109da090-76f4-42de-9731-00bd3bffc2b3,,,8,原,廿日市市役所前駅,廿日市さくらバス原ルート
cdcf6773-d772-4ab6-9f42-debe76bba260,109da090-76f4-42de-9731-00bd3bffc2b3,,,9,原,廿日市市役所前駅,廿日市さくらバス原ルート
2b253017-a120-457a-a04c-0c6526164a57,109da090-76f4-42de-9731-00bd3bffc2b3,,,10,原,廿日市市役所前駅,廿日市さくらバス原ルート
0a232f25-3a29-4a4e-bd46-7ad94b8d4a70,109da090-76f4-42de-9731-00bd3bffc2b3,,,11,原,廿日市市役所前駅,廿日市さくらバス原ルート
a3bbe346-5fc1-40b2-856e-4a34b0776471,109da090-76f4-42de-9731-00bd3bffc2b3,,,12,原,廿日市市役所前駅,廿日市さくらバス原ルート
90dbf35e-29ea-4265-aada-caf517416996,109da090-76f4-42de-9731-00bd3bffc2b3,,,13,原,廿日市市役所前駅,廿日市さくらバス原ルート
c0d10ce8-ee93-470f-8a61-739e3fc1fa61,109da090-76f4-42de-9731-00bd3bffc2b3,,,14,原,廿日市市役所前駅,廿日市さくらバス原ルート
8f8b78ac-528b-4d7c-a6aa-94f226c7d414,109da090-76f4-42de-9731-00bd3bffc2b3,,,15,原,廿日市市役所前駅,廿日市さくらバス原ルート
d095696c-6572-4940-89ca-b0b74757c480,109da090-76f4-42de-9731-00bd3bffc2b3,,,16,原,廿日市市役所前駅,廿日市さくらバス原ルート
e8a610a5-60b9-4ac6-8536-5108f69ed936,109da090-76f4-42de-9731-00bd3bffc2b3,,,17,原,廿日市市役所前駅,廿日市さくらバス原ルート
4de50b99-b563-4d4b-8dbf-bd126fc58591,109da090-76f4-42de-9731-00bd3bffc2b3,,,18,原,廿日市市役所前駅,廿日市さくらバス原ルート
129f4493-4097-4a1e-b555-782d06bcd7e3,109da090-76f4-42de-9731-00bd3bffc2b3,,,19,原,廿日市市役所前駅,廿日市さくらバス原ルート
cfa5747d-31ed-449e-8ef5-4f29c34d793f,109da090-76f4-42de-9731-00bd3bffc2b3,,,20,原,廿日市市役所前駅,廿日市さくらバス原ルート
a4b61795-aea5-41dd-82fc-72a498da4d34,109da090-76f4-42de-9731-00bd3bffc2b3,,,21,原,廿日市市役所前駅,廿日市さくらバス原ルート
0bce4159-a0ca-4d4d-8b89-da473c94fed7,109da090-76f4-42de-9731-00bd3bffc2b3,,,22,原,廿日市市役所前駅,廿日市さくらバス原ルート
f3bbec49-455a-4a4a-b1c0-2f615855f8de,109da090-76f4-42de-9731-00bd3bffc2b3,,,23,原,廿日市市役所前駅,廿日市さくらバス原ルート
6ba560f2-0fe3-466a-9ee1-85de67692d9f,109da090-76f4-42de-9731-00bd3bffc2b3,,,24,原,廿日市市役所前駅,廿日市さくらバス原ルート
