stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1000 1,,玖波分れ,,34.3572802,132.2098017,1000 1,,0,,,,
1000 2,,玖波分れ,,34.3571531,132.2104708,1000 2,,0,,,,
1010 1,,河津,,34.3586081,132.2056314,1010 1,,0,,,,
1010 2,,河津,,34.358715,132.2050509,1010 2,,0,,,,
1020 1,,中山,,34.3615979,132.2000139,1020 1,,0,,,,
1020 2,,中山,,34.3617229,132.1995971,1020 2,,0,,,,
1030 1,,浜本工芸前,,34.3646899,132.1921161,1030 1,,0,,,,
1030 2,,浜本工芸前,,34.3644453,132.1923034,1030 2,,0,,,,
1040 1,,佐伯中学校前,,34.3656455,132.191017,1040 1,,0,,,,
1040 2,,佐伯中学校前,,34.3659685,132.1904116,1040 2,,0,,,,
1050 1,,佐伯高校前,,34.3662219,132.1871682,1050 1,,0,,,,
1050 2,,佐伯高校前,,34.3661094,132.1870532,1050 2,,0,,,,
1060 1,,津田神社,,34.3660031,132.1827449,1060 1,,0,,,,
1060 2,,津田神社,,34.3659295,132.1826476,1060 2,,0,,,,
1070 1,,十王堂,,34.3661481,132.1789462,1070 1,,0,,,,
1070 2,,十王堂,,34.3660493,132.1788884,1070 2,,0,,,,
1075 1,,さいき文化センター,,34.3663406,132.1776747,1075 1,,0,,,,
1075 2,,さいき文化センター,,34.3663406,132.1776746,1075 2,,0,,,,
1080 1,,佐伯支所,,34.3673471,132.1776869,1080 1,,0,,,,
1080 2,,佐伯支所,,34.3671761,132.1777091,1080 2,,0,,,,
1090 1,,津田,,34.3679368,132.1748553,1090 1,,0,,,,
1090 2,,津田,,34.3678848,132.1747374,1090 2,,0,,,,
1100 1,,津田小学校下,,34.368299,132.1731372,1100 1,,0,,,,
1100 2,,津田小学校下,,34.3687232,132.1721564,1100 2,,0,,,,
1110 1,,郷西,,34.3704515,132.1704086,1110 1,,0,,,,
1110 2,,郷西,,34.3704497,132.1704105,1110 2,,0,,,,
1120 1,,内山,,34.37201,132.1650048,1120 1,,0,,,,
1120 2,,内山,,34.3720095,132.1650143,1120 2,,0,,,,
1130 1,,岩倉キャンプ場前,,34.3724053,132.1595391,1130 1,,0,,,,
1130 2,,岩倉キャンプ場前,,34.3722762,132.1595037,1130 2,,0,,,,
1140 1,,下岩倉,,34.3734553,132.1547274,1140 1,,0,,,,
1140 2,,下岩倉,,34.3734612,132.1547253,1140 2,,0,,,,
1150 1,,岩倉,,34.3774436,132.1510164,1150 1,,0,,,,
1150 2,,岩倉,,34.3774628,132.1510245,1150 2,,0,,,,
1160 1,,中栗栖,,34.3766949,132.1438521,1160 1,,0,,,,
1160 2,,中栗栖,,34.3767045,132.1438505,1160 2,,0,,,,
1170 1,,栗栖,,34.3754425,132.1408746,1170 1,,0,,,,
1170 2,,栗栖,,34.3754588,132.1408731,1170 2,,0,,,,
1180 1,,上栗栖,,34.3755201,132.1383523,1180 1,,0,,,,
1180 2,,上栗栖,,34.375523,132.1383529,1180 2,,0,,,,
1190 1,,小瀬川温泉前,,34.3836841,132.1353815,1190 1,,0,,,,
1190 2,,小瀬川温泉前,,34.38368237,132.1353841,1190 2,,0,,,,
1191 1,,北山トンネル,,34.3836571,132.1196999,1191 1,,0,,,,
1191 2,,北山トンネル,,34.3836521,132.1197062,1191 2,,0,,,,
1200 1,,悪谷,,34.3841603,132.114886,1200 1,,0,,,,
1200 2,,悪谷,,34.3841708,132.1148789,1200 2,,0,,,,
1210 1,,羅漢温泉,,34.3889768,132.1054477,1210 1,,0,,,,
1210 2,,羅漢温泉,,34.3889793,132.1054489,1210 2,,0,,,,
1220 1,,出合,,34.3912872,132.1005969,1220 1,,0,,,,
1220 2,,出合,,34.3912909,132.1006145,1220 2,,0,,,,
1230 1,,出合水門口,,34.3943874,132.1031511,1230 1,,0,,,,
1230 2,,出合水門口,,34.3944016,132.1031585,1230 2,,0,,,,
1240 1,,黒打橋,,34.4019801,132.1019761,1240 1,,0,,,,
1240 2,,黒打橋,,34.4019777,132.1019708,1240 2,,0,,,,
1250 1,,下飯山,,34.4158626,132.0886034,1250 1,,0,,,,
1250 2,,下飯山,,34.4158634,132.0886067,1250 2,,0,,,,
1270 1,,冠高原下,,34.4250382,132.0882498,1270 1,,0,,,,
1270 2,,冠高原下,,34.4250373,132.0882557,1270 2,,0,,,,
1280 1,,冠高原入口,,34.43085,132.0886683,1280 1,,0,,,,
1280 2,,冠高原入口,,34.4308522,132.0886677,1280 2,,0,,,,
1290 1,,一軒屋,,34.4478984,132.0941332,1290 1,,0,,,,
1290 2,,一軒屋,,34.4478972,132.0941337,1290 2,,0,,,,
1300 1,,幟町村,,34.4525506,132.0993069,1300 1,,0,,,,
1300 2,,幟町村,,34.4525446,132.0993117,1300 2,,0,,,,
1310 1,,上頓原,,34.4584915,132.1045721,1310 1,,0,,,,
1310 2,,上頓原,,34.4584913,132.1045683,1310 2,,0,,,,
1320 1,,頓原,,34.4608713,132.1072187,1320 1,,0,,,,
1320 2,,頓原,,34.460869,132.1072185,1320 2,,0,,,,
1330 1,,下頓原,,34.4632279,132.1101979,1330 1,,0,,,,
1330 2,,下頓原,,34.4632294,132.1101944,1330 2,,0,,,,
1340 1,,潮原温泉,,34.4670414,132.1147423,1340 1,,0,,,,
1340 2,,潮原温泉,,34.4670407,132.1147406,1340 2,,0,,,,
1350 1,,下潮原,,34.4699443,132.1179746,1350 1,,0,,,,
1350 2,,下潮原,,34.4699412,132.1179758,1350 2,,0,,,,
1360 1,,上中津谷,,34.4727368,132.1180534,1360 1,,0,,,,
1360 2,,上中津谷,,34.4727362,132.118054,1360 2,,0,,,,
1370 1,,匹見分れ,,34.4748646,132.1183571,1370 1,,0,,,,
1370 2,,匹見分れ,,34.4748636,132.1183606,1370 2,,0,,,,
1380 1,,中津谷,,34.477121,132.1207898,1380 1,,0,,,,
1380 2,,中津谷,,34.4771205,132.1207864,1380 2,,0,,,,
1390 1,,大向,,34.4788758,132.1245243,1390 1,,0,,,,
