trans_id,lang,translation
廿日市市,ja,廿日市市
廿日市市,ja-Hrkt,ハツカイチシ
廿日市市,en,Hatsukaichi City
玖波分れ,ja,玖波分れ
玖波分れ,ja-Hrkt,くばわかれ
玖波分れ,en,Kuba-wakare
玖波分れ,ko,구바 와카레
玖波分れ,zh-cn,玖波分
玖波分れ,zh-tw,玖波分
河津,ja,河津
河津,ja-Hrkt,かわづ
河津,en,Kawazu
河津,ko,가와즈
河津,zh-cn,河津
河津,zh-tw,河津
中山,ja,中山
中山,ja-Hrkt,なかやま
中山,en,Nakayama
中山,ko,나카야마（나카야마 산)
中山,zh-cn,中山
中山,zh-tw,中山
浜本工芸前,ja,浜本工芸前
浜本工芸前,ja-Hrkt,はまもとこうげいまえ
浜本工芸前,en,Hamamoto Kogei-mae
浜本工芸前,ko,하마모토 코게이 마에
浜本工芸前,zh-cn,滨本工艺前
浜本工芸前,zh-tw,濱本工藝前
佐伯中学校前,ja,佐伯中学校前
佐伯中学校前,ja-Hrkt,さえきちゅうがっこうまえ
佐伯中学校前,en,Saeki Chugakko-mae (Saeki Junior High School)
佐伯中学校前,ko,사에키 중학교
佐伯中学校前,zh-cn,佐伯中学前
佐伯中学校前,zh-tw,佐伯中學前
佐伯高校前,ja,佐伯高校前
佐伯高校前,ja-Hrkt,さえきこうこうまえ
佐伯高校前,en,Saeki Koko-mae (Saeki High School)
佐伯高校前,ko,사에키 고등학교
佐伯高校前,zh-cn,佐伯高中前
佐伯高校前,zh-tw,佐伯高中前
津田神社,ja,津田神社
津田神社,ja-Hrkt,つたじんじゃまえ
津田神社,en,Tsuta Jinja-mae (Tsuta Jinja Shrine)
津田神社,ko,쓰타진자 신사
津田神社,zh-cn,津田神社
津田神社,zh-tw,津田神社
十王堂,ja,十王堂
十王堂,ja-Hrkt,じゅうおうどう
十王堂,en,Juodo
十王堂,ko,주오도
十王堂,zh-cn,十王堂
十王堂,zh-tw,十王堂
さいき文化センター,ja,さいき文化センター
さいき文化センター,ja-Hrkt,さいきぶんかせんたー
さいき文化センター,en,Saiki Bunka Senta (Saiki Culture Center)
さいき文化センター,ko,사이키 문화센터
さいき文化センター,zh-cn,佐伯文化中心
さいき文化センター,zh-tw,佐伯文化中心
佐伯支所,ja,佐伯支所
佐伯支所,ja-Hrkt,さえきししょ
佐伯支所,en,Saeki Shisho (Saeki Branch)
佐伯支所,ko,사에키 지소
佐伯支所,zh-cn,佐伯支所
佐伯支所,zh-tw,佐伯支所
津田,ja,津田
津田,ja-Hrkt,つた
津田,en,Tsuta
津田,ko,쓰타
津田,zh-cn,津田
津田,zh-tw,津田
津田小学校下,ja,津田小学校下
津田小学校下,ja-Hrkt,つたしょうがっこうしも
津田小学校下,en,Tsuta Shogakko-shita (Tsuta Elementary School)
津田小学校下,ko,쓰타 초등학교
津田小学校下,zh-cn,津田小学下
津田小学校下,zh-tw,津田小學下
郷西,ja,郷西
郷西,ja-Hrkt,ごうにし
郷西,en,Gonishi
郷西,ko,고니시
郷西,zh-cn,乡西
郷西,zh-tw,鄉西
内山,ja,内山
内山,ja-Hrkt,うちやま
内山,en,Uchiyama
内山,ko,우치야마
内山,zh-cn,内山
内山,zh-tw,內山
岩倉キャンプ場前,ja,岩倉キャンプ場前
岩倉キャンプ場前,ja-Hrkt,いわくらきゃんぷじょうまえ
岩倉キャンプ場前,en,Iwakura Camp-jo-mae
岩倉キャンプ場前,ko,이와쿠라 캠프 조 마에
岩倉キャンプ場前,zh-cn,岩仓露营场前
岩倉キャンプ場前,zh-tw,巖倉露營場前
下岩倉,ja,下岩倉
下岩倉,ja-Hrkt,しもいわくら
下岩倉,en,Shimo-iwakura
下岩倉,ko,시모이와쿠라
下岩倉,zh-cn,下岩仓
下岩倉,zh-tw,下巖倉
岩倉,ja,岩倉
岩倉,ja-Hrkt,いわくら
岩倉,en,Iwakura
岩倉,ko,이와쿠라
岩倉,zh-cn,岩仓
岩倉,zh-tw,巖倉
中栗栖,ja,中栗栖
中栗栖,ja-Hrkt,なかくりす
中栗栖,en,Naka-kurisu
中栗栖,ko,나카쿠리스
中栗栖,zh-cn,中栗栖
中栗栖,zh-tw,中栗棲
栗栖,ja,栗栖
栗栖,ja-Hrkt,くりす
栗栖,en,Kurisu
栗栖,ko,구리스
栗栖,zh-cn,栗栖
栗栖,zh-tw,栗棲
上栗栖,ja,上栗栖
上栗栖,ja-Hrkt,かみくりす
上栗栖,en,Kami-kurisu
上栗栖,ko,가미쿠리스
上栗栖,zh-cn,上栗栖
上栗栖,zh-tw,上栗棲
小瀬川温泉前,ja,小瀬川温泉前
小瀬川温泉前,ja-Hrkt,おぜがわおんせんまえ
小瀬川温泉前,en,Ozegawa Onsen-mae
小瀬川温泉前,ko,오제가와 온센 마에
小瀬川温泉前,zh-cn,小濑川温泉前
小瀬川温泉前,zh-tw,小瀨川溫泉前
北山トンネル,ja,北山トンネル
北山トンネル,ja-Hrkt,きたやまとんねる
北山トンネル,en,Shin-rakan Onsen
北山トンネル,ko,신라칸 온센 마에
北山トンネル,zh-cn,新罗汉温泉前
北山トンネル,zh-tw,新羅漢溫泉前
悪谷,ja,悪谷
悪谷,ja-Hrkt,あくたに
悪谷,en,Akutani
悪谷,ko,아쿠타니
悪谷,zh-cn,恶谷
悪谷,zh-tw,惡谷
羅漢温泉,ja,羅漢温泉
羅漢温泉,ja-Hrkt,らかんおんせん
羅漢温泉,en,Rakan Onsen
羅漢温泉,ko,라칸 온센
羅漢温泉,zh-cn,罗汉温泉
羅漢温泉,zh-tw,羅漢溫泉
出合,ja,出合
出合,ja-Hrkt,であい
出合,en,Deai
出合,ko,데아이
出合,zh-cn,出合
出合,zh-tw,出合
出合水門口,ja,出合水門口
出合水門口,ja-Hrkt,であいすいもんぐち
出合水門口,en,Deai Suimon-guchi
出合水門口,ko,데아이 스이몬 구치
出合水門口,zh-cn,出合水门口
出合水門口,zh-tw,出合水門口
黒打橋,ja,黒打橋
黒打橋,ja-Hrkt,くろうちばし
黒打橋,en,Kurouchibashi
黒打橋,ko,구로우치바시
黒打橋,zh-cn,黑打桥
黒打橋,zh-tw,黑打橋
下飯山,ja,下飯山
下飯山,ja-Hrkt,しもいいのやま
下飯山,en,Shimo-iinoyama
下飯山,ko,시모이노야마
下飯山,zh-cn,下饭山
下飯山,zh-tw,下飯山
冠高原下,ja,冠高原下
冠高原下,ja-Hrkt,かんむりこうげんしも
冠高原下,en,Kanmuri Kogen-shimo (Kanmuri Plateau)
冠高原下,ko,간무리 고원
冠高原下,zh-cn,冠高原下
冠高原下,zh-tw,冠高原下
冠高原入口,ja,冠高原入口
冠高原入口,ja-Hrkt,かんむりこうげんいりぐち
冠高原入口,en,Kanmuri Kogen-iriguchi (Kanmuri Plateau Entrance)
冠高原入口,ko,간무리 고원
冠高原入口,zh-cn,冠高原入口
冠高原入口,zh-tw,冠高原入口
一軒屋,ja,一軒屋
一軒屋,ja-Hrkt,いっけんや
一軒屋,en,Ikken-ya
一軒屋,ko,잇켄야
一軒屋,zh-cn,一轩屋
一軒屋,zh-tw,一軒屋
幟町村,ja,幟町村
幟町村,ja-Hrkt,のぼりまちむら
幟町村,en,Noborimachi-mura
幟町村,ko,노보리초무라
幟町村,zh-cn,帜町村
幟町村,zh-tw,幟町村
上頓原,ja,上頓原
上頓原,ja-Hrkt,かみとんばら
上頓原,en,Kami-tombara
上頓原,ko,가미톤바라
上頓原,zh-cn,上顿原
上頓原,zh-tw,上頓原
頓原,ja,頓原
頓原,ja-Hrkt,とんばら
頓原,en,Tombara
頓原,ko,돈바라
頓原,zh-cn,顿原
頓原,zh-tw,頓原
下頓原,ja,下頓原
下頓原,ja-Hrkt,しもとんばら
下頓原,en,Shimo-tombara
下頓原,ko,시모톤바라
下頓原,zh-cn,下顿原
