trans_id,lang,translation,category,station_sid,course_sid
廿日市市,ja,廿日市市,agency_name,,
廿日市市,ja-Hrkt,ハツカイチシ,agency_name,,
廿日市市,en,Hatsukaichi City,agency_name,,
玖波分れ,ja,玖波分れ,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
玖波分れ,ja-Hrkt,くばわかれ,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
玖波分れ,en,Kuba-wakare,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
玖波分れ,ko,구바 와카레,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
玖波分れ,zh-cn,玖波分,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
玖波分れ,zh-tw,玖波分,stop_name,9a99b23c-1362-4d65-ab87-c5313a7d8491,
河津,ja,河津,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
河津,ja-Hrkt,かわづ,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
河津,en,Kawazu,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
河津,ko,가와즈,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
河津,zh-cn,河津,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
河津,zh-tw,河津,stop_name,5d752f1d-28a0-4497-b3eb-be9d52d4c322,
中山,ja,中山,stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
中山,ja-Hrkt,なかやま,stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
中山,en,Nakayama,stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
中山,ko,나카야마（나카야마 산),stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
中山,zh-cn,中山,stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
中山,zh-tw,中山,stop_name,03dfab94-fac2-4123-9f89-86e04e1afd07,
浜本工芸前,ja,浜本工芸前,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
浜本工芸前,ja-Hrkt,はまもとこうげいまえ,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
浜本工芸前,en,Hamamoto Kogei-mae,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
浜本工芸前,ko,하마모토 코게이 마에,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
浜本工芸前,zh-cn,滨本工艺前,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
浜本工芸前,zh-tw,濱本工藝前,stop_name,a9d5cd27-efd8-430c-bf6d-eb4898d3923c,
佐伯中学校前,ja,佐伯中学校前,stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯中学校前,ja-Hrkt,さえきちゅうがっこうまえ,stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯中学校前,en,Saeki Chugakko-mae (Saeki Junior High School),stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯中学校前,ko,사에키 중학교,stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯中学校前,zh-cn,佐伯中学前,stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯中学校前,zh-tw,佐伯中學前,stop_name,efa5b617-63dc-4be4-86e6-3535e79914fb,
佐伯高校前,ja,佐伯高校前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,ja-Hrkt,さえきこうこうまえ,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,en,Saeki Koko-mae (Saeki High School),stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,ko,사에키 고등학교,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,zh-cn,佐伯高中前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,zh-tw,佐伯高中前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
津田神社,ja,津田神社,stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
津田神社,ja-Hrkt,つたじんじゃまえ,stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
津田神社,en,Tsuta Jinja-mae (Tsuta Jinja Shrine),stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
津田神社,ko,쓰타진자 신사,stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
津田神社,zh-cn,津田神社,stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
津田神社,zh-tw,津田神社,stop_name,1bbccc44-7eee-4359-86aa-ca462833fdf5,
十王堂,ja,十王堂,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
十王堂,ja-Hrkt,じゅうおうどう,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
十王堂,en,Juodo,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
十王堂,ko,주오도,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
十王堂,zh-cn,十王堂,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
十王堂,zh-tw,十王堂,stop_name,223b764f-44a6-4ed9-b119-51d17d26935b,
さいき文化センター,ja,さいき文化センター,stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
さいき文化センター,ja-Hrkt,さいきぶんかせんたー,stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
さいき文化センター,en,Saiki Bunka Senta (Saiki Culture Center),stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
さいき文化センター,ko,사이키 문화센터,stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
さいき文化センター,zh-cn,佐伯文化中心,stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
さいき文化センター,zh-tw,佐伯文化中心,stop_name,6609fd53-9e3f-4124-bafd-e2f9797ac512,
佐伯支所,ja,佐伯支所,stop_name,071fb917-9478-45ce-903d-f5c1baf4dc98,
佐伯支所,ja-Hrkt,さえきししょ,stop_name,071fb917-9478-45ce-903d-f5c1baf4dc98,
佐伯支所,en,Saeki Shisho (Saeki Branch),stop_name,071fb917-9478-45ce-903d-f5c1baf4dc98,
佐伯支所,ko,사에키 지소,stop_name,071fb917-9478-45ce-903d-f5c1baf4dc98,
佐伯支所,zh-cn,佐伯支所,stop_name,071fb917-9478-45ce-903d-f5c1baf4dc98,
