fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
5240001014136_200_00,200,JPY,0,0,,5240001014136
5240001014136_210_00,210,JPY,0,0,,5240001014136
5240001014136_220_00,220,JPY,0,0,,5240001014136
5240001014136_230_00,230,JPY,0,0,,5240001014136
5240001014136_240_00,240,JPY,0,0,,5240001014136
5240001014136_250_00,250,JPY,0,0,,5240001014136
5240001014136_260_00,260,JPY,0,0,,5240001014136
5240001014136_270_00,270,JPY,0,0,,5240001014136
5240001014136_280_00,280,JPY,0,0,,5240001014136
5240001014136_290_00,290,JPY,0,0,,5240001014136
5240001014136_300_00,300,JPY,0,0,,5240001014136
5240001014136_310_00,310,JPY,0,0,,5240001014136
5240001014136_320_00,320,JPY,0,0,,5240001014136
5240001014136_330_00,330,JPY,0,0,,5240001014136
5240001014136_340_00,340,JPY,0,0,,5240001014136
5240001014136_350_00,350,JPY,0,0,,5240001014136
5240001014136_360_00,360,JPY,0,0,,5240001014136
5240001014136_380_00,380,JPY,0,0,,5240001014136
5240001014136_390_00,390,JPY,0,0,,5240001014136
5240001014136_400_00,400,JPY,0,0,,5240001014136
5240001014136_410_00,410,JPY,0,0,,5240001014136
5240001014136_420_00,420,JPY,0,0,,5240001014136
5240001014136_430_00,430,JPY,0,0,,5240001014136
5240001014136_450_00,450,JPY,0,0,,5240001014136
5240001014136_500_00,500,JPY,0,0,,5240001014136
5240001014136_530_00,530,JPY,0,0,,5240001014136
5240001014136_550_00,550,JPY,0,0,,5240001014136
5240001014136_570_00,570,JPY,0,0,,5240001014136
5240001014136_580_00,580,JPY,0,0,,5240001014136
5240001014136_610_00,610,JPY,0,0,,5240001014136
