fare_id,route_id,origin_id,destination_id,contains_id
5240001014136_200_00,231509758,70000 2,70070 4,
5240001014136_200_00,231509758,70000 2,70060 2,
5240001014136_200_00,231509758,70090 2,71100 2,
5240001014136_200_00,231509758,70030 2,70090 2,
5240001014136_200_00,231509758,70020 2,70040 2,
5240001014136_200_00,231509758,70130 2,70930 2,
5240001014136_200_00,231509758,70070 4,70930 2,
5240001014136_200_00,231509758,70060 2,70920 2,
5240001014136_200_00,231509758,70060 2,70100 2,
5240001014136_200_00,231509758,70060 2,70120 2,
5240001014136_200_00,231509758,70060 2,70130 2,
5240001014136_200_00,3581531211,70190 2,71270 2,
5240001014136_200_00,3581531211,70180 2,70220 1,
5240001014136_200_00,3581531211,70180 2,70230 1,
5240001014136_200_00,3581531211,71270 2,70990 1,
5240001014136_200_00,3581531211,71000 1,71040 1,
5240001014136_200_00,3335955451,70920 2,70930 2,
5240001014136_200_00,3335955451,70930 2,70630 1,
5240001014136_200_00,3335955451,70120 2,70930 2,
5240001014136_200_00,3335955451,70110 2,71100 2,
5240001014136_200_00,3335955451,70000 2,70060 2,
5240001014136_200_00,3335955451,71100 2,71300 2,
5240001014136_200_00,3335955451,70040 2,70110 2,
5240001014136_200_00,3335955451,70050 2,70070 4,
5240001014136_200_00,3335955451,70590 1,70570 1,
5240001014136_200_00,3335955451,70090 2,70100 2,
5240001014136_200_00,3335955451,70060 2,70120 2,
5240001014136_200_00,563486651,70130 1,70110 1,
5240001014136_200_00,563486651,70130 1,70080 1,
5240001014136_200_00,563486651,70130 1,70030 1,
5240001014136_200_00,563486651,71300 1,70930 1,
5240001014136_200_00,563486651,71300 1,70120 1,
5240001014136_200_00,563486651,70020 1,70000 1,
5240001014136_200_00,563486651,70920 1,70080 1,
5240001014136_200_00,563486651,70920 1,70100 1,
5240001014136_200_00,563486651,70110 1,70070 1,
5240001014136_200_00,563486651,70080 1,70060 1,
5240001014136_200_00,563486651,70080 1,70070 1,
5240001014136_200_00,563486651,70030 1,70020 1,
5240001014136_200_00,563486651,70120 1,70080 1,
5240001014136_200_00,563486651,70120 1,70030 1,
5240001014136_200_00,2338192195,71190 2,70940 2,
5240001014136_200_00,2338192195,70940 2,70920 4,
5240001014136_200_00,2338192195,70000 2,71190 2,
5240001014136_200_00,2338192195,71200 2,70070 3,
5240001014136_200_00,2338192195,71180 2,70110 1,
5240001014136_200_00,2338192195,71180 2,70120 1,
5240001014136_200_00,4024663739,71320 1,70930 1,
5240001014136_200_00,4024663739,71320 1,71310 2,
5240001014136_200_00,4024663739,70130 1,70100 1,
5240001014136_200_00,4024663739,70930 1,70060 1,
5240001014136_200_00,4024663739,70930 1,70920 1,
5240001014136_200_00,4024663739,70930 1,70110 1,
5240001014136_200_00,4024663739,70070 1,70010 1,
5240001014136_200_00,4024663739,70050 1,70020 1,
5240001014136_200_00,4024663739,70080 1,70030 1,
5240001014136_200_00,4024663739,70100 1,70030 1,
5240001014136_200_00,4024663739,71310 2,70930 1,
5240001014136_200_00,398456689,70080 2,70120 2,
5240001014136_200_00,2338192195,71190 2,71200 2,
5240001014136_200_00,2338192195,70000 2,71210 3,
5240001014136_200_00,2338192195,70000 2,71180 2,
5240001014136_200_00,2338192195,70070 3,70140 2,
5240001014136_200_00,2338192195,70010 1,71190 2,
5240001014136_200_00,2338192195,70010 1,71210 3,
5240001014136_200_00,2338192195,70010 1,70070 3,
5240001014136_200_00,2338192195,70920 4,70140 2,
5240001014136_200_00,2613312916,70970 1,70980 1,
5240001014136_200_00,1741626971,71200 2,71200 1,
5240001014136_200_00,1741626971,71180 2,71190 1,
5240001014136_200_00,1741626971,71200 1,70010 1,
5240001014136_200_00,1741626971,71230 1,71210 1,
5240001014136_200_00,1741626971,71230 1,70010 1,
5240001014136_200_00,1741626971,71190 1,71180 1,
5240001014136_200_00,2452594165,70920 2,71210 2,
5240001014136_200_00,2452594165,70120 2,70940 1,
5240001014136_200_00,2452594165,71210 2,70000 1,
5240001014136_200_00,2452594165,70940 1,71210 2,
5240001014136_200_00,2452594165,70940 1,70000 1,
5240001014136_200_00,2452594165,71190 1,70010 1,
5240001014136_200_00,2452594165,71190 1,71180 1,
5240001014136_200_00,2452594165,70130 2,71210 2,
5240001014136_200_00,2452594165,70130 2,70940 1,
5240001014136_200_00,2452594165,70140 1,70120 2,
5240001014136_200_00,2877414474,71110 1,70060 1,
5240001014136_200_00,2877414474,70060 1,70000 3,
5240001014136_200_00,2877414474,70070 1,70040 1,
5240001014136_200_00,2877414474,70010 1,70000 3,
5240001014136_200_00,2877414474,70050 1,70010 1,
5240001014136_200_00,2877414474,70160 1,70080 1,
5240001014136_200_00,2877414474,70160 1,70150 1,
5240001014136_200_00,2165965154,71300 1,70630 1,
5240001014136_200_00,2165965154,70930 2,70570 1,
5240001014136_200_00,2165965154,70000 2,70940 2,
5240001014136_200_00,2165965154,71310 1,70590 1,
5240001014136_200_00,2165965154,70920 3,71300 1,
5240001014136_200_00,2165965154,70040 2,70050 2,
5240001014136_200_00,2165965154,70030 2,70050 2,
5240001014136_200_00,2165965154,70020 2,70050 2,
5240001014136_200_00,2165965154,70580 1,70630 1,
5240001014136_200_00,1673796142,70190 2,70220 1,
5240001014136_200_00,1673796142,70070 3,70230 1,
5240001014136_200_00,1673796142,70040 2,70070 3,
5240001014136_200_00,1673796142,70030 2,71270 2,
5240001014136_200_00,1673796142,70020 2,70060 2,
5240001014136_200_00,1673796142,70060 2,70200 2,
5240001014136_200_00,3581531211,71020 5,70230 2,
5240001014136_200_00,3581531211,71020 5,70970 2,
5240001014136_200_00,3581531211,71000 2,70980 2,
5240001014136_200_00,3581531211,70980 2,70210 2,
5240001014136_200_00,4079521102,70630 2,70580 2,
5240001014136_200_00,4079521102,70580 2,71310 2,
5240001014136_200_00,4079521102,70130 1,70050 1,
5240001014136_200_00,4079521102,71100 1,70070 1,
5240001014136_200_00,4079521102,70060 1,70010 1,
5240001014136_200_00,4079521102,70930 1,70110 1,
5240001014136_200_00,4079521102,70930 1,70120 1,
5240001014136_200_00,4079521102,70020 1,70010 1,
5240001014136_200_00,4079521102,70650 1,70580 2,
