station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
67906b5d-cf9c-4eaa-88df-1b0911f8fbd5,715bf360-1804-42c6-adbb-014fa1ab18cb,,,1,11,西広島駅,明山台
c4b61003-5ebd-4585-ae39-bd57ca9dfdb8,715bf360-1804-42c6-adbb-014fa1ab18cb,,,2,11,西広島駅,明山台
431f32e1-25db-49d4-b464-1c848615d165,715bf360-1804-42c6-adbb-014fa1ab18cb,,,3,11,西広島駅,明山台
b6a232d8-a60e-40a2-a7c4-c58b7d4e0cc9,715bf360-1804-42c6-adbb-014fa1ab18cb,,,4,11,西広島駅,明山台
7d407a1a-98a2-4234-898a-f5c715da4929,715bf360-1804-42c6-adbb-014fa1ab18cb,,,5,11,西広島駅,明山台
5cd344d1-29a4-470c-8841-742464bc91dd,715bf360-1804-42c6-adbb-014fa1ab18cb,,,6,11,西広島駅,明山台
072d98b2-bfb2-4ee3-a070-5c6608207f52,715bf360-1804-42c6-adbb-014fa1ab18cb,,,7,11,西広島駅,明山台
776e8613-4377-4bd0-8ae4-5ed568c2bdbf,715bf360-1804-42c6-adbb-014fa1ab18cb,,,8,11,西広島駅,
953e8e0e-ae6b-420a-b34e-8c8250b064ab,715bf360-1804-42c6-adbb-014fa1ab18cb,,,9,11,西広島駅,
9184ad23-8bf6-47de-a122-bdd6bc75329f,715bf360-1804-42c6-adbb-014fa1ab18cb,,,10,11,西広島駅,
060162d6-9f9a-4221-b575-8be374835ce8,715bf360-1804-42c6-adbb-014fa1ab18cb,,,11,11,西広島駅,
2471bf43-ead0-4d80-adc8-73ec897d52d3,715bf360-1804-42c6-adbb-014fa1ab18cb,,,12,11,西広島駅,
1e67cad2-d195-4229-82ad-aea0dbf943f5,715bf360-1804-42c6-adbb-014fa1ab18cb,,,13,11,西広島駅,
aeb5683b-c92b-477c-a741-4ad440b13c7f,715bf360-1804-42c6-adbb-014fa1ab18cb,,,14,11,西広島駅,
3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,715bf360-1804-42c6-adbb-014fa1ab18cb,,,15,11,西広島駅,
f9f4930c-8b77-40ed-a505-801729fbb61b,715bf360-1804-42c6-adbb-014fa1ab18cb,,,16,11,西広島駅,
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,715bf360-1804-42c6-adbb-014fa1ab18cb,,,17,11,西広島駅,
ed3feacc-197d-4959-94e2-d584545b31e8,715bf360-1804-42c6-adbb-014fa1ab18cb,,,18,11,西広島駅,
4889b5b0-4e54-46a6-a578-9567ae29a6ce,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,1,17-1,西広島駅,ジ アウトレット広島
bee52274-27e6-4cd9-a6a7-bba1ad0aacb6,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,2,17-1,西広島駅,ジ アウトレット広島
7127a20e-29c6-4058-8e17-05bcccc579b9,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,3,17-1,西広島駅,ジ アウトレット広島
d82c3d78-e34c-48ff-86c7-b4dfbbb399f1,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,4,17-1,西広島駅,ジ アウトレット広島
7809db1f-3e39-48bd-bd25-1ae4dcdf127a,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,5,17-1,西広島駅,ジ アウトレット広島
83e8624c-ee36-430f-b501-9762c1f09bf2,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,6,17-1,西広島駅,ジ アウトレット広島
2598f558-48a8-487b-87b9-97a65edd9cf7,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,7,17-1,西広島駅,ジ アウトレット広島
49126e15-52ed-46d2-8b2b-bd39a02150fe,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,8,17-1,西広島駅,己斐上三丁目
7a180e83-0bb0-4c65-ad1c-543db77bd8ae,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,9,17-1,西広島駅,己斐上三丁目
eefe76b7-79b3-4e63-9e0f-788bdcf3ab03,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,10,17-1,西広島駅,己斐上三丁目
b4ea4a4e-bfb0-498e-96b8-65311fd99208,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,11,17-1,西広島駅,己斐上三丁目
74975e85-eec5-4dcd-8a09-89d3db328672,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,12,17-1,西広島駅,己斐上三丁目
8675c2e9-69f4-4a55-bf12-add4f9637280,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,13,17,西広島駅,
060162d6-9f9a-4221-b575-8be374835ce8,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,14,17,西広島駅,
2471bf43-ead0-4d80-adc8-73ec897d52d3,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,15,17,西広島駅,
1e67cad2-d195-4229-82ad-aea0dbf943f5,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,16,17,西広島駅,
aeb5683b-c92b-477c-a741-4ad440b13c7f,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,17,17,西広島駅,
3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,18,17,西広島駅,
f9f4930c-8b77-40ed-a505-801729fbb61b,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,19,17,西広島駅,
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,20,17,西広島駅,
7160cece-13d7-41fc-9777-764a49dbdcb3,6dfc3549-af59-46f2-8a90-018fd4fe9e09,,,21,17,西広島駅,
ed3feacc-197d-4959-94e2-d584545b31e8,24d29011-669f-4784-8712-019b0815186a,,,1,14-2,学院東門,
16e2288d-13cb-4092-8bca-6a6438f4d379,24d29011-669f-4784-8712-019b0815186a,,,2,14-2,学院東門,
59f11d12-2134-43cf-bcea-d97f3f183a50,24d29011-669f-4784-8712-019b0815186a,,,3,14-2,学院東門,
881ff075-5735-4b2b-a69d-71d6cd3161aa,24d29011-669f-4784-8712-019b0815186a,,,4,14-2,学院東門,
6ff04dd7-7e76-46ec-bc57-89b1d9011106,24d29011-669f-4784-8712-019b0815186a,,,5,14-2,学院東門,
7160cece-13d7-41fc-9777-764a49dbdcb3,a6464569-4510-44bd-8bf9-0285e42d2b50,,,1,17-1,五月が丘団地,ジ アウトレット広島
73950e9a-ffea-4f5b-bddf-ce569c728845,a6464569-4510-44bd-8bf9-0285e42d2b50,,,2,17-1,五月が丘団地,ジ アウトレット広島
88f24568-c381-444c-aece-bc610971c743,a6464569-4510-44bd-8bf9-0285e42d2b50,,,3,17-1,五月が丘団地,ジ アウトレット広島
ad949f18-c43c-49b4-9064-ac245d1889a7,a6464569-4510-44bd-8bf9-0285e42d2b50,,,4,17-1,五月が丘団地,ジ アウトレット広島
95e4bd37-f41c-4c4b-9ec5-acd72ac42cb2,a6464569-4510-44bd-8bf9-0285e42d2b50,,,5,17-1,五月が丘団地,ジ アウトレット広島
3f710563-a4f9-4e70-bd6e-f4ada406cca7,a6464569-4510-44bd-8bf9-0285e42d2b50,,,6,17-1,五月が丘団地,ジ アウトレット広島
934fda6c-f740-449b-909d-9933f5e9eec4,a6464569-4510-44bd-8bf9-0285e42d2b50,,,7,17-1,五月が丘団地,ジ アウトレット広島
e5732c85-3563-4d97-aea9-4d1fe871531e,a6464569-4510-44bd-8bf9-0285e42d2b50,,,8,17-1,五月が丘団地,ジ アウトレット広島
1794c01d-42af-4f6e-a8d4-9dc8f0c0ea3e,a6464569-4510-44bd-8bf9-0285e42d2b50,,,9,17-1,五月が丘団地,ジ アウトレット広島
61722a69-6e6c-4964-bce9-7dcbeec99bea,a6464569-4510-44bd-8bf9-0285e42d2b50,,,10,17-1,五月が丘団地,ジ アウトレット広島
50d579e7-13e9-478d-9168-5aa15c764cd5,a6464569-4510-44bd-8bf9-0285e42d2b50,,,11,17-1,五月が丘団地,ジ アウトレット広島
2598f558-48a8-487b-87b9-97a65edd9cf7,a6464569-4510-44bd-8bf9-0285e42d2b50,,,12,17-1,五月が丘団地,ジ アウトレット広島
17a91a50-ee30-40ec-9e6a-7d669329dade,a6464569-4510-44bd-8bf9-0285e42d2b50,,,13,17-1,五月が丘団地,
7a180e83-0bb0-4c65-ad1c-543db77bd8ae,a6464569-4510-44bd-8bf9-0285e42d2b50,,,14,17-1,五月が丘団地,
b7a75111-7178-4377-9cce-b63624264414,a6464569-4510-44bd-8bf9-0285e42d2b50,,,15,17-1,五月が丘団地,
b08916ae-4f84-46d4-af79-f4e3653309e3,a6464569-4510-44bd-8bf9-0285e42d2b50,,,16,17-1,五月が丘団地,
1a3c6c5f-18d7-4b68-989c-00b1be769faa,a6464569-4510-44bd-8bf9-0285e42d2b50,,,17,17-1,五月が丘団地,
bcd44dbf-1f2a-4ea9-a6a5-f96dd0943e12,a6464569-4510-44bd-8bf9-0285e42d2b50,,,18,17-1,五月が丘団地,
1e0d18e8-cb57-4d16-b726-67a63a100508,a6464569-4510-44bd-8bf9-0285e42d2b50,,,19,17-1,五月が丘団地,
4889b5b0-4e54-46a6-a578-9567ae29a6ce,a6464569-4510-44bd-8bf9-0285e42d2b50,,,20,17-1,五月が丘団地,
7a801867-706b-4938-9ef5-b2029061bc39,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,1,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
66dcd7d3-f1d8-4e7f-9808-29285bfc6906,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,2,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
2378ce80-2696-4390-8bae-7dd037d573d8,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,3,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
40fb3a5c-d6e2-4ea0-a6b7-91c0014d8325,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,4,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
a187597b-4736-49c7-bd62-c518ee7da3f4,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,5,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
5dc30f34-bbb5-4460-897e-46176ef74a44,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,6,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,7,11-4,広電己斐団地・大迫,西広島駅・フジハイツ
7160cece-13d7-41fc-9777-764a49dbdcb3,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,8,11-4,広電己斐団地・大迫,フジハイツ
29ff3223-f8c3-484b-a32a-8cf1dfada432,1ce1531e-a615-4eb6-b626-02cf52c62b27,,,9,11-4,広電己斐団地・大迫,
