stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
70000 1,,西広島駅,,34.3978909,132.4284753,70000 1,,0,,,,1
70000 2,,西広島駅,,34.397796,132.4283548,70000 2,,0,,,,2
70000 3,,西広島駅,,34.3976888,132.4282261,70000 3,,0,,,,3
70010 1,,己斐橋,,34.3992549,132.4302449,70010 1,,0,,,,
70020 1,,己斐中二丁目,,34.3997714,132.4281726,70020 1,,0,,,,
70020 2,,己斐中二丁目,,34.3998892,132.4290923,70020 2,,0,,,,
70030 1,,みどり幼稚園,,34.39975239,132.4259092,70030 1,,0,,,,
70030 2,,みどり幼稚園,,34.3997041,132.4258075,70030 2,,0,,,,
70040 1,,己斐小学校,,34.4008678,132.4223443,70040 1,,0,,,,
70040 2,,己斐小学校,,34.4007455,132.4225183,70040 2,,0,,,,
70050 1,,紅葉園,,34.402982,132.4201107,70050 1,,0,,,,
70050 2,,紅葉園,,34.4029409,132.4200164,70050 2,,0,,,,
70060 1,,己斐中学校入口,,34.4063337,132.4197641,70060 1,,0,,,,
70060 2,,己斐中学校入口,,34.4063776,132.4197103,70060 2,,0,,,,
70070 1,,己斐峠入口,,34.4087458,132.4200776,70070 1,,0,,,,1
70070 2,,己斐峠入口,,34.409369,132.4197513,70070 2,,0,,,,2
70070 3,,己斐峠入口,,34.4093316,132.419442,70070 3,,0,,,,3
70070 4,,己斐峠入口,,34.409682,132.4200018,70070 4,,0,,,,4
70080 1,,己斐上四丁目,,34.4108623,132.421215,70080 1,,0,,,,
70080 2,,己斐上四丁目,,34.4110256,132.4213219,70080 2,,0,,,,
70090 1,,己斐上四丁目上,,34.4126511,132.4230611,70090 1,,0,,,,
70090 2,,己斐上四丁目上,,34.4129121,132.4229657,70090 2,,0,,,,
70100 1,,無線台下,,34.4150044,132.4222293,70100 1,,0,,,,
70100 2,,無線台下,,34.4151973,132.4222577,70100 2,,0,,,,
70110 1,,緑ヶ丘入口,,34.4160329,132.4212744,70110 1,,0,,,,
70110 2,,緑ヶ丘入口,,34.4159371,132.4212571,70110 2,,0,,,,
70120 1,,やまなみ,,34.4159816,132.41972,70120 1,,0,,,,
70120 2,,やまなみ,,34.4158738,132.4196705,70120 2,,0,,,,
70130 1,,広電己斐団地,,34.4153193,132.4186303,70130 1,,0,,,,
70130 2,,広電己斐団地,,34.4152364,132.418658,70130 2,,0,,,,
70140 1,,国迫団地,,34.4142941,132.4240996,70140 1,,0,,,,1
70140 2,,国迫団地,,34.4143549,132.424137,70140 2,,0,,,,2
70140 3,,国迫団地,,34.414343,132.4247479,70140 3,,0,,,,3
70140 4,,国迫団地,,34.4137988,132.4244877,70140 4,,0,,,,4
70150 1,,大迫団地下,,34.415734,132.428074,70150 1,,0,,,,
70150 2,,大迫団地下,,34.4157807,132.427902,70150 2,,0,,,,
70160 1,,大迫団地,,34.4140522,132.4287801,70160 1,,0,,,,
