station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,5154001@HiroshimaArea,,3,1,急行市役所、25号広島駅、11・17号八丁堀方面、10号大学病院・旭町,西広島駅・己斐@HiroshimaArea
7160cece-13d7-41fc-9777-764a49dbdcb3,5154002@HiroshimaArea,,3,2,11号広電己斐団地・フジハイツ、17号ジアウトレット・免許センター・五月方面,西広島駅・己斐@HiroshimaArea
ed3feacc-197d-4959-94e2-d584545b31e8,5154003@HiroshimaArea,,3,3,11号大迫団地・もみじが丘方面、14号高須台方面,西広島駅・己斐@HiroshimaArea
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,7119002@HiroshimaArea,,3,,井口車庫方面,己斐橋@HiroshimaArea
f9f4930c-8b77-40ed-a505-801729fbb61b,8802001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐中二丁目@HiroshimaArea
73950e9a-ffea-4f5b-bddf-ce569c728845,8802002@HiroshimaArea,,3,,己斐上・大迫・五月方面,己斐中二丁目@HiroshimaArea
3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,8803001@HiroshimaArea,,3,,西広島・八丁堀方面,みどり幼稚園@HiroshimaArea
88f24568-c381-444c-aece-bc610971c743,8803002@HiroshimaArea,,3,,己斐上・大迫・五月方面,みどり幼稚園@HiroshimaArea
aeb5683b-c92b-477c-a741-4ad440b13c7f,8804001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐小学校@HiroshimaArea
ad949f18-c43c-49b4-9064-ac245d1889a7,8804002@HiroshimaArea,,3,,己斐上・大迫・五月方面,己斐小学校@HiroshimaArea
1e67cad2-d195-4229-82ad-aea0dbf943f5,8805001@HiroshimaArea,,3,,西広島・八丁堀方面,紅葉園@HiroshimaArea
95e4bd37-f41c-4c4b-9ec5-acd72ac42cb2,8805002@HiroshimaArea,,3,,己斐上・大迫・五月方面,紅葉園@HiroshimaArea
2471bf43-ead0-4d80-adc8-73ec897d52d3,8806001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐中学校入口@HiroshimaArea
3f710563-a4f9-4e70-bd6e-f4ada406cca7,8806002@HiroshimaArea,,3,,己斐上・大迫・五月方面,己斐中学校入口@HiroshimaArea
060162d6-9f9a-4221-b575-8be374835ce8,8807001@HiroshimaArea,,3,1,西広島・八丁堀方面,己斐峠入口@HiroshimaArea
1da51656-53e9-4165-8f12-b117cec2f42d,8807002@HiroshimaArea,,3,2,フジハイツ・八丁堀方面,己斐峠入口@HiroshimaArea
934fda6c-f740-449b-909d-9933f5e9eec4,8807003@HiroshimaArea,,3,3,もみじ・五月方面,己斐峠入口@HiroshimaArea
f8435a63-4283-4142-befa-eab6c278d119,8807004@HiroshimaArea,,3,4,大迫・広電己斐団地方面,己斐峠入口@HiroshimaArea
5234d3f5-5d4f-48ef-a580-af3eb1458ef9,8808001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐上四丁目@HiroshimaArea
b280e197-e86b-4f77-b764-23b7c2e0a770,8808002@HiroshimaArea,,3,,大迫・広電団地方面,己斐上四丁目@HiroshimaArea
9f697e4e-c18d-4986-b5ac-ad67e0bca85d,8809001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐上四丁目上@HiroshimaArea
