trans_id,lang,translation
ボンバス,ja,ボンバス
ボンバス,ja-Hrkt,ボンバス
ボンバス,en,Bon-Bus
西広島駅,ja,西広島駅
西広島駅,ja-Hrkt,にしひろしまえき
西広島駅,en,Nishi-hiroshima Sta.
西広島駅,ko,니시히로시마 역
西広島駅,zh-cn,西广岛站
西広島駅,zh-tw,西廣島站
己斐橋,ja,己斐橋
己斐橋,ja-Hrkt,こいばし
己斐橋,en,Koibashi
己斐橋,ko,고이바시
己斐橋,zh-cn,己斐桥
己斐橋,zh-tw,己斐橋
己斐中２丁目,ja,己斐中２丁目
己斐中２丁目,ja-Hrkt,こいなかにちょうめ
己斐中２丁目,en,Koi-naka-nichome (Koi-naka 2)
己斐中２丁目,ko,고이 나카 2초메
己斐中２丁目,zh-cn,己斐中二丁目
己斐中２丁目,zh-tw,己斐中二丁目
己斐中二丁目,ja,己斐中二丁目
己斐中二丁目,ja-Hrkt,こいなかにちょうめ
己斐中二丁目,en,Koi-naka-nichome (Koi-naka 2)
己斐中二丁目,ko,고이 나카 2초메
己斐中二丁目,zh-cn,己斐中二丁目
己斐中二丁目,zh-tw,己斐中二丁目
みどり幼稚園,ja,みどり幼稚園
みどり幼稚園,ja-Hrkt,みどりようちえん
みどり幼稚園,en,Midori Yochien (Midori Kindergarten)
みどり幼稚園,ko,미도리 유치원
みどり幼稚園,zh-cn,绿幼稚园
みどり幼稚園,zh-tw,綠幼稚園
己斐小学校,ja,己斐小学校
己斐小学校,ja-Hrkt,こいしょうがっこう
己斐小学校,en,Koi Shogakko (Koi Elementary School)
己斐小学校,ko,고이 초등학교
己斐小学校,zh-cn,己斐小学
己斐小学校,zh-tw,己斐小學
紅葉園,ja,紅葉園
紅葉園,ja-Hrkt,こうようえん
紅葉園,en,Koyoen
紅葉園,ko,고요엔
紅葉園,zh-cn,红叶园
紅葉園,zh-tw,紅葉園
己斐中学校入口,ja,己斐中学校入口
己斐中学校入口,ja-Hrkt,こいちゅうがっこういりぐち
己斐中学校入口,en,Koi Chugakko-iriguchi (Koi Junior High School)
己斐中学校入口,ko,고이 중학교
己斐中学校入口,zh-cn,己斐中学入口
己斐中学校入口,zh-tw,己斐中學入口
己斐峠入口,ja,己斐峠入口
己斐峠入口,ja-Hrkt,こいとうげいりぐち
己斐峠入口,en,Koi-toge-iriguchi
己斐峠入口,ko,고이 토게 이리구치
