trans_id,lang,translation,category,station_sid,course_sid
ボンバス,ja,ボンバス,agency_name,,
ボンバス,ja-Hrkt,ボンバス,agency_name,,
ボンバス,en,Bon-Bus,agency_name,,
西広島駅,ja,西広島駅,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
西広島駅,ja-Hrkt,にしひろしまえき,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
西広島駅,en,Nishi-hiroshima Sta.,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
西広島駅,ko,니시히로시마 역,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
西広島駅,zh-cn,西广岛站,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
西広島駅,zh-tw,西廣島站,stop_name,fb17ef45-2d90-446b-a8a2-c5d32fe1ee71,
己斐橋,ja,己斐橋,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐橋,ja-Hrkt,こいばし,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐橋,en,Koibashi,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐橋,ko,고이바시,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐橋,zh-cn,己斐桥,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐橋,zh-tw,己斐橋,stop_name,af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,
己斐中２丁目,ja,己斐中２丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中２丁目,ja-Hrkt,こいなかにちょうめ,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中２丁目,en,Koi-naka-nichome (Koi-naka 2),stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中２丁目,ko,고이 나카 2초메,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中２丁目,zh-cn,己斐中二丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中２丁目,zh-tw,己斐中二丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,ja,己斐中二丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,ja-Hrkt,こいなかにちょうめ,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,en,Koi-naka-nichome (Koi-naka 2),stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,ko,고이 나카 2초메,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,zh-cn,己斐中二丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
己斐中二丁目,zh-tw,己斐中二丁目,stop_name,f9f4930c-8b77-40ed-a505-801729fbb61b,
みどり幼稚園,ja,みどり幼稚園,stop_name,3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,
みどり幼稚園,ja-Hrkt,みどりようちえん,stop_name,3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,
みどり幼稚園,en,Midori Yochien (Midori Kindergarten),stop_name,3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,
みどり幼稚園,ko,미도리 유치원,stop_name,3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,
