daiya_sid,bin_no,course_sid
a1a14d90-3a60-45c6-a018-097ee87a44b9,8,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
2451dd8f-c515-4e05-8c0d-0ac634337c21,10,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
a37d77e7-cda3-452a-98e3-15324ab255b5,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
26d607ac-9ffe-4fac-aeec-1d5e051ea439,3,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
f69ba2db-0b0f-488e-9880-3003a2098569,3,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
27533767-c712-41ed-a66c-3f6c8f33c9f5,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
587c48ce-d45e-4197-b2ed-487e8391223a,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
c878ae83-a130-4df2-b7d7-50903d562dee,9,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
cf34dc6a-41b4-4f3e-86ae-54df63b58c46,8,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
9c1d07a6-c334-4799-8d93-5df6f537faa5,8,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
2edefb8c-3d3b-42fb-8150-6609662e7818,2,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
7b9bff33-1cd9-4ab5-a57e-7440a9b2aca8,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
8d8d9ddf-fee2-4ddc-9fe6-76a04d750f02,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
4d8fe621-4998-4160-8020-83afc1fd0ae4,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
27c68163-6b53-4af9-8082-85ae5ff11f5d,5,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
91cf9f61-1b6e-4720-a709-84fb2459f530,9,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
8c9feb88-711a-40cf-824f-93a560460c11,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
0170841f-e68a-49a1-84b2-a0a84409251a,2,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
b7358f56-6b01-454f-a1f8-af0a5cfde086,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
41ba885f-1fcf-45c5-879d-c009a787290b,9,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
b56c39b1-58c0-4f50-9efa-c29638942f2e,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
c9af4081-1690-4448-a586-c5539071f585,5,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
7305777b-6621-4f9f-8e7d-cbfa778bc5a2,6,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
181a57cd-c09c-41ae-987a-e4d611369dd1,5,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
faafbe11-e66f-4680-9670-eb8a5c630db4,3,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
87ecec79-2e00-44d7-8a38-f01cf83be500,6,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
