service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260813,20270213
11_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
11_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
15_平日(共通),1,1,1,1,1,0,0,20260813,20270213
15_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
15_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
16_平日(共通),1,1,1,1,1,0,0,20260813,20270213
16_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
16_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
17_平日(共通),1,1,1,1,1,0,0,20260813,20270213
17_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
17_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
21_平日(共通),1,1,1,1,1,0,0,20260813,20270213
21_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
21_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
24_平日(共通),1,1,1,1,1,0,0,20260813,20270213
24_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
24_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
31_平日(共通),1,1,1,1,1,0,0,20260813,20270213
31_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
31_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
33_平日(共通),1,1,1,1,1,0,0,20260813,20270213
33_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
33_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
35_平日(共通),1,1,1,1,1,0,0,20260813,20270213
35_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
35_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
37_平日(共通),1,1,1,1,1,0,0,20260813,20270213
37_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
37_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
41_平日(共通),1,1,1,1,1,0,0,20260813,20270213
41_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
41_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
51_平日(共通),1,1,1,1,1,0,0,20260813,20270213
51_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
51_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
61_平日(共通),1,1,1,1,1,0,0,20260813,20270213
61_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
61_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
90_平日(共通),1,1,1,1,1,0,0,20260813,20270213
90_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
90_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
98_平日(共通),1,1,1,1,1,0,0,20260813,20270213
98_土曜(共通),0,0,0,0,0,1,0,20260813,20270213
98_日祝(共通),0,0,0,0,0,0,1,20260813,20270213
