daiya_sid,bin_no,course_sid
5f30e9a4-1c79-43d7-a936-05bb96c348dd,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
c5005397-4b1b-4955-8654-3269060b459b,3,98740a2a-a4e7-4f25-b987-03b4a9aecb50
125de3ad-b41f-4ebc-8198-4862bb91a95d,3,98740a2a-a4e7-4f25-b987-03b4a9aecb50
6301dd72-3a5a-49d5-9f18-58761170f501,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
04ad17aa-1b9d-46c6-8bb4-5e335d06c4df,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
7962aabc-326e-4bbd-bacd-5f87d91126a3,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
a83e9b54-9668-42cf-9624-7e9ad35ecc7b,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
ced30edb-26a8-4c94-9430-9beff8712e20,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
52795518-adca-4dbe-abff-9cf0c7f99a24,5,16e3f1fb-733b-4854-aef1-0a3ab90cc031
a1c4128e-d31f-4382-8871-9651f2638402,3,16e3f1fb-733b-4854-aef1-0a3ab90cc031
37b17828-3104-46e9-8e33-4f72b0ba842e,3,16e3f1fb-733b-4854-aef1-0a3ab90cc031
428929a1-b3f5-4330-ad42-4947df7a5911,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
e232f2c3-9a7b-42c6-898f-40c2a0e56f4c,4,16e3f1fb-733b-4854-aef1-0a3ab90cc031
7881a9ae-c4c9-4935-98e4-2158072767f5,4,16e3f1fb-733b-4854-aef1-0a3ab90cc031
6c13d4ef-7eca-4a09-a2b9-23ba386aeb01,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
e1fd2977-c768-40d1-a2f6-2b20556a88c4,2,16e3f1fb-733b-4854-aef1-0a3ab90cc031
55fd93a5-a406-42f0-9453-ae455f2be5d8,5,16e3f1fb-733b-4854-aef1-0a3ab90cc031
e818d109-ea3d-4dcf-a32d-d06c8e606f75,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
