"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1_438_20260401","1","1","1","1","1","0","0","20260401","20260605"
"1_439_20260401","0","0","0","0","0","1","1","20260401","20260605"
"1_442_20260606","1","1","1","1","1","0","0","20260606","20260905"
"1_443_20260606","0","0","0","0","0","1","1","20260606","20260905"
"1_447_20260906","1","1","1","1","1","0","0","20260906","20261208"
"1_448_20260906","0","0","0","0","0","1","1","20260906","20261208"
"2_440_20260401","1","1","1","1","1","0","0","20260401","20260605"
"2_441_20260401","0","0","0","0","0","1","1","20260401","20260605"
"2_445_20260606","0","0","0","0","0","1","1","20260606","20260905"
"2_446_20260606","1","1","1","1","1","0","0","20260606","20260905"
"2_450_20260906","0","0","0","0","0","1","1","20260906","20261208"
"2_451_20260906","1","1","1","1","1","0","0","20260906","20261208"
