"service_id","date","exception_type"
"1_438_20260401","20260429","2"
"1_439_20260401","20260429","1"
"1_438_20260401","20260504","2"
"1_439_20260401","20260504","1"
"1_438_20260401","20260505","2"
"1_439_20260401","20260505","1"
"1_438_20260401","20260506","2"
"1_439_20260401","20260506","1"
"1_438_20260401","20260720","2"
"1_439_20260401","20260720","1"
"1_438_20260401","20260811","2"
"1_439_20260401","20260811","1"
"1_438_20260401","20260813","2"
"1_439_20260401","20260813","1"
"1_438_20260401","20260814","2"
"1_439_20260401","20260814","1"
"2_440_20260401","20260429","2"
"2_441_20260401","20260429","1"
"2_440_20260401","20260504","2"
"2_441_20260401","20260504","1"
"2_440_20260401","20260505","2"
"2_441_20260401","20260505","1"
"2_440_20260401","20260506","2"
"2_441_20260401","20260506","1"
"2_440_20260401","20260720","2"
"2_441_20260401","20260720","1"
"2_440_20260401","20260811","2"
"2_441_20260401","20260811","1"
"2_440_20260401","20260813","2"
"2_441_20260401","20260813","1"
"2_440_20260401","20260814","2"
"2_441_20260401","20260814","1"
