"fare_id","route_id","origin_id","destination_id","contains_id"
"2_1_580_20260401","2_1_20260401","33_66","48_97",
"2_1_610_20260401","2_1_20260401","33_66","49_99",
"2_1_200_20260401","2_1_20260401","33_66","119_246",
"2_1_400_20260401","2_1_20260401","33_66","134_276",
"2_1_400_20260401","2_1_20260401","33_66","136_279",
"2_1_450_20260401","2_1_20260401","33_66","137_281",
"2_1_520_20260401","2_1_20260401","33_66","218_445",
"2_1_720_20260401","2_1_20260401","33_66","237_484",
"2_1_340_20260401","2_1_20260401","33_66","240_491",
"2_1_340_20260401","2_1_20260401","33_66","244_498",
"2_1_670_20260401","2_1_20260401","33_66","252_516",
"2_1_640_20260401","2_1_20260401","33_66","253_519",
"2_1_690_20260401","2_1_20260401","33_66","255_525",
"2_1_610_20260401","2_1_20260401","33_66","360_742",
"2_1_240_20260401","2_1_20260401","33_66","472_963",
"2_1_260_20260401","2_1_20260401","33_66","473_965",
"2_1_520_20260401","2_1_20260401","33_66","493_1005",
"2_1_200_20260401","2_1_20260401","33_66","506_1035",
"2_1_560_20260401","2_1_20260401","33_66","617_1258",
"2_1_200_20260401","2_1_20260401","33_66","738_1508",
"2_1_480_20260401","2_1_20260401","33_66","745_1521",
"2_1_450_20260401","2_1_20260401","33_66","746_1524",
"2_1_480_20260401","2_1_20260401","33_66","748_1527",
"2_1_480_20260401","2_1_20260401","33_66","749_1529",
"2_1_480_20260401","2_1_20260401","33_66","750_1532",
"2_1_190_20260401","2_1_20260401","33_65","764_1559",
"2_1_670_20260401","2_1_20260401","33_66","817_1673",
"2_1_190_20260401","2_1_20260401","33_66","850_1746",
"2_1_520_20260401","2_1_20260401","33_66","853_1752",
"2_1_340_20260401","2_1_20260401","33_66","919_1891",
"2_1_310_20260401","2_1_20260401","33_66","920_1894",
"2_1_240_20260401","2_1_20260401","33_66","976_2007",
"2_1_190_20260401","2_1_20260401","33_65","1000_11",
"2_1_190_20260401","2_1_20260401","33_65","1059_2180",
"2_1_190_20260401","2_1_20260401","33_66","1172_2422",
"2_1_190_20260401","2_1_20260401","33_66","1174_2426",
"2_1_670_20260401","2_1_20260401","33_66","1258_2604",
"2_1_270_20260401","2_1_20260401","33_66","1266_2622",
"2_1_310_20260401","2_1_20260401","33_66","1268_2627",
"2_1_640_20260401","2_1_20260401","33_66","1272_2634",
"2_1_640_20260401","2_1_20260401","33_66","1301_2694",
"2_1_750_20260401","2_1_20260401","33_66","1455_3000",
"2_1_670_20260401","2_1_20260401","33_66","1685_3457",
"2_1_580_20260401","2_1_20260401","48_97","33_65",
"2_1_190_20260401","2_1_20260401","48_97","49_99",
"2_1_520_20260401","2_1_20260401","48_97","119_247",
"2_1_360_20260401","2_1_20260401","48_97","134_276",
"2_1_410_20260401","2_1_20260401","48_97","136_279",
"2_1_360_20260401","2_1_20260401","48_97","137_281",
"2_1_200_20260401","2_1_20260401","48_97","218_444",
"2_1_290_20260401","2_1_20260401","48_97","237_484",
"2_1_410_20260401","2_1_20260401","48_97","240_491",
"2_1_410_20260401","2_1_20260401","48_97","244_498",
"2_1_230_20260401","2_1_20260401","48_97","252_516",
"2_1_190_20260401","2_1_20260401","48_97","253_519",
"2_1_260_20260401","2_1_20260401","48_97","255_525",
"2_1_190_20260401","2_1_20260401","48_97","360_742",
"2_1_480_20260401","2_1_20260401","48_97","472_962",
"2_1_480_20260401","2_1_20260401","48_97","473_964",
"2_1_200_20260401","2_1_20260401","48_97","493_1004",
"2_1_520_20260401","2_1_20260401","48_97","506_1034",
"2_1_190_20260401","2_1_20260401","48_97","617_1258",
"2_1_520_20260401","2_1_20260401","48_97","738_1507",
"2_1_250_20260401","2_1_20260401","48_97","745_1521",
"2_1_290_20260401","2_1_20260401","48_97","746_1523",
"2_1_250_20260401","2_1_20260401","48_97","748_1527",
"2_1_250_20260401","2_1_20260401","48_97","749_1529",
"2_1_250_20260401","2_1_20260401","48_97","750_1531",
"2_1_620_20260401","2_1_20260401","48_97","764_1559",
"2_1_230_20260401","2_1_20260401","48_97","817_1673",
"2_1_560_20260401","2_1_20260401","48_97","850_1745",
"2_1_200_20260401","2_1_20260401","48_97","853_1751",
"2_1_410_20260401","2_1_20260401","48_97","919_1891",
"2_1_430_20260401","2_1_20260401","48_97","920_1893",
"2_1_480_20260401","2_1_20260401","48_97","976_2008",
"2_1_630_20260401","2_1_20260401","48_97","1000_11",
"2_1_630_20260401","2_1_20260401","48_97","1059_2180",
"2_1_580_20260401","2_1_20260401","48_97","1172_2423",
"2_1_560_20260401","2_1_20260401","48_97","1174_2427",
"2_1_230_20260401","2_1_20260401","48_97","1258_2604",
