"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"2_1_20260401","20260401",,,
"2_7_20260401","20260401",,,
"2_8_20260401","20260401",,,
"2_9_20260401","20260401",,,
"2_17_20260401","20260401",,,
"2_20_20260401","20260401",,,
"2_23_20260401","20260401",,,
"2_25_20260401","20260401",,,
"2_29_20260401","20260401",,,
"1_146_20260401","20260401",,,
"2_150_20260401","20260401",,,
"2_151_20260401","20260401",,,
"2_154_20260401","20260401",,,
"2_155_20260401","20260401",,,
"2_158_20260401","20260401",,,
"2_159_20260401","20260401",,,
"2_168_20260401","20260401",,,
"2_169_20260401","20260401",,,
"2_174_20260401","20260401",,,
"2_180_20260401","20260401",,,
