"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_438_307_2_5008_20260401","09:50:00","09:50:00","999_2055","1",,"0","1",
"1_438_307_2_5008_20260401","09:51:00","09:51:00","1019_2101","2",,"0","0",
"1_438_307_2_5008_20260401","09:52:00","09:52:00","767_1565","3",,"0","0",
"1_438_307_2_5008_20260401","09:53:00","09:53:00","1210_2502","4",,"0","0",
"1_438_307_2_5008_20260401","09:54:00","09:54:00","1152_2375","5",,"0","0",
"1_438_307_2_5008_20260401","09:56:00","09:56:00","111_226","6",,"0","0",
"1_438_307_2_5008_20260401","09:57:00","09:57:00","932_1917","7",,"0","0",
"1_438_307_2_5008_20260401","09:58:00","09:58:00","934_1922","8",,"0","0",
"1_438_307_2_5008_20260401","09:59:00","09:59:00","1175_2429","9",,"0","0",
"1_438_307_2_5008_20260401","10:00:00","10:00:00","613_1252","10",,"0","0",
"1_438_307_2_5008_20260401","10:02:00","10:02:00","576_1177","11",,"0","0",
"1_438_307_2_5008_20260401","10:04:00","10:04:00","1281_2654","12",,"0","0",
"1_438_307_2_5008_20260401","10:05:00","10:05:00","913_1878","13",,"0","0",
"1_438_307_2_5008_20260401","10:06:00","10:06:00","923_1899","14",,"0","0",
"1_438_307_2_5008_20260401","10:07:00","10:07:00","1132_2331","15",,"0","0",
"1_438_307_2_5008_20260401","10:08:00","10:08:00","1128_2321","16",,"0","0",
"1_438_307_2_5008_20260401","10:09:00","10:09:00","721_1470","17",,"0","0",
"1_438_307_2_5008_20260401","10:11:00","10:11:00","246_502","18",,"0","0",
"1_438_307_2_5008_20260401","10:12:00","10:12:00","528_1079","19",,"0","0",
"1_438_307_2_5008_20260401","10:15:00","10:15:00","1000_10","20",,"0","0",
"1_438_307_2_5008_20260401","10:16:00","10:16:00","527_1078","21",,"0","0",
"1_438_307_2_5008_20260401","10:18:00","10:18:00","1292_2676","22",,"0","0",
"1_438_307_2_5008_20260401","10:19:00","10:19:00","389_799","23",,"0","0",
"1_438_307_2_5008_20260401","10:20:00","10:20:00","999_2055","24",,"1","0",
"1_438_307_2_5011_20260401","10:50:00","10:50:00","999_2055","1",,"0","1",
"1_438_307_2_5011_20260401","10:51:00","10:51:00","1019_2101","2",,"0","0",
"1_438_307_2_5011_20260401","10:52:00","10:52:00","767_1565","3",,"0","0",
"1_438_307_2_5011_20260401","10:53:00","10:53:00","1210_2502","4",,"0","0",
"1_438_307_2_5011_20260401","10:54:00","10:54:00","1152_2375","5",,"0","0",
"1_438_307_2_5011_20260401","10:56:00","10:56:00","111_226","6",,"0","0",
"1_438_307_2_5011_20260401","10:57:00","10:57:00","932_1917","7",,"0","0",
"1_438_307_2_5011_20260401","10:58:00","10:58:00","934_1922","8",,"0","0",
"1_438_307_2_5011_20260401","10:59:00","10:59:00","1175_2429","9",,"0","0",
"1_438_307_2_5011_20260401","11:00:00","11:00:00","613_1252","10",,"0","0",
"1_438_307_2_5011_20260401","11:02:00","11:02:00","576_1177","11",,"0","0",
"1_438_307_2_5011_20260401","11:04:00","11:04:00","1281_2654","12",,"0","0",
"1_438_307_2_5011_20260401","11:05:00","11:05:00","913_1878","13",,"0","0",
"1_438_307_2_5011_20260401","11:06:00","11:06:00","923_1899","14",,"0","0",
"1_438_307_2_5011_20260401","11:07:00","11:07:00","1132_2331","15",,"0","0",
"1_438_307_2_5011_20260401","11:08:00","11:08:00","1128_2321","16",,"0","0",
"1_438_307_2_5011_20260401","11:09:00","11:09:00","721_1470","17",,"0","0",
"1_438_307_2_5011_20260401","11:11:00","11:11:00","246_502","18",,"0","0",
"1_438_307_2_5011_20260401","11:12:00","11:12:00","528_1079","19",,"0","0",
"1_438_307_2_5011_20260401","11:15:00","11:15:00","1000_10","20",,"0","0",
"1_438_307_2_5011_20260401","11:16:00","11:16:00","527_1078","21",,"0","0",
"1_438_307_2_5011_20260401","11:18:00","11:18:00","1292_2676","22",,"0","0",
"1_438_307_2_5011_20260401","11:19:00","11:19:00","389_799","23",,"0","0",
"1_438_307_2_5011_20260401","11:20:00","11:20:00","999_2055","24",,"1","0",
"1_438_307_2_5013_20260401","11:30:00","11:30:00","999_2055","1",,"0","1",
"1_438_307_2_5013_20260401","11:31:00","11:31:00","1019_2101","2",,"0","0",
"1_438_307_2_5013_20260401","11:32:00","11:32:00","767_1565","3",,"0","0",
"1_438_307_2_5013_20260401","11:33:00","11:33:00","1210_2502","4",,"0","0",
"1_438_307_2_5013_20260401","11:34:00","11:34:00","1152_2375","5",,"0","0",
"1_438_307_2_5013_20260401","11:36:00","11:36:00","111_226","6",,"0","0",
"1_438_307_2_5013_20260401","11:37:00","11:37:00","932_1917","7",,"0","0",
"1_438_307_2_5013_20260401","11:38:00","11:38:00","934_1922","8",,"0","0",
"1_438_307_2_5013_20260401","11:39:00","11:39:00","1175_2429","9",,"0","0",
"1_438_307_2_5013_20260401","11:40:00","11:40:00","613_1252","10",,"0","0",
"1_438_307_2_5013_20260401","11:42:00","11:42:00","576_1177","11",,"0","0",
"1_438_307_2_5013_20260401","11:44:00","11:44:00","1281_2654","12",,"0","0",
"1_438_307_2_5013_20260401","11:45:00","11:45:00","913_1878","13",,"0","0",
"1_438_307_2_5013_20260401","11:46:00","11:46:00","923_1899","14",,"0","0",
"1_438_307_2_5013_20260401","11:47:00","11:47:00","1132_2331","15",,"0","0",
