"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"3_5",,"十九軒屋","十九軒屋　下り","34.54639","133.36145","3_5",,"0",,,,
"3_6",,"十九軒屋","十九軒屋　上り","34.546257","133.3618","3_6",,"0",,,,
"7_13",,"青木","青木　上り","34.496887","133.4609","7_13",,"0",,,,
"7_14",,"青木","青木　下り","34.496723","133.46107","7_14",,"0",,,,
"9_17",,"青葉台","青葉台　上り","34.51373","133.428","9_17",,"0",,,,
"9_18",,"青葉台","青葉台　下り","34.513542","133.42859","9_18",,"0",,,,
"10_19",,"青葉台一丁目","青葉台一丁目　下り","34.51281","133.42853","10_19",,"0",,,,
"10_20",,"青葉台一丁目","青葉台一丁目　上り","34.513687","133.42935","10_20",,"0",,,,
"25_50",,"旭ヶ丘小学校前","旭ヶ丘小学校前　下り","34.490902","133.42671","25_50",,"0",,,,
"27_54",,"旭ヶ丘団地","旭ヶ丘団地　上り","34.49068","133.42055","27_54",,"0",,,,
"28_55",,"旭ヶ丘団地上","旭ヶ丘団地上　下り","34.4919","133.42963","28_55",,"0",,,,
"28_56",,"旭ヶ丘団地上","旭ヶ丘団地上　上り","34.491142","133.42949","28_56",,"0",,,,
"29_58",,"旭ヶ丘団地下","旭ヶ丘団地下　下り","34.49235","133.42265","29_58",,"0",,,,
"30_59",,"旭ヶ丘団地中","旭ヶ丘団地中　下り","34.490032","133.42262","30_59",,"0",,,,
"31_62",,"旭ヶ丘幼稚園前","旭ヶ丘幼稚園前　下り","34.492424","133.42606","31_62",,"0",,,,
"33_65",,"旭町","旭町　上り","34.490208","133.37408","33_65",,"0",,,,
"33_66",,"旭町","旭町　下り","34.49034","133.37466","33_66",,"0",,,,
"48_97",,"有田","有田　上下","34.519634","133.46487","48_97",,"0",,,,
"49_99",,"有田口","有田口　上下","34.518074","133.46977","49_99",,"0",,,,
"67_135",,"出部小学校前","出部小学校前　上り","34.59392","133.45761","67_135",,"0",,,,
"67_136",,"出部小学校前","出部小学校前　下り","34.594482","133.45853","67_136",,"0",,,,
"68_137",,"イズミ井原店前","イズミ井原店前　上り","34.584927","133.44037","68_137",,"0",,,,
"68_138",,"イズミ井原店前","イズミ井原店前　下り","34.58498","133.44032","68_138",,"0",,,,
"72_114",,"伊勢丘三丁目","伊勢丘三丁目(大谷方面)","34.50285","133.42365","72_114",,"0",,,,
"74_151",,"伊勢丘五丁目","伊勢丘五丁目　下り","34.504635","133.42433","74_151",,"0",,,,
"74_152",,"伊勢丘五丁目","伊勢丘五丁目　上り","34.504917","133.42462","74_152",,"0",,,,
"76_155",,"伊勢丘六丁目","伊勢丘六丁目　下り","34.50648","133.42548","76_155",,"0",,,,
"76_156",,"伊勢丘六丁目","伊勢丘六丁目　上り","34.50673","133.42586","76_156",,"0",,,,
"78_160",,"伊勢丘団地入口","伊勢丘団地入口　下り","34.501396","133.42648","78_160",,"0",,,,
"78_161",,"伊勢丘団地入口","伊勢丘団地入口　上り","34.5022","133.42662","78_161",,"0",,,,
"89_182",,"市場前","市場前　上り","34.496227","133.40169","89_182",,"0",,,,
"89_183",,"市場前","市場前　下り","34.49629","133.4011","89_183",,"0",,,,
"92_188",,"一里塚","一里塚　下り","34.573044","133.4114","92_188",,"0",,,,
"92_189",,"一里塚","一里塚　上り","34.57312","133.4118","92_189",,"0",,,,
"101_206",,"井原バスセンター","井原バスセンター　発","34.60137","133.46538","101_206",,"0",,,,
"101_207",,"井原バスセンター","井原バスセンター　着","34.60121","133.46526","101_207",,"0",,,,
"102_208",,"井原郵便局前","井原郵便局前　上り","34.595894","133.46764","102_208",,"0",,,,
"102_209",,"井原郵便局前","井原郵便局前　下り","34.595055","133.46814","102_209",,"0",,,,
"111_226",,"入船町","入船町","34.48778","133.37476","111_226",,"0",,,,
"111_227",,"入船町","入船町　下り","34.487778","133.37473","111_227",,"0",,,,
"111_230",,"入船町","入船町　上り","34.48752","133.37466","111_230",,"0",,,,
"119_246",,"巌山","巌山　下り","34.502373","133.38345","119_246",,"0",,,,
"119_247",,"巌山","巌山　上り","34.502308","133.38342","119_247",,"0",,,,
"134_276",,"浦上","浦上　上下","34.52229","133.42181","134_276",,"0",,,,
"135_277",,"浦上団地口","浦上団地口　上り","34.514473","133.42671","135_277",,"0",,,,
"135_278",,"浦上団地口","浦上団地口　下り","34.514545","133.42671","135_278",,"0",,,,
"136_279",,"浦上西","浦上西　上下","34.519306","133.41711","136_279",,"0",,,,
"137_281",,"浦上東","浦上東　上下","34.52334","133.4266","137_281",,"0",,,,
"144_295",,"駅前通り","駅前通り　上り","34.598324","133.46661","144_295",,"0",,,,
"144_296",,"駅前通り","駅前通り　下り","34.598007","133.4669","144_296",,"0",,,,
"167_341",,"王子","王子　下り","34.538948","133.36784","167_341",,"0",,,,
"167_342",,"王子","王子　上り","34.53865","133.36829","167_342",,"0",,,,
"169_345",,"生江浜","生江浜　下り","34.509018","133.48723","169_345",,"0",,,,
"169_346",,"生江浜","生江浜　上り","34.508957","133.48741","169_346",,"0",,,,
"170_347",,"生江浜西","生江浜西　上り","34.508728","133.48073","170_347",,"0",,,,
"170_348",,"生江浜西","生江浜西　下り","34.50905","133.48302","170_348",,"0",,,,
"173_355",,"大磯","大磯　上り","34.499195","133.5152","173_355",,"0",,,,
"173_356",,"大磯","大磯　下り","34.49916","133.51614","173_356",,"0",,,,
"178_365",,"大冝西","大冝西　上り","34.508514","133.46925","178_365",,"0",,,,
"178_366",,"大冝西","大冝西　下り","34.50816","133.47012","178_366",,"0",,,,
"181_371",,"大迫","大迫　上り","34.518856","133.38739","181_371",,"0",,,,
"181_372",,"大迫","大迫　下り","34.519306","133.38666","181_372",,"0",,,,
"182_373",,"王子町","王子町　上り","34.487514","133.38193","182_373",,"0",,,,
"182_374",,"王子町","王子町　下り","34.4876","133.38339","182_374",,"0",,,,
"184_377",,"大峠","大峠　下り","34.503254","133.36946","184_377",,"0",,,,
"184_378",,"大峠","大峠　上り","34.503315","133.36949","184_378",,"0",,,,
"203_414",,"大曲","大曲　下り","34.587887","133.4432","203_414",,"0",,,,
"203_415",,"大曲","大曲　上り","34.587894","133.44334","203_415",,"0",,,,
"218_444",,"押撫上","押撫上　上り","34.530205","133.45476","218_444",,"0",,,,
"218_445",,"押撫上","押撫上　下り","34.53023","133.45485","218_445",,"0",,,,
"235_480",,"笠岡港","笠岡港　上り","34.503536","133.50432","235_480",,"0",,,,
"235_481",,"笠岡港","笠岡港　下り","34.503914","133.5043","235_481",,"0",,,,
"237_382",,"笠岡市民病院前","笠岡市民病院前　発着","34.505997","133.4977","237_382",,"0",,,,
"237_484",,"笠岡市民病院前","笠岡市民病院前　下り","34.506237","133.49692","237_484",,"0",,,,
"237_485",,"笠岡市民病院前","笠岡市民病院前　上り","34.50617","133.49731","237_485",,"0",,,,
"239_488",,"梶島山","梶島山　上り","34.491528","133.40445","239_488",,"0",,,,
"239_489",,"梶島山","梶島山　下り","34.492035","133.40524","239_489",,"0",,,,
"240_491",,"春日","春日　上下","34.51472","133.4136","240_491",,"0",,,,
"241_492",,"春日池","春日池　下り","34.512905","133.42119","241_492",,"0",,,,
"241_493",,"春日池","春日池　上り","34.512955","133.42136","241_493",,"0",,,,
"242_494",,"春日池下","春日池下　上り","34.511044","133.41492","242_494",,"0",,,,
"242_495",,"春日池下","春日池下　下り","34.51118","133.41498","242_495",,"0",,,,
"243_496",,"春日池ニュータウン","春日池ニュータウン　上り","34.514816","133.42319","243_496",,"0",,,,
"243_497",,"春日池ニュータウン","春日池ニュータウン　下り","34.51558","133.42346","243_497",,"0",,,,
"244_498",,"春日小学校前","春日小学校前　上下","34.51699","133.41414","244_498",,"0",,,,
"246_502",,"ジーベック前","ジーベック前　上り","34.484505","133.36415","246_502",,"0",,,,
"249_510",,"片山","片山　下り","34.534298","133.36958","249_510",,"0",,,,
"249_511",,"片山","片山　上り","34.53376","133.36984","249_511",,"0",,,,
"252_516",,"金浦口","金浦口　上下","34.5122","133.4916","252_516",,"0",,,,
"253_518",,"金浦中入口","金浦中入口　上り","34.516888","133.47627","253_518",,"0",,,,
"253_519",,"金浦中入口","金浦中入口　下り","34.51695","133.47632","253_519",,"0",,,,
"255_522",,"金崎","金崎　上り","34.508595","133.49188","255_522",,"0",,,,
"255_523",,"金崎","金崎　下り","34.50864","133.49207","255_523",,"0",,,,
"255_524",,"金崎","金崎(笠岡福山線)　上り","34.509007","133.49255","255_524",,"0",,,,
"255_525",,"金崎","金崎(笠岡福山線)　下り","34.50902","133.49261","255_525",,"0",,,,
"267_548",,"上出部入口","上出部入口　上り","34.592583","133.45409","267_548",,"0",,,,
"267_549",,"上出部入口","上出部入口　下り","34.59329","133.45544","267_549",,"0",,,,
"278_570",,"上御領","上御領　下り","34.56811","133.40384","278_570",,"0",,,,
"278_571",,"上御領","上御領　上り","34.56831","133.40422","278_571",,"0",,,,
"306_502",,"鴨目","鴨目　坪生線上り","34.500057","133.40543","306_502",,"0",,,,
"306_626",,"鴨目","鴨目　下り","34.501118","133.40585","306_626",,"0",,,,
"326_666",,"神辺駅前","神辺駅前　下り","34.537083","133.37991","326_666",,"0",,,,
"326_667",,"神辺駅前","神辺駅前　上り","34.53707","133.37999","326_667",,"0",,,,
"328_672",,"神辺川北","神辺川北　下り","34.539673","133.38258","328_672",,"0",,,,
"328_673",,"神辺川北","神辺川北　上り","34.539787","133.38303","328_673",,"0",,,,
"329_674",,"神辺高校前","神辺高校前　上り","34.541695","133.38576","329_674",,"0",,,,
"329_675",,"神辺高校前","神辺高校前　下り","34.54232","133.38593","329_675",,"0",,,,
"332_680",,"神辺長畠","神辺長畠　上り","34.533962","133.3785","332_680",,"0",,,,
"332_681",,"神辺長畠","神辺長畠　下り","34.534084","133.37854","332_681",,"0",,,,
"333_682",,"神辺古市","神辺古市　上り","34.54501","133.38998","333_682",,"0",,,,
"333_683",,"神辺古市","神辺古市　下り","34.545082","133.38997","333_683",,"0",,,,
"360_742",,"銀山","銀山　上下","34.516937","133.47313","360_742",,"0",,,,
"389_799",,"県立歴史博物館前","県立歴史博物館前","34.489323","133.36015","389_799",,"0",,,,
"390_800",,"小池","小池　上り","34.52221","133.3814","390_800",,"0",,,,
"390_801",,"小池","小池　下り","34.522083","133.38136","390_801",,"0",,,,
"391_802",,"公園前","公園前　上り","34.495518","133.39558","391_802",,"0",,,,
"391_803",,"公園前","公園前　下り","34.49562","133.3958","391_803",,"0",,,,
"393_806",,"鋼管病院","鋼管病院1","34.488094","133.43288","393_806",,"0",,,,
"393_807",,"鋼管病院","鋼管病院2","34.487907","133.43289","393_807",,"0",,,,
"400_820",,"高崎","高崎　下り","34.497654","133.39905","400_820",,"0",,,,
"400_821",,"高崎","高崎　上り","34.497627","133.39926","400_821",,"0",,,,
"416_852",,"国分寺","国分寺　上り","34.562172","133.39635","416_852",,"0",,,,
"416_853",,"国分寺","国分寺　下り","34.562412","133.3965","416_853",,"0",,,,
"420_859",,"古城","古城　下り","34.543762","133.38692","420_859",,"0",,,,
"420_860",,"古城","古城　上り","34.543705","133.387","420_860",,"0",,,,
