"table_name","field_name","field_value","language","translation"
"routes","route_long_name","まわローズ(青ルート）","en","Mawarose"
"routes","route_long_name","まわローズ(青ルート）","ja","まわローズ(青ルート）"
"routes","route_long_name","まわローズ(青ルート）","ja-Hrkt","マワローズアオルート"
"routes","route_long_name","今井循環線","en","Imaijunnkann"
"routes","route_long_name","今井循環線","ja","今井循環線"
"routes","route_long_name","今井循環線","ja-Hrkt","イマイジュンカンセン"
"routes","route_long_name","大門線","en","Daimonsenn"
"routes","route_long_name","大門線","ja","大門線"
"routes","route_long_name","新倉敷～玉島協同病院～寄島線","en","ShinKurashiki~Tamashimakyodobyoin~Yorishima"
"routes","route_long_name","新倉敷～玉島協同病院～寄島線","ja","新倉敷～玉島協同病院～寄島線"
"routes","route_long_name","新倉敷～玉島協同病院～寄島線","ja-Hrkt","シンクラシキタマシマキョウドウビョウインヨリシマセン"
"routes","route_long_name","東部循環線","en","tobujunkann"
"routes","route_long_name","東部循環線","ja","東部循環線"
"routes","route_long_name","東部循環線","ja-Hrkt","トウブジュンカンセン"
"routes","route_long_name","福山～井原線","en","Fukuyama~Ibara"
"routes","route_long_name","福山～井原線","ja","福山～井原線"
"routes","route_long_name","福山～井原線","ja-Hrkt","フクヤマイバラセン"
"routes","route_long_name","福山～千間土手東～東福山駅口～旭ヶ丘団地線","en","Fukuyama~Sengendotehigashi~HigashiFukuyamaeki~Asahigaokadanchi"
"routes","route_long_name","福山～千間土手東～東福山駅口～旭ヶ丘団地線","ja","福山～千間土手東～東福山駅口～旭ヶ丘団地線"
"routes","route_long_name","福山～千間土手東～東福山駅口～旭ヶ丘団地線","ja-Hrkt","フクヤマセンゲンドテヒガシフクヤマエキアサヒガオカセン"
"routes","route_long_name","福山～国道～福山市民病院～中国中央病院線","en","Fukuyama~Kokudou~Fukuyamashiminbyoin~Chugokuchuobyoin"
"routes","route_long_name","福山～国道～福山市民病院～中国中央病院線","ja","福山～国道～福山市民病院～中国中央病院線"
"routes","route_long_name","福山～国道～福山市民病院～中国中央病院線","ja-Hrkt","フクヤマコクドウシミンビョウインチュウゴクチュウオウビョウインセン"
"routes","route_long_name","福山～東深津～伊勢丘～坪生線","en","Fukuyama~Higashifukatsu~Isegaoka~Tsubou"
"routes","route_long_name","福山～東深津～伊勢丘～坪生線","ja","福山～東深津～伊勢丘～坪生線"
"routes","route_long_name","福山～東深津～伊勢丘～坪生線","ja-Hrkt","フクヤマヒガシフカツイセガオカツボウセン"
"routes","route_long_name","福山～福山市民病院～伊勢ヶ丘三丁目線","en","Fukuyama~Fukuyamashiminbyoin~Isegaoka3chome"
"routes","route_long_name","福山～福山市民病院～伊勢ヶ丘三丁目線","ja","福山～福山市民病院～伊勢ヶ丘三丁目線"
"routes","route_long_name","福山～福山市民病院～伊勢ヶ丘三丁目線","ja-Hrkt","フクヤマシミンビョウインセガオカサンチョウメ"
"routes","route_long_name","福山～篠坂線","en","Fukuyama~Shinosaka"
"routes","route_long_name","福山～篠坂線","ja","福山～篠坂線"
"routes","route_long_name","福山～篠坂線","ja-Hrkt","フクヤマシノサカセン"
"routes","route_long_name","笠岡～城見台団地～総合スポーツ公園～笠岡線","en","Kasaoka~Shiromidaidanchi~SougouSportskoen~Kasaoka"
"routes","route_long_name","笠岡～城見台団地～総合スポーツ公園～笠岡線","ja","笠岡～城見台団地～総合スポーツ公園～笠岡線"
"routes","route_long_name","笠岡～城見台団地～総合スポーツ公園～笠岡線","ja-Hrkt","カサオカシロミダイスポーツコウエンカサオカセン"
"routes","route_long_name","笠岡～大井ハイランド～尾坂線","en","Kasaoka~Oi Highland~Osaka"
"routes","route_long_name","笠岡～大井ハイランド～尾坂線","ja","笠岡～大井ハイランド～尾坂線"
"routes","route_long_name","笠岡～大井ハイランド～尾坂線","ja-Hrkt","カサオカオオイハイランドオサカ"
"routes","route_long_name","笠岡～山王口～井原線","en","Kasaoka~Sannoguchi~Ibara"
"routes","route_long_name","笠岡～山王口～井原線","ja","笠岡～山王口～井原線"
"routes","route_long_name","笠岡～山王口～井原線","ja-Hrkt","カサオカカンノウイバラセン"
"routes","route_long_name","笠岡～市民会館～外浦～寺間～笠岡線","en","Kasaoka~Shiminkaikan~Sotoura~Terama~Kasaoka"
"routes","route_long_name","笠岡～市民会館～外浦～寺間～笠岡線","ja","笠岡～市民会館～外浦～寺間～笠岡線"
"routes","route_long_name","笠岡～市民会館～外浦～寺間～笠岡線","ja-Hrkt","カサオカシミンカイカンソトウラテラマセン"
"routes","route_long_name","笠岡～広東線","en","Kasaoka~Hirotou"
"routes","route_long_name","笠岡～広東線","ja","笠岡～広東線"
"routes","route_long_name","笠岡～広東線","ja-Hrkt","カサオカヒロトウセン"
"routes","route_long_name","笠岡～矢掛線","en","Kasaoka~Yakage"
"routes","route_long_name","笠岡～矢掛線","ja","笠岡～矢掛線"
"routes","route_long_name","笠岡～矢掛線","ja-Hrkt","カサオカヤカゲセン"
"routes","route_long_name","笠岡～福山線","en","Kasaoka~Fukuyama"
"routes","route_long_name","笠岡～福山線","ja","笠岡～福山線"
"routes","route_long_name","笠岡～福山線","ja-Hrkt","カサオカフクヤマセン"
"routes","route_long_name","笠岡～竹田～乗時線","en","Kasaoka~Takeda~Noritoki"
"routes","route_long_name","笠岡～竹田～乗時線","ja","笠岡～竹田～乗時線"
"routes","route_long_name","笠岡～竹田～乗時線","ja-Hrkt","カサオカタケダノリトキセン"
"routes","route_long_name","美の浜線","en","Minohama"
"routes","route_long_name","美の浜線","ja","美の浜線"
"routes","route_long_name","美の浜線","ja-Hrkt","ミノハマセン"
"stops","stop_name","くじば","en","Kujiba"
"stops","stop_name","くじば","ja","くじば"
"stops","stop_name","くじば","ja-Hrkt","クジバ"
"stops","stop_name","すこやかセンター前","en","Sukoyakacenter-mae"
"stops","stop_name","すこやかセンター前","ja","すこやかセンター前"
"stops","stop_name","すこやかセンター前","ja-Hrkt","スコヤカセンターマエ"
"stops","stop_name","ぬまくまハーブガーデン前","en","Numakumahabugaden-mae"
"stops","stop_name","ぬまくまハーブガーデン前","ja","ぬまくまハーブガーデン前"
"stops","stop_name","ぬまくまハーブガーデン前","ja-Hrkt","ヌマクマハーブガーデンマエ"
"stops","stop_name","ばら公園前","en","Barakoen-mae"
"stops","stop_name","ばら公園前","ja","ばら公園前"
"stops","stop_name","ばら公園前","ja-Hrkt","バラコウエンマエ"
"stops","stop_name","みろくの里東口","en","Mirokunosatohigashiguchi"
"stops","stop_name","みろくの里東口","ja","みろくの里東口"
