daiya_sid,bin_no,course_sid
f7c3e82a-a747-479e-8168-1dfa744fd0f1,1,ad5e7af1-79a4-479c-8a46-06d248db3518
c2ddd22d-9466-4fd7-87d5-2d506c77b241,1,ad5e7af1-79a4-479c-8a46-06d248db3518
670b86a1-64f4-4b9c-b06e-f87872e00cae,1,ad5e7af1-79a4-479c-8a46-06d248db3518
e3556dfb-15a4-4785-9122-f7ede11dddbe,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
b9c4d462-1cfb-4a17-8147-c576544c2c43,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
bde9da48-dfd4-427f-b72a-da1b4651d750,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
cc04ea86-bd62-4893-a1e6-e062d09638b3,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
e7564752-384e-4f1d-ab6f-1b9b3b630968,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
f16d0d7d-1956-444c-b335-020d9075a529,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
bc2d9df4-933f-490b-b769-02b3eb68bb9b,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
0fe3e847-5071-46a8-a823-0e2ad5a7a81d,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
58a3c517-a72a-4259-9d66-341997c0eee9,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
90594698-4ed0-4a2a-976a-51304fac4a00,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
17e6e16c-0208-49f8-a8d7-531316a9824e,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
a69efb32-e91d-443e-bc4f-53c1ec886392,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
829cd704-35f1-4cd5-b9a1-8ecaf9c9f92b,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
a4a38a2a-0c82-495c-b1ac-614c4f6128ec,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
955a9d16-b071-4348-9141-66d716a65cb5,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
517c3be0-d5ed-480c-b919-6a4267404210,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
5a811f07-23a0-4ae0-b4e3-74f21eed6a33,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
f2839777-4d23-4ef5-bc56-868a339503e1,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
2090fab2-b5ac-4a2a-a5bf-c4563344de4b,11,90962eef-521a-49cf-9376-0bb224e18a34
b8ba595b-c84a-4199-ab5f-d09cffcd5dc0,7,90962eef-521a-49cf-9376-0bb224e18a34
49308abe-6389-4530-a568-e2e904e5e281,5,90962eef-521a-49cf-9376-0bb224e18a34
fea60f09-67f3-4cc9-bd43-dc2b9e9ab74f,11,90962eef-521a-49cf-9376-0bb224e18a34
3a3f2bcb-4874-4147-90a1-de734722e483,1,90962eef-521a-49cf-9376-0bb224e18a34
72458d90-4364-4358-80ae-f65ac6c36571,3,90962eef-521a-49cf-9376-0bb224e18a34
121dd458-26be-46b1-966f-f79d3e5226c9,2,90962eef-521a-49cf-9376-0bb224e18a34
2df02b95-1e6d-4f3c-b9ea-f9a7cfae5436,1,90962eef-521a-49cf-9376-0bb224e18a34
9e8b956e-3a36-4fec-9ba4-2aec426ea0c2,10,90962eef-521a-49cf-9376-0bb224e18a34
49ecdc68-7d9e-4ad7-9a97-2b6b89593562,12,90962eef-521a-49cf-9376-0bb224e18a34
2753ec93-9b70-457f-91c4-1b759655c53d,8,90962eef-521a-49cf-9376-0bb224e18a34
b38d63ea-c12d-4399-8b0f-1bedc0ef455a,8,90962eef-521a-49cf-9376-0bb224e18a34
97c1a67a-a5ae-4902-9ee9-18e5ddb62bd0,6,90962eef-521a-49cf-9376-0bb224e18a34
e6d31036-4549-40f2-a77c-465111cf2c4c,11,90962eef-521a-49cf-9376-0bb224e18a34
80f9b415-b52f-4d0b-af41-46a7cc45666f,9,90962eef-521a-49cf-9376-0bb224e18a34
c212a590-c044-4ee6-b9c9-42a591b69ee1,2,90962eef-521a-49cf-9376-0bb224e18a34
b0192688-d49c-4d0b-9f48-3ce199dbea3d,6,90962eef-521a-49cf-9376-0bb224e18a34
00a6b05d-e036-40be-9cd8-382dd2efe3d6,1,90962eef-521a-49cf-9376-0bb224e18a34
c59d1815-0d6a-4ca1-b0a6-383332365c7c,9,90962eef-521a-49cf-9376-0bb224e18a34
db1c9fe0-16c8-4b60-949d-b193f2c4dc3e,3,90962eef-521a-49cf-9376-0bb224e18a34
0aa90176-4bdb-4af2-aabb-a62f9a1d9de4,13,90962eef-521a-49cf-9376-0bb224e18a34
40cca971-13e5-4db4-9d78-b8e780474589,5,90962eef-521a-49cf-9376-0bb224e18a34
376ac0f7-7e20-4416-982b-be6d374bdba6,10,90962eef-521a-49cf-9376-0bb224e18a34
5717e179-923f-45fa-970a-9c7ba2576c90,7,90962eef-521a-49cf-9376-0bb224e18a34
6a1b2da4-f07e-40cb-8ca3-a3db17d3e013,8,90962eef-521a-49cf-9376-0bb224e18a34
