fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
9000020342025_200_00,200,JPY,0,0,,9000020342025
9000020342025_220_00,220,JPY,0,0,,9000020342025
9000020342025_230_00,230,JPY,0,0,,9000020342025
9000020342025_240_00,240,JPY,0,0,,9000020342025
9000020342025_250_00,250,JPY,0,0,,9000020342025
9000020342025_260_00,260,JPY,0,0,,9000020342025
9000020342025_280_00,280,JPY,0,0,,9000020342025
9000020342025_290_00,290,JPY,0,0,,9000020342025
9000020342025_300_00,300,JPY,0,0,,9000020342025
9000020342025_310_00,310,JPY,0,0,,9000020342025
9000020342025_320_00,320,JPY,0,0,,9000020342025
9000020342025_340_00,340,JPY,0,0,,9000020342025
9000020342025_350_00,350,JPY,0,0,,9000020342025
9000020342025_360_00,360,JPY,0,0,,9000020342025
9000020342025_370_00,370,JPY,0,0,,9000020342025
9000020342025_380_00,380,JPY,0,0,,9000020342025
9000020342025_400_00,400,JPY,0,0,,9000020342025
9000020342025_410_00,410,JPY,0,0,,9000020342025
9000020342025_420_00,420,JPY,0,0,,9000020342025
9000020342025_430_00,430,JPY,0,0,,9000020342025
9000020342025_440_00,440,JPY,0,0,,9000020342025
9000020342025_460_00,460,JPY,0,0,,9000020342025
9000020342025_470_00,470,JPY,0,0,,9000020342025
9000020342025_480_00,480,JPY,0,0,,9000020342025
9000020342025_490_00,490,JPY,0,0,,9000020342025
9000020342025_500_00,500,JPY,0,0,,9000020342025
9000020342025_510_00,510,JPY,0,0,,9000020342025
9000020342025_520_00,520,JPY,0,0,,9000020342025
9000020342025_530_00,530,JPY,0,0,,9000020342025
9000020342025_540_00,540,JPY,0,0,,9000020342025
9000020342025_550_00,550,JPY,0,0,,9000020342025
9000020342025_560_00,560,JPY,0,0,,9000020342025
9000020342025_570_00,570,JPY,0,0,,9000020342025
9000020342025_580_00,580,JPY,0,0,,9000020342025
9000020342025_590_00,590,JPY,0,0,,9000020342025
9000020342025_600_00,600,JPY,0,0,,9000020342025
9000020342025_610_00,610,JPY,0,0,,9000020342025
9000020342025_620_00,620,JPY,0,0,,9000020342025
9000020342025_630_00,630,JPY,0,0,,9000020342025
9000020342025_640_00,640,JPY,0,0,,9000020342025
9000020342025_650_00,650,JPY,0,0,,9000020342025
9000020342025_670_00,670,JPY,0,0,,9000020342025
9000020342025_680_00,680,JPY,0,0,,9000020342025
9000020342025_690_00,690,JPY,0,0,,9000020342025
9000020342025_700_00,700,JPY,0,0,,9000020342025
9000020342025_710_00,710,JPY,0,0,,9000020342025
9000020342025_720_00,720,JPY,0,0,,9000020342025
9000020342025_730_00,730,JPY,0,0,,9000020342025
9000020342025_740_00,740,JPY,0,0,,9000020342025
9000020342025_750_00,750,JPY,0,0,,9000020342025
9000020342025_780_00,780,JPY,0,0,,9000020342025
9000020342025_790_00,790,JPY,0,0,,9000020342025
9000020342025_810_00,810,JPY,0,0,,9000020342025
9000020342025_840_00,840,JPY,0,0,,9000020342025
