fare_id,route_id,origin_id,destination_id,contains_id
9000020342025_200_00,2135097956,80076 1,80075 1,
9000020342025_200_00,2135097956,80021 1,80020 1,
9000020342025_200_00,2135097956,80070 1,80068 1,
9000020342025_200_00,2135097956,80072 1,80071 1,
9000020342025_200_00,2135097956,80077 1,80072 1,
9000020342025_200_00,2135097956,80077 1,80075 1,
9000020342025_200_00,2135097956,80080 3,80076 1,
9000020342025_200_00,2135097956,80080 3,80077 1,
9000020342025_200_00,2720631596,89316 1,89317 1,
9000020342025_200_00,2720631596,89319 1,89320 1,
9000020342025_200_00,2720631596,80056 1,80054 1,
9000020342025_200_00,2720631596,80056 1,80053 1,
9000020342025_200_00,737417297,80191 2,80192 2,
9000020342025_200_00,3641971611,80231 2,89250 1,
9000020342025_200_00,3641971611,80231 2,89264 1,
9000020342025_200_00,3641971611,25520 2,89266 1,
9000020342025_200_00,3641971611,89268 1,89269 1,
9000020342025_200_00,3641971611,89268 1,89267 1,
9000020342025_200_00,3641971611,25530 4,80160 2,
9000020342025_200_00,3641971611,25520 3,89250 1,
9000020342025_200_00,3641971611,89265 1,80160 2,
9000020342025_200_00,3641971611,89265 1,89269 1,
9000020342025_200_00,3641971611,80232 2,89269 1,
9000020342025_200_00,3641971611,89250 3,80160 2,
9000020342025_200_00,3641971611,80163 2,25520 4,
9000020342025_200_00,3641971611,25520 4,80163 2,
9000020342025_200_00,3641971611,89250 1,80231 2,
9000020342025_200_00,3641971611,89250 1,25520 3,
9000020342025_200_00,3641971611,80230 2,89269 1,
9000020342025_200_00,3641971611,80230 2,89262 1,
9000020342025_200_00,3641971611,89267 1,89266 1,
9000020342025_200_00,4038770008,89291 1,89299 1,
9000020342025_200_00,4038770008,89295 1,89299 1,
9000020342025_200_00,4038770008,89295 1,89297 1,
9000020342025_200_00,4038770008,89296 1,25240 1,
9000020342025_200_00,4038770008,89296 1,25230 1,
9000020342025_200_00,4038770008,89287 1,80408 2,
9000020342025_200_00,4038770008,89287 1,89289 1,
9000020342025_200_00,4038770008,80330 1,89296 1,
9000020342025_200_00,4038770008,80330 1,80408 2,
9000020342025_200_00,4038770008,80330 1,89298 1,
9000020342025_200_00,4038770008,89288 1,80408 2,
9000020342025_200_00,4038770008,89288 1,89293 1,
9000020342025_200_00,4038770008,89288 1,89298 1,
9000020342025_200_00,4038770008,89278 1,89288 1,
9000020342025_200_00,4038770008,89278 1,25239 1,
9000020342025_200_00,4038770008,89278 1,89281 1,
9000020342025_200_00,4038770008,89283 1,89285 1,
9000020342025_200_00,4038770008,89283 1,89290 1,
9000020342025_200_00,4038770008,89283 1,89297 1,
9000020342025_200_00,4038770008,89280 1,89287 1,
9000020342025_200_00,4038770008,89280 1,80330 1,
9000020342025_200_00,4038770008,89280 1,25240 1,
9000020342025_200_00,4038770008,89282 1,80407 2,
9000020342025_200_00,4038770008,89282 1,89288 1,
9000020342025_200_00,4038770008,89282 1,89294 1,
9000020342025_200_00,4038770008,89285 1,89295 1,
