station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
f5f4174f-de12-48e4-aedd-976d620edab0,230520fe-b097-42df-934b-0018a56634ee,,,1,呉生活,宇和木,
12b37ef2-a22b-448f-b41f-9ae8e58c63a4,230520fe-b097-42df-934b-0018a56634ee,,,2,呉生活,宇和木,
3a14b620-5a3b-47b9-81ea-58e7e4c8c89e,230520fe-b097-42df-934b-0018a56634ee,,,3,呉生活,宇和木,
0771b25e-6d2c-413e-821f-9a8c620220f4,230520fe-b097-42df-934b-0018a56634ee,,,4,呉生活,宇和木,
9cf4c2b5-8618-440f-9800-312b14bedbb4,230520fe-b097-42df-934b-0018a56634ee,,,5,呉生活,宇和木,
a7ba8b6c-c991-4700-b317-f5e67e414de5,230520fe-b097-42df-934b-0018a56634ee,,,6,呉生活,宇和木,
4f46b7b3-4119-4918-9b0a-021e3793e9f7,230520fe-b097-42df-934b-0018a56634ee,,,7,呉生活,宇和木,
99766748-2de9-4469-88f2-aded065fcd60,230520fe-b097-42df-934b-0018a56634ee,,,8,呉生活,宇和木,
17515fb7-3e74-4aaa-a889-605d4a4751c1,230520fe-b097-42df-934b-0018a56634ee,,,9,呉生活,宇和木,
dc9e4a7a-b7ad-4d46-99c5-853d71ddb7f3,230520fe-b097-42df-934b-0018a56634ee,,,10,呉生活,宇和木,
1c6aa453-8d8f-4e26-ba48-701d5c2e1703,230520fe-b097-42df-934b-0018a56634ee,,,11,呉生活,宇和木,
593b1c22-ec8e-4567-b6ba-cc563d6a5dd2,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,1,呉生活,中国労災病院,広市民センター
a8cb3154-5067-48c6-8517-867cbdbbc2f6,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,2,呉生活,中国労災病院,広市民センター
a64533ee-d25c-4647-94a7-4507f4314c39,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,3,呉生活,中国労災病院,広市民センター
f04bd16d-3b25-413f-9d51-07044361937d,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,4,呉生活,中国労災病院,広市民センター
a5aab3c9-0bcf-4e69-bc2f-ff9b2c922176,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,5,呉生活,中国労災病院,広市民センター
e03473d1-b6e9-4292-a3e2-3d851e107bc7,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,6,呉生活,中国労災病院,広市民センター
b487b424-0b2b-4c49-b48d-afc9157564e7,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,7,呉生活,中国労災病院,広市民センター
f88d7c8f-2c59-4bbc-9259-b1d9efe3d175,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,8,呉生活,中国労災病院,広市民センター
5aa1be7f-67d6-4f2d-84d1-7ed34269807a,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,9,呉生活,中国労災病院,広市民センター
0b689878-1433-4761-b470-de1b79e21511,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,10,呉生活,中国労災病院,広市民センター
483ec5c2-2dab-454a-81cc-eef6cd41b2e4,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,11,呉生活,中国労災病院,広市民センター
0a3fd15b-f152-4f5d-97de-4eadeba9a1a5,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,12,呉生活,中国労災病院,広市民センター
b3699074-6d2b-4bb0-aa85-8b2355f37955,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,13,呉生活,中国労災病院,広市民センター
96a45e22-595a-4cdb-b891-bd8dcd908a8a,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,14,呉生活,中国労災病院,広市民センター
061e8db6-af8a-4bde-a379-341c7acf3f84,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,15,呉生活,中国労災病院,広市民センター
d0a0a987-fb58-40ec-8d72-34ffc72df588,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,16,呉生活,中国労災病院,広市民センター
98d284d0-0d30-463a-88d0-63fb68eac8ef,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,17,呉生活,中国労災病院,広市民センター
2738034e-90bf-4a42-89b6-b252cef4885a,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,18,呉生活,中国労災病院,広市民センター
21874511-c65b-4779-b862-a741f7dd83be,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,19,呉生活,中国労災病院,広市民センター
138ed92e-cf73-4e91-9398-38164f8c9e6d,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,20,呉生活,中国労災病院,広市民センター
d5f9dba6-a6be-4f07-8dee-308a5a3716b9,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,21,呉生活,中国労災病院,広市民センター
aca16c80-7e07-44a2-87a4-11e67d4ddceb,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,22,呉生活,中国労災病院,広市民センター
07eea466-3f4a-4fb5-a8e7-114f892b0e02,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,23,呉生活,中国労災病院,広市民センター
c31894e1-9a8e-4f2e-9993-5346deab6a44,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,24,呉生活,中国労災病院,広市民センター
fbecdfad-e810-4991-9e0a-e9542eb6f6e0,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,25,呉生活,中国労災病院,
ea872d25-2656-44a2-9377-8c6f833f1f72,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,26,呉生活,中国労災病院,
9c6ca834-1be1-4c90-ba7e-202904ebc15c,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,27,呉生活,中国労災病院,
b91abd93-8c23-4e6e-af41-01c558b54ea1,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,28,呉生活,中国労災病院,
e2b5efef-d9ce-4f77-8a6a-872db4ba093c,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,29,呉生活,中国労災病院,
7bd5cc35-b217-40bd-adbb-aaae6a77c962,b7c79aaf-b9bc-44d1-b365-0024422cf6fe,,,30,呉生活,中国労災病院,
563489cd-580b-41d0-8631-f9198e05f1b0,3a267ac7-744c-45c5-95b5-00380e789f3a,,,1,呉生活,鍋桟橋,大入・冠崎
e807b369-b3d7-4a26-9d48-7d80fe1dcb42,3a267ac7-744c-45c5-95b5-00380e789f3a,,,2,呉生活,鍋桟橋,大入・冠崎
7f45cf09-29b7-4967-9cff-5aff7efc1510,3a267ac7-744c-45c5-95b5-00380e789f3a,,,3,呉生活,鍋桟橋,大入・冠崎
7b0c8cbe-8720-41d2-a883-2345f76eb51a,3a267ac7-744c-45c5-95b5-00380e789f3a,,,4,呉生活,鍋桟橋,大入・冠崎
eeae90a5-4bba-4f6e-83fe-691b412010ae,3a267ac7-744c-45c5-95b5-00380e789f3a,,,5,呉生活,鍋桟橋,大入・冠崎
4c3a2c55-cc3e-468f-989d-c0f43283c0be,3a267ac7-744c-45c5-95b5-00380e789f3a,,,6,呉生活,鍋桟橋,大入・冠崎
d02fe274-5715-4292-b032-606e474b984b,3a267ac7-744c-45c5-95b5-00380e789f3a,,,7,呉生活,鍋桟橋,大入・冠崎
d3732b12-dee2-4d11-a476-37081e7c9c59,3a267ac7-744c-45c5-95b5-00380e789f3a,,,8,呉生活,鍋桟橋,大入・冠崎
b40195f7-833a-4097-b676-c1799fbc3cc2,3a267ac7-744c-45c5-95b5-00380e789f3a,,,9,呉生活,鍋桟橋,大入・冠崎
4e780b8c-19b8-49a8-ae43-434e0385c0ca,3a267ac7-744c-45c5-95b5-00380e789f3a,,,10,呉生活,鍋桟橋,大入・冠崎
ff83aeba-aca0-42a3-8c4a-51c9445e595b,3a267ac7-744c-45c5-95b5-00380e789f3a,,,11,呉生活,鍋桟橋,大入・冠崎
8733e673-c04c-40f4-963f-5d721713705e,3a267ac7-744c-45c5-95b5-00380e789f3a,,,12,呉生活,鍋桟橋,
ed020e51-a939-45b2-86b9-b23e73cae515,3a267ac7-744c-45c5-95b5-00380e789f3a,,,13,呉生活,鍋桟橋,
f76b5c73-84c6-443a-986b-3f1a5b913486,3a267ac7-744c-45c5-95b5-00380e789f3a,,,14,呉生活,鍋桟橋,
0e29862d-ec8f-4ef9-8f48-89d2e33baa9f,3a267ac7-744c-45c5-95b5-00380e789f3a,,,15,呉生活,鍋桟橋,
7a9ae9cf-b302-45a9-b6b5-f4ee1cb9b784,3a267ac7-744c-45c5-95b5-00380e789f3a,,,16,呉生活,鍋桟橋,
726b93e1-1c51-47a1-808b-178d97f22127,3a267ac7-744c-45c5-95b5-00380e789f3a,,,17,呉生活,鍋桟橋,
cdca2fb8-2394-47d3-8b62-7a159d125b11,3a267ac7-744c-45c5-95b5-00380e789f3a,,,18,呉生活,鍋桟橋,
f5c04f4b-6c79-4590-8501-806b934b4041,3a267ac7-744c-45c5-95b5-00380e789f3a,,,19,呉生活,鍋桟橋,
6d8135da-67c4-4d6b-9f2a-f1bcaaa28eb0,3a267ac7-744c-45c5-95b5-00380e789f3a,,,20,呉生活,鍋桟橋,
8e31b5d0-4bba-4cab-a8cb-f6ca12115aa0,3a267ac7-744c-45c5-95b5-00380e789f3a,,,21,呉生活,鍋桟橋,
42ff9b38-173e-4196-b73e-495502d09d38,3a267ac7-744c-45c5-95b5-00380e789f3a,,,22,呉生活,鍋桟橋,
641e1384-3d0b-4e93-a35c-8c73d6adca5a,3a267ac7-744c-45c5-95b5-00380e789f3a,,,23,呉生活,鍋桟橋,
a4a69568-e213-426b-8b25-638e42fe9e21,3a267ac7-744c-45c5-95b5-00380e789f3a,,,24,呉生活,鍋桟橋,
093f32b4-6e10-40c2-bc11-73556fcd7da7,3a267ac7-744c-45c5-95b5-00380e789f3a,,,25,呉生活,鍋桟橋,
4f22084d-b187-4a2c-ae99-b00042e597c9,3a267ac7-744c-45c5-95b5-00380e789f3a,,,26,呉生活,鍋桟橋,
1e75a205-9fbc-43fd-8252-d8936ff73687,3a267ac7-744c-45c5-95b5-00380e789f3a,,,27,呉生活,鍋桟橋,
a6d9cf08-67f8-4fad-b458-f033096b842e,3a267ac7-744c-45c5-95b5-00380e789f3a,,,28,呉生活,鍋桟橋,
4f37a681-f94e-4a68-bfa9-35de13c13e0e,3a267ac7-744c-45c5-95b5-00380e789f3a,,,29,呉生活,鍋桟橋,
f91c5acd-b99f-404a-bc60-a47e75662a06,3a267ac7-744c-45c5-95b5-00380e789f3a,,,30,呉生活,鍋桟橋,
1e56861d-69a5-4591-90ae-fd5106394fbf,3a267ac7-744c-45c5-95b5-00380e789f3a,,,31,呉生活,鍋桟橋,
7bd5cc35-b217-40bd-adbb-aaae6a77c962,75114142-b582-40fd-9a02-003cad9ec3f6,,,1,呉生活,東小坪,広交叉点・長浜
ab1a6794-22a2-4e62-b8b1-3bee3695cb21,75114142-b582-40fd-9a02-003cad9ec3f6,,,2,呉生活,東小坪,広交叉点・長浜
313cfaca-4e59-45d5-a297-16f70a54be35,75114142-b582-40fd-9a02-003cad9ec3f6,,,3,呉生活,東小坪,広交叉点・長浜
ea872d25-2656-44a2-9377-8c6f833f1f72,75114142-b582-40fd-9a02-003cad9ec3f6,,,4,呉生活,東小坪,広交叉点・長浜
9c6ca834-1be1-4c90-ba7e-202904ebc15c,75114142-b582-40fd-9a02-003cad9ec3f6,,,5,呉生活,東小坪,広交叉点・長浜
b91abd93-8c23-4e6e-af41-01c558b54ea1,75114142-b582-40fd-9a02-003cad9ec3f6,,,6,呉生活,東小坪,広交叉点・長浜
74dca31a-6235-42e2-8f92-60bf4e610017,75114142-b582-40fd-9a02-003cad9ec3f6,,,7,呉生活,東小坪,広交叉点・長浜
c6f657d8-f352-4c04-bb6a-815fcaecd51f,75114142-b582-40fd-9a02-003cad9ec3f6,,,8,呉生活,東小坪,
adb956ff-c5b7-4193-a0fc-54170ab35b48,75114142-b582-40fd-9a02-003cad9ec3f6,,,9,呉生活,東小坪,
752940a7-54d8-4c1f-82aa-1f9f1e4bc521,75114142-b582-40fd-9a02-003cad9ec3f6,,,10,呉生活,東小坪,
4869e5ca-2836-4b44-b02a-711d037f2fa4,75114142-b582-40fd-9a02-003cad9ec3f6,,,11,呉生活,東小坪,
96eb4b3c-8e11-44e1-9540-7b9bd2e7f961,75114142-b582-40fd-9a02-003cad9ec3f6,,,12,呉生活,東小坪,
e13d2633-70f3-4bdd-b19f-fb96d125b0bc,75114142-b582-40fd-9a02-003cad9ec3f6,,,13,呉生活,東小坪,
8975448b-9ce6-4499-858f-9c0a170127d8,75114142-b582-40fd-9a02-003cad9ec3f6,,,14,呉生活,東小坪,
ef1b0d2a-2639-4fb2-b9aa-3c72401c46f1,75114142-b582-40fd-9a02-003cad9ec3f6,,,15,呉生活,東小坪,
0d4a8da1-bef8-48d5-a5e6-67579dd24028,75114142-b582-40fd-9a02-003cad9ec3f6,,,16,呉生活,東小坪,
0c1cb26d-0053-47e2-903e-dc6dbf25a942,75114142-b582-40fd-9a02-003cad9ec3f6,,,17,呉生活,東小坪,
