stop_id,direction
21890 2,矢野駅方面
21900 2,矢野駅方面
21910 2,矢野駅方面
21920 1,矢野駅方面
21920 2,呉駅方面
25190 1,呉駅方面
25190 2,熊野方面
25200 1,呉駅方面
25200 2,熊野方面
25210 1,呉駅方面
25210 2,熊野方面
25220 1,呉駅方面
25220 2,熊野方面
25230 1,呉駅方面
25230 2,熊野方面
25239 1,呉駅方面
25239 2,苗代方面
25240 1,呉駅方面
25241 1,熊野方面
25370 2,昭和循環線（北コース）
25380 2,昭和循環線（中央コース）
25380 3,昭和循環線（北コース）
25390 1,呉駅方面
25390 2,苗代方面
25390 3,昭和循環線（北コース）
25390 4,昭和循環線（中央コース）
25440 1,呉駅方面
25440 3,平原方面
25480 1,呉駅方面
25480 3,音戸方面　ロータリー
25480 4,
25510 2,広方面
25520 1,呉駅方面
25520 2,広・郷原・仁方・川尻・東小坪方面
25520 3,東小坪・川尻方面
25520 4,中国労災病院方面
25530 1,呉駅方面（仁方方面から）
25530 2,仁方方面
25530 4,郷原方面
25530 5,呉駅方面（長浜方面から）
25530 6,長浜方面
25540 1,呉駅方面
25540 2,仁方方面
25550 1,呉駅方面
25550 2,仁方方面
25550 3,白石白岳交叉点循環線（右回り）
5440 11,
5440 12,
5440 2,2番のりば 3・4号宮原方面 31号辰川方面
80006 1,呉駅方面
80006 2,警固屋方面
80007 1,呉駅方面
80019 1,呉駅・倉橋島方面
80019 2,
80020 1,呉駅方面
80020 2,倉橋島方面
80021 1,呉駅方面
80021 2,倉橋島方面
80022 1,呉駅方面
80022 2,倉橋島方面
80023 1,呉駅方面
80023 2,倉橋島方面
80024 1,呉駅方面
80024 2,倉橋島方面
80025 1,呉駅方面
80025 2,倉橋島方面
80026 1,呉駅方面
80026 2,倉橋島方面
80027 1,呉駅方面
80027 2,倉橋島方面
80028 1,呉駅方面
80028 2,倉橋島方面
80028 3,早瀬方面
80029 1,呉駅方面
80029 2,倉橋島方面
80030 1,呉駅方面
80030 2,倉橋島方面
80031 1,呉駅方面
80031 2,倉橋島方面
80032 1,呉駅方面
80032 2,倉橋島方面
80033 1,呉駅方面
80033 2,倉橋島方面
80034 1,呉駅方面
80034 2,倉橋島方面
80035 1,呉駅方面
80035 2,倉橋島方面
80036 1,呉駅方面
80036 2,倉橋島方面
80037 1,呉駅方面
80037 2,倉橋島方面
80038 1,呉駅方面
80038 2,倉橋島方面
80039 1,呉駅方面
80039 2,倉橋島方面
80040 1,呉駅方面
80040 2,倉橋島方面
80041 1,呉駅方面
80041 2,倉橋島方面
80042 1,呉駅方面
80042 2,倉橋島方面
80043 1,呉駅方面
80043 2,倉橋島方面
80044 1,呉駅方面
80044 2,倉橋島方面
80045 1,呉駅方面
80045 2,倉橋島方面
80046 1,呉駅方面
80046 2,倉橋島方面
80047 1,呉駅方面
80047 2,倉橋島方面
80048 1,呉駅方面
80048 2,倉橋島方面
80049 1,呉駅方面
80049 2,倉橋島方面
80050 1,呉駅方面
80050 2,倉橋島方面
80053 1,呉駅方面
80053 2,倉橋島方面
80054 1,呉駅方面
80054 2,倉橋島方面
80055 1,呉駅方面
80055 2,倉橋島方面
80056 1,呉駅方面
80056 2,大迫・宮ノ口方面
80063 1,呉駅方面
80063 2,倉橋島方面
80064 1,呉駅方面
80064 2,倉橋島方面
80065 1,呉駅方面
80066 1,呉駅方面
80066 2,倉橋島方面
80067 1,呉駅方面
80067 2,倉橋島方面
80068 1,呉駅方面
80068 2,倉橋島方面
80069 1,呉駅方面
80069 2,倉橋島方面
80070 1,呉駅方面
80070 2,倉橋島方面
80071 1,呉駅方面
80071 2,倉橋島方面
80072 1,呉駅方面
80072 2,倉橋島方面
80073 1,呉駅方面
80073 2,倉橋島方面
80074 1,呉駅方面
80074 2,倉橋島方面
80075 1,呉駅方面
80075 2,倉橋島方面
80076 1,呉駅方面
80076 2,倉橋島方面
80077 1,呉駅方面
80077 2,倉橋島方面
80078 1,呉駅方面
80078 2,倉橋島方面
80079 1,呉駅方面
80079 2,倉橋島方面
80080 1,呉駅方面
80080 2,倉橋島方面
80080 3,呉駅方面
80081 1,呉駅方面
80081 2,倉橋島方面
80082 1,呉駅方面
80082 2,倉橋島方面
80083 1,呉駅方面
80083 2,倉橋島方面
80084 1,呉駅方面
80084 2,倉橋島方面
80085 1,呉駅方面
80085 2,倉橋島方面
80086 3,呉駅方面
80087 1,呉駅方面
80087 2,阿賀方面
80088 1,呉駅方面
80088 2,阿賀方面
80089 1,呉駅方面
80089 2,阿賀方面
80090 1,呉駅方面
80090 2,阿賀方面
80091 1,呉駅方面
80091 2,阿賀方面
80092 1,呉駅方面
80092 2,阿賀方面
80093 1,呉駅方面
80093 2,阿賀方面
80094 1,呉駅方面
80094 2,阿賀方面
80095 1,呉駅方面
80095 2,阿賀方面
80096 1,呉駅方面
80096 2,阿賀方面
80097 1,呉駅方面
80097 2,阿賀方面
80098 1,呉駅方面
80098 2,阿賀方面
80099 1,呉駅方面
80099 2,阿賀方面
80100 1,呉駅方面
80100 2,阿賀方面
80101 1,呉駅方面
80101 2,阿賀方面
80102 1,呉駅方面
80102 2,阿賀方面
80103 1,呉駅方面
80103 2,阿賀方面
