station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
bc22d986-f190-41b0-aca6-6c4512f721a8,2189002@HiroshimaArea,,3,,矢野駅方面,夢ヶ丘入口@HiroshimaArea
068a16a6-6c7b-491f-be6b-c6e14adc1bad,2190002@HiroshimaArea,,3,,矢野駅方面,夢ヶ丘中@HiroshimaArea
3136e629-db0d-4fca-ba5a-4aa3c2abc800,2191002@HiroshimaArea,,3,,矢野駅方面,夢ヶ丘東@HiroshimaArea
176962a0-53aa-4e3e-aa34-a0532a8e1950,2192001@HiroshimaArea,,3,,矢野駅方面,東明ハイツ入口@HiroshimaArea
48cdf3f5-ba91-4cbf-b8a3-f57025ce6fe4,2192002@HiroshimaArea,,3,,呉駅方面,東明ハイツ入口@HiroshimaArea
7749f475-87ef-41e9-a34e-8060f3564821,2519001@HiroshimaArea,,3,,呉駅方面,東明ハイツ@HiroshimaArea
df5e90d9-2d37-4caf-a05b-d67802ed6ec3,2519002@HiroshimaArea,,3,,熊野方面,東明ハイツ@HiroshimaArea
8d8b7a9b-b024-42bc-af47-74654b822dea,2520001@HiroshimaArea,,3,,呉駅方面,本庄@HiroshimaArea
b42e621b-fe20-4228-8f9b-5c0fd7d87b46,2520002@HiroshimaArea,,3,,熊野方面,本庄@HiroshimaArea
bddeed69-5f12-4a10-87bf-db4babc8806d,2521001@HiroshimaArea,,3,,呉駅方面,泉ヶ丘団地@HiroshimaArea
45d8d55a-83bf-4787-997d-01dc8f450ccd,2521002@HiroshimaArea,,3,,熊野方面,泉ヶ丘団地@HiroshimaArea
321f522e-be3a-448e-a236-d1a8043e3688,2522001@HiroshimaArea,,3,,呉駅方面,水源池前@HiroshimaArea
04ab95d5-606f-4df9-adb6-be122942c41c,2522002@HiroshimaArea,,3,,熊野方面,水源池前@HiroshimaArea
6587cef7-6d91-4e85-95f2-f751cdfa4cb8,2523001@HiroshimaArea,,3,,呉駅方面,北原@HiroshimaArea
0a6cab06-87e1-4883-acb3-97334fb1c69b,2523002@HiroshimaArea,,3,,熊野方面,北原@HiroshimaArea
5d4c7711-35cd-4c2a-88d2-a83662d72050,2523901@HiroshimaArea,,3,,呉駅方面,昭和市民センター前@HiroshimaArea
c9e6cc0a-540d-4f6c-b1a8-ea5555823cb9,2523902@HiroshimaArea,,3,,苗代方面,昭和市民センター前@HiroshimaArea
f672bf48-b24e-4224-bd64-87088646851a,2524001@HiroshimaArea,,3,,呉駅方面,昭和市民センター@HiroshimaArea
58d65c26-9d54-4e61-8570-176fa63df3a4,2524101@HiroshimaArea,,3,,熊野方面,昭和市民センター西@HiroshimaArea
218b7e74-cfda-4ad4-8562-d4446baec3c8,2537002@HiroshimaArea,,3,,昭和循環線（北コース）,上條橋東@HiroshimaArea
