trans_id,lang,translation
呉市,ja,呉市
呉市,ja-Hrkt,クレシ
呉市,en,Kure City
夢ヶ丘入口,ja,夢ヶ丘入口
夢ヶ丘入口,ja-Hrkt,ゆめがおかいりぐち
夢ヶ丘入口,en,Yumegaoka-iriguchi
夢ヶ丘入口,ko,유메가오카 이리구치
夢ヶ丘入口,zh-cn,梦丘入口
夢ヶ丘入口,zh-tw,夢丘入口
夢ヶ丘中,ja,夢ヶ丘中
夢ヶ丘中,ja-Hrkt,ゆめがおかなか
夢ヶ丘中,en,Yumegaoka-naka
夢ヶ丘中,ko,유메가오카 나카
夢ヶ丘中,zh-cn,梦丘中
夢ヶ丘中,zh-tw,夢丘中
夢ヶ丘東,ja,夢ヶ丘東
夢ヶ丘東,ja-Hrkt,ゆめがおかひがし
夢ヶ丘東,en,Yumegaoka-higashi
夢ヶ丘東,ko,유메가오카 히가시
夢ヶ丘東,zh-cn,梦丘东
夢ヶ丘東,zh-tw,夢丘東
東明ハイツ入口,ja,東明ハイツ入口
東明ハイツ入口,ja-Hrkt,とうめいはいついりぐち
東明ハイツ入口,en,Tomei Heights-iriguchi
東明ハイツ入口,ko,도메이 하이츠 이리구치
東明ハイツ入口,zh-cn,东明公寓入口
東明ハイツ入口,zh-tw,東明公寓入口
東明ハイツ,ja,東明ハイツ
東明ハイツ,ja-Hrkt,とうめいはいつ
東明ハイツ,en,Tomei Heights
東明ハイツ,ko,도메이 하이츠
東明ハイツ,zh-cn,东明公寓
東明ハイツ,zh-tw,東明公寓
本庄,ja,本庄
本庄,ja-Hrkt,ほんじょう
本庄,en,Honjo
本庄,ko,혼조
本庄,zh-cn,本庄
本庄,zh-tw,本莊
泉ヶ丘団地,ja,泉ヶ丘団地
泉ヶ丘団地,ja-Hrkt,いずみがおかだんち
泉ヶ丘団地,en,Izumigaoka Danchi
泉ヶ丘団地,ko,이즈미가오카 단지
泉ヶ丘団地,zh-cn,泉丘团地
泉ヶ丘団地,zh-tw,泉丘團地
水源池前,ja,水源池前
水源池前,ja-Hrkt,すいげんちまえ
水源池前,en,Suigenchi-mae
水源池前,ko,스이겐치 마에
水源池前,zh-cn,水源池前
水源池前,zh-tw,水源池前
北原,ja,北原
北原,ja-Hrkt,きたはら
北原,en,Kitahara
北原,ko,기타하라
北原,zh-cn,北原
北原,zh-tw,北原
昭和市民センター前,ja,昭和市民センター前
昭和市民センター前,ja-Hrkt,しょうわしみんせんたーまえ
昭和市民センター前,en,Showa Shimin Center-mae
昭和市民センター前,ko,쇼와 시민센터
昭和市民センター前,zh-cn,昭和市民中心前
昭和市民センター前,zh-tw,昭和市民中心前
昭和市民センター,ja,昭和市民センター
昭和市民センター,ja-Hrkt,しょうわしみんせんたー
昭和市民センター,en,Showa Shimin Center (Showa Citizen Center)
昭和市民センター,ko,쇼와 시민센터
昭和市民センター,zh-cn,昭和市民中心
昭和市民センター,zh-tw,昭和市民中心
昭和市民センター西,ja,昭和市民センター西
昭和市民センター西,ja-Hrkt,しょうわしみんせんたーにし
昭和市民センター西,en,Showa Shimin Center-nishi
昭和市民センター西,ko,쇼와 시민센터 서쪽
昭和市民センター西,zh-cn,昭和市民中心西
昭和市民センター西,zh-tw,昭和市民中心西
上條橋東,ja,上條橋東
上條橋東,ja-Hrkt,かみじょうばしひがし
勤住橋,ja,勤住橋
勤住橋,ja-Hrkt,きんじゅうばし
仲間ヶ原,ja,仲間ヶ原
仲間ヶ原,ja-Hrkt,なかまがはら
仲間ヶ原,en,Nakamagahara
仲間ヶ原,ko,나카마가하라
仲間ヶ原,zh-cn,仲间原
仲間ヶ原,zh-tw,仲間原
西畑,ja,西畑
西畑,ja-Hrkt,にしはた
西畑,en,Nishihata
西畑,ko,니시하타
西畑,zh-cn,西畑
西畑,zh-tw,西畑
阿賀駅前,ja,阿賀駅前
阿賀駅前,ja-Hrkt,あがえきまえ
阿賀駅前,en,Aga Sta.
阿賀駅前,ko,아가 역
阿賀駅前,zh-cn,阿贺站前
阿賀駅前,zh-tw,阿賀站前
先小倉,ja,先小倉
先小倉,ja-Hrkt,さきおぐら
先小倉,en,Sakiogura
先小倉,ko,사키오구라
先小倉,zh-cn,先小仓
先小倉,zh-tw,先小倉
広市民センター,ja,広市民センター
広市民センター,ja-Hrkt,ひろしみんせんたー
広市民センター,en,Hiro Shimin Center (Hiro Citizen Center)
広市民センター,ko,히로 시민센터
広市民センター,zh-cn,广市民中心
広市民センター,zh-tw,廣市民中心
広交叉点,ja,広交叉点
広交叉点,ja-Hrkt,ひろこうさてん
広交叉点,en,Hiro Kosaten
広交叉点,ko,히로 코사텐
広交叉点,zh-cn,广交叉点
広交叉点,zh-tw,廣交叉點
広駅前,ja,広駅前
広駅前,ja-Hrkt,ひろえきまえ
広駅前,en,Hiro Sta.
広駅前,ko,히로 역
広駅前,zh-cn,广站前
広駅前,zh-tw,廣站前
東のりば,ja,東のりば
東のりば,ja-Hrkt,ひがしのりば
東のりば,en,Higashi Noriba
東のりば,ko,히가시 노리바
東のりば,zh-cn,东站台
東のりば,zh-tw,東站臺
呉駅前,ja,呉駅前
呉駅前,ja-Hrkt,くれえきまえ
呉駅前,en,Kure Sta.
