trans_id,lang,translation,category,station_sid,course_sid
呉市,ja,呉市,agency_name,,
呉市,ja-Hrkt,クレシ,agency_name,,
呉市,en,Kure City,agency_name,,
夢ヶ丘入口,ja,夢ヶ丘入口,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘入口,ja-Hrkt,ゆめがおかいりぐち,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘入口,en,Yumegaoka-iriguchi,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘入口,ko,유메가오카 이리구치,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘入口,zh-cn,梦丘入口,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘入口,zh-tw,夢丘入口,stop_name,bc22d986-f190-41b0-aca6-6c4512f721a8,
夢ヶ丘中,ja,夢ヶ丘中,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘中,ja-Hrkt,ゆめがおかなか,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘中,en,Yumegaoka-naka,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘中,ko,유메가오카 나카,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘中,zh-cn,梦丘中,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘中,zh-tw,夢丘中,stop_name,068a16a6-6c7b-491f-be6b-c6e14adc1bad,
夢ヶ丘東,ja,夢ヶ丘東,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
夢ヶ丘東,ja-Hrkt,ゆめがおかひがし,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
夢ヶ丘東,en,Yumegaoka-higashi,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
夢ヶ丘東,ko,유메가오카 히가시,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
夢ヶ丘東,zh-cn,梦丘东,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
夢ヶ丘東,zh-tw,夢丘東,stop_name,3136e629-db0d-4fca-ba5a-4aa3c2abc800,
東明ハイツ入口,ja,東明ハイツ入口,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ入口,ja-Hrkt,とうめいはいついりぐち,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ入口,en,Tomei Heights-iriguchi,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ入口,ko,도메이 하이츠 이리구치,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ入口,zh-cn,东明公寓入口,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ入口,zh-tw,東明公寓入口,stop_name,176962a0-53aa-4e3e-aa34-a0532a8e1950,
東明ハイツ,ja,東明ハイツ,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
東明ハイツ,ja-Hrkt,とうめいはいつ,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
東明ハイツ,en,Tomei Heights,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
東明ハイツ,ko,도메이 하이츠,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
東明ハイツ,zh-cn,东明公寓,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
東明ハイツ,zh-tw,東明公寓,stop_name,7749f475-87ef-41e9-a34e-8060f3564821,
本庄,ja,本庄,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
本庄,ja-Hrkt,ほんじょう,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
本庄,en,Honjo,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
本庄,ko,혼조,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
本庄,zh-cn,本庄,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
本庄,zh-tw,本莊,stop_name,8d8b7a9b-b024-42bc-af47-74654b822dea,
泉ヶ丘団地,ja,泉ヶ丘団地,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
泉ヶ丘団地,ja-Hrkt,いずみがおかだんち,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
泉ヶ丘団地,en,Izumigaoka Danchi,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
泉ヶ丘団地,ko,이즈미가오카 단지,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
泉ヶ丘団地,zh-cn,泉丘团地,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
泉ヶ丘団地,zh-tw,泉丘團地,stop_name,bddeed69-5f12-4a10-87bf-db4babc8806d,
水源池前,ja,水源池前,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
水源池前,ja-Hrkt,すいげんちまえ,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
水源池前,en,Suigenchi-mae,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
水源池前,ko,스이겐치 마에,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
水源池前,zh-cn,水源池前,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
水源池前,zh-tw,水源池前,stop_name,321f522e-be3a-448e-a236-d1a8043e3688,
北原,ja,北原,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
北原,ja-Hrkt,きたはら,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
北原,en,Kitahara,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
北原,ko,기타하라,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
北原,zh-cn,北原,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
北原,zh-tw,北原,stop_name,6587cef7-6d91-4e85-95f2-f751cdfa4cb8,
昭和市民センター前,ja,昭和市民センター前,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター前,ja-Hrkt,しょうわしみんせんたーまえ,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター前,en,Showa Shimin Center-mae,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター前,ko,쇼와 시민센터,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター前,zh-cn,昭和市民中心前,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター前,zh-tw,昭和市民中心前,stop_name,5d4c7711-35cd-4c2a-88d2-a83662d72050,
昭和市民センター,ja,昭和市民センター,stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター,ja-Hrkt,しょうわしみんせんたー,stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター,en,Showa Shimin Center (Showa Citizen Center),stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター,ko,쇼와 시민센터,stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター,zh-cn,昭和市民中心,stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター,zh-tw,昭和市民中心,stop_name,f672bf48-b24e-4224-bd64-87088646851a,
昭和市民センター西,ja,昭和市民センター西,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,ja-Hrkt,しょうわしみんせんたーにし,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,en,Showa Shimin Center-nishi,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,ko,쇼와 시민센터 서쪽,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,zh-cn,昭和市民中心西,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,zh-tw,昭和市民中心西,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
上條橋東,ja,上條橋東,stop_name,218b7e74-cfda-4ad4-8562-d4446baec3c8,
上條橋東,ja-Hrkt,かみじょうばしひがし,stop_name,218b7e74-cfda-4ad4-8562-d4446baec3c8,
勤住橋,ja,勤住橋,stop_name,623486f0-c67d-4b34-b8f6-99c53575b6ef,
勤住橋,ja-Hrkt,きんじゅうばし,stop_name,623486f0-c67d-4b34-b8f6-99c53575b6ef,
仲間ヶ原,ja,仲間ヶ原,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
仲間ヶ原,ja-Hrkt,なかまがはら,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
仲間ヶ原,en,Nakamagahara,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
仲間ヶ原,ko,나카마가하라,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
仲間ヶ原,zh-cn,仲间原,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
仲間ヶ原,zh-tw,仲間原,stop_name,8cb31add-00a9-4f92-b97d-3ac8c5bf04c0,
西畑,ja,西畑,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
西畑,ja-Hrkt,にしはた,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
西畑,en,Nishihata,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
西畑,ko,니시하타,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
西畑,zh-cn,西畑,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
西畑,zh-tw,西畑,stop_name,ed27c3b8-a111-4c4b-a743-08dee70c7bd9,
阿賀駅前,ja,阿賀駅前,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
阿賀駅前,ja-Hrkt,あがえきまえ,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
阿賀駅前,en,Aga Sta.,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
阿賀駅前,ko,아가 역,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
阿賀駅前,zh-cn,阿贺站前,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
阿賀駅前,zh-tw,阿賀站前,stop_name,e807b369-b3d7-4a26-9d48-7d80fe1dcb42,
先小倉,ja,先小倉,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
先小倉,ja-Hrkt,さきおぐら,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
先小倉,en,Sakiogura,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
先小倉,ko,사키오구라,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
先小倉,zh-cn,先小仓,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
先小倉,zh-tw,先小倉,stop_name,8e357809-1800-4b95-8973-0cfa08132ed2,
広市民センター,ja,広市民センター,stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広市民センター,ja-Hrkt,ひろしみんせんたー,stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広市民センター,en,Hiro Shimin Center (Hiro Citizen Center),stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広市民センター,ko,히로 시민센터,stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広市民センター,zh-cn,广市民中心,stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広市民センター,zh-tw,廣市民中心,stop_name,ea872d25-2656-44a2-9377-8c6f833f1f72,
広交叉点,ja,広交叉点,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広交叉点,ja-Hrkt,ひろこうさてん,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広交叉点,en,Hiro Kosaten,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広交叉点,ko,히로 코사텐,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広交叉点,zh-cn,广交叉点,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広交叉点,zh-tw,廣交叉點,stop_name,c31894e1-9a8e-4f2e-9993-5346deab6a44,
広駅前,ja,広駅前,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
広駅前,ja-Hrkt,ひろえきまえ,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
広駅前,en,Hiro Sta.,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
広駅前,ko,히로 역,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
広駅前,zh-cn,广站前,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
広駅前,zh-tw,廣站前,stop_name,aca16c80-7e07-44a2-87a4-11e67d4ddceb,
東のりば,ja,東のりば,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
東のりば,ja-Hrkt,ひがしのりば,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
東のりば,en,Higashi Noriba,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
東のりば,ko,히가시 노리바,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
東のりば,zh-cn,东站台,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
東のりば,zh-tw,東站臺,stop_name,138ed92e-cf73-4e91-9398-38164f8c9e6d,
呉駅前,ja,呉駅前,stop_name,6492a9c4-748a-4db1-aa15-63cadbc92473,
呉駅前,ja-Hrkt,くれえきまえ,stop_name,6492a9c4-748a-4db1-aa15-63cadbc92473,
