daiya_sid,bin_no,course_sid
38b87c19-b051-40e6-afcc-079cfcce5d2d,4,1e11cdc0-54b0-465b-b20e-0076542ffea0
4b766fd1-1457-4735-ae96-0a77dd3d077c,1,1e11cdc0-54b0-465b-b20e-0076542ffea0
29937a0b-eecc-4c82-b992-47db7bf63019,3,1e11cdc0-54b0-465b-b20e-0076542ffea0
7456f6e4-975d-4fec-933c-838b388d5f3f,1,1e11cdc0-54b0-465b-b20e-0076542ffea0
f53ae8e4-ac5f-4d8d-9aca-8ad3d81113a2,2,1e11cdc0-54b0-465b-b20e-0076542ffea0
e4d40f84-f2a2-4a11-b9da-8cb5bedcb298,4,1e11cdc0-54b0-465b-b20e-0076542ffea0
93d85b2e-a261-4d1d-9d59-92a5baa396ac,3,1e11cdc0-54b0-465b-b20e-0076542ffea0
2c312599-b268-4e7a-9ba6-a7e9ff56f9a5,2,1e11cdc0-54b0-465b-b20e-0076542ffea0
de326df4-8884-48c1-a3f6-b1458a45776e,1,1e11cdc0-54b0-465b-b20e-0076542ffea0
a20ba5fd-2831-47cf-811f-def4f83e2b04,3,1e11cdc0-54b0-465b-b20e-0076542ffea0
69b28fb6-64fd-44cf-8bb1-e2c0060008d7,2,1e11cdc0-54b0-465b-b20e-0076542ffea0
98bb2675-fc3a-4b0a-8f96-6271806e971b,1,832d25f5-c87c-40b0-b76f-08148dd82fea
021fae5c-f7b6-481a-83ff-aba1ac6c48fa,2,832d25f5-c87c-40b0-b76f-08148dd82fea
dad4c542-13e7-4d0e-bff8-83a2a1ef29f9,3,2249e0e7-aaca-4cb3-bfc1-082280475dc6
000e0ef4-6210-4297-b9ec-a9e32e78ae33,2,2249e0e7-aaca-4cb3-bfc1-082280475dc6
e10d811a-3d12-499d-9bef-d8cd641b6db4,4,2249e0e7-aaca-4cb3-bfc1-082280475dc6
6b1e1f7e-6132-4427-be36-daa5ee89e862,5,2249e0e7-aaca-4cb3-bfc1-082280475dc6
34f4852f-d6fa-440f-b8b8-e68a54174522,1,2249e0e7-aaca-4cb3-bfc1-082280475dc6
5e206ab2-0874-499e-9775-0b19419e381b,4,8e8bc8c9-c702-429f-8052-09a2f50602a2
fc78f3cf-17bc-4e09-a569-101d6bcb7542,6,8e8bc8c9-c702-429f-8052-09a2f50602a2
7c71d557-04d8-4424-bef1-169a06dd0a7d,8,8e8bc8c9-c702-429f-8052-09a2f50602a2
cb43ba99-d6d5-4d0f-85df-277470a89a89,4,8e8bc8c9-c702-429f-8052-09a2f50602a2
272bae99-2110-46c6-8d4c-3872b226ad38,2,8e8bc8c9-c702-429f-8052-09a2f50602a2
db4f11a7-098b-4e91-883d-3f10204bcd40,1,8e8bc8c9-c702-429f-8052-09a2f50602a2
3a5dbf00-3713-481c-8509-d3b2ca2b18d7,5,8e8bc8c9-c702-429f-8052-09a2f50602a2
66a4c214-3e23-4dc3-9612-d51302c4e22d,7,8e8bc8c9-c702-429f-8052-09a2f50602a2
06d0fdf9-4d8a-420e-bc0e-d97310c78b6b,5,8e8bc8c9-c702-429f-8052-09a2f50602a2
757c350b-f6e3-4ea1-9975-e74a18cb140d,11,8e8bc8c9-c702-429f-8052-09a2f50602a2
fa27623c-f6b2-44ce-8cb5-f5626c97aa92,3,8e8bc8c9-c702-429f-8052-09a2f50602a2
8b92bcd3-a3fb-42fd-8b3f-f757e180a78b,3,8e8bc8c9-c702-429f-8052-09a2f50602a2
