fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
1240001039244_150_00,150,JPY,0,0,,1240001039244
1240001039244_160_00,160,JPY,0,0,,1240001039244
1240001039244_170_00,170,JPY,0,0,,1240001039244
1240001039244_180_00,180,JPY,0,0,,1240001039244
1240001039244_190_00,190,JPY,0,0,,1240001039244
1240001039244_200_00,200,JPY,0,0,,1240001039244
1240001039244_210_00,210,JPY,0,0,,1240001039244
1240001039244_220_00,220,JPY,0,0,,1240001039244
1240001039244_230_00,230,JPY,0,0,,1240001039244
1240001039244_240_00,240,JPY,0,0,,1240001039244
1240001039244_250_00,250,JPY,0,0,,1240001039244
1240001039244_260_00,260,JPY,0,0,,1240001039244
1240001039244_270_00,270,JPY,0,0,,1240001039244
1240001039244_280_00,280,JPY,0,0,,1240001039244
1240001039244_290_00,290,JPY,0,0,,1240001039244
1240001039244_300_00,300,JPY,0,0,,1240001039244
1240001039244_310_00,310,JPY,0,0,,1240001039244
1240001039244_320_00,320,JPY,0,0,,1240001039244
1240001039244_330_00,330,JPY,0,0,,1240001039244
1240001039244_340_00,340,JPY,0,0,,1240001039244
1240001039244_350_00,350,JPY,0,0,,1240001039244
1240001039244_360_00,360,JPY,0,0,,1240001039244
1240001039244_370_00,370,JPY,0,0,,1240001039244
1240001039244_380_00,380,JPY,0,0,,1240001039244
1240001039244_390_00,390,JPY,0,0,,1240001039244
1240001039244_400_00,400,JPY,0,0,,1240001039244
1240001039244_410_00,410,JPY,0,0,,1240001039244
1240001039244_420_00,420,JPY,0,0,,1240001039244
1240001039244_430_00,430,JPY,0,0,,1240001039244
1240001039244_440_00,440,JPY,0,0,,1240001039244
1240001039244_450_00,450,JPY,0,0,,1240001039244
1240001039244_460_00,460,JPY,0,0,,1240001039244
1240001039244_470_00,470,JPY,0,0,,1240001039244
1240001039244_480_00,480,JPY,0,0,,1240001039244
1240001039244_490_00,490,JPY,0,0,,1240001039244
1240001039244_500_00,500,JPY,0,0,,1240001039244
1240001039244_510_00,510,JPY,0,0,,1240001039244
1240001039244_520_00,520,JPY,0,0,,1240001039244
1240001039244_530_00,530,JPY,0,0,,1240001039244
1240001039244_540_00,540,JPY,0,0,,1240001039244
1240001039244_550_00,550,JPY,0,0,,1240001039244
1240001039244_560_00,560,JPY,0,0,,1240001039244
1240001039244_570_00,570,JPY,0,0,,1240001039244
1240001039244_580_00,580,JPY,0,0,,1240001039244
1240001039244_590_00,590,JPY,0,0,,1240001039244
1240001039244_600_00,600,JPY,0,0,,1240001039244
1240001039244_610_00,610,JPY,0,0,,1240001039244
1240001039244_620_00,620,JPY,0,0,,1240001039244
1240001039244_640_00,640,JPY,0,0,,1240001039244
1240001039244_650_00,650,JPY,0,0,,1240001039244
1240001039244_660_00,660,JPY,0,0,,1240001039244
1240001039244_670_00,670,JPY,0,0,,1240001039244
1240001039244_680_00,680,JPY,0,0,,1240001039244
1240001039244_690_00,690,JPY,0,0,,1240001039244
1240001039244_700_00,700,JPY,0,0,,1240001039244
1240001039244_710_00,710,JPY,0,0,,1240001039244
1240001039244_720_00,720,JPY,0,0,,1240001039244
1240001039244_730_00,730,JPY,0,0,,1240001039244
1240001039244_740_00,740,JPY,0,0,,1240001039244
1240001039244_750_00,750,JPY,0,0,,1240001039244
1240001039244_760_00,760,JPY,0,0,,1240001039244
1240001039244_770_00,770,JPY,0,0,,1240001039244
1240001039244_780_00,780,JPY,0,0,,1240001039244
1240001039244_790_00,790,JPY,0,0,,1240001039244
1240001039244_800_00,800,JPY,0,0,,1240001039244
1240001039244_810_00,810,JPY,0,0,,1240001039244
1240001039244_820_00,820,JPY,0,0,,1240001039244
1240001039244_830_00,830,JPY,0,0,,1240001039244
1240001039244_840_00,840,JPY,0,0,,1240001039244
1240001039244_850_00,850,JPY,0,0,,1240001039244
1240001039244_860_00,860,JPY,0,0,,1240001039244
1240001039244_870_00,870,JPY,0,0,,1240001039244
1240001039244_880_00,880,JPY,0,0,,1240001039244
1240001039244_890_00,890,JPY,0,0,,1240001039244
1240001039244_900_00,900,JPY,0,0,,1240001039244
1240001039244_910_00,910,JPY,0,0,,1240001039244
1240001039244_920_00,920,JPY,0,0,,1240001039244
1240001039244_930_00,930,JPY,0,0,,1240001039244
1240001039244_940_00,940,JPY,0,0,,1240001039244
1240001039244_950_00,950,JPY,0,0,,1240001039244
1240001039244_960_00,960,JPY,0,0,,1240001039244
1240001039244_970_00,970,JPY,0,0,,1240001039244
1240001039244_990_00,990,JPY,0,0,,1240001039244
1240001039244_1000_00,1000,JPY,0,0,,1240001039244
1240001039244_1010_00,1010,JPY,0,0,,1240001039244
1240001039244_1020_00,1020,JPY,0,0,,1240001039244
1240001039244_1030_00,1030,JPY,0,0,,1240001039244
1240001039244_1040_00,1040,JPY,0,0,,1240001039244
1240001039244_1050_00,1050,JPY,0,0,,1240001039244
1240001039244_1060_00,1060,JPY,0,0,,1240001039244
1240001039244_1070_00,1070,JPY,0,0,,1240001039244
1240001039244_1090_00,1090,JPY,0,0,,1240001039244
1240001039244_1100_00,1100,JPY,0,0,,1240001039244
1240001039244_1110_00,1110,JPY,0,0,,1240001039244
1240001039244_1130_00,1130,JPY,0,0,,1240001039244
1240001039244_1150_00,1150,JPY,0,0,,1240001039244
