fare_id,route_id,origin_id,destination_id,contains_id
1240001039244_150_00,2087974001,124 1,126 1,
1240001039244_150_00,2087974001,124 1,111 1,
1240001039244_150_00,2087974001,262 1,261 1,
1240001039244_150_00,2087974001,164 1,154 1,
1240001039244_150_00,2087974001,327 10,325 10,
1240001039244_150_00,2087974001,126 1,126 2,
1240001039244_150_00,2087974001,332 10,327 10,
1240001039244_150_00,2087974001,324 10,322 10,
1240001039244_150_00,2087974001,222 1,109 1,
1240001039244_150_00,2087974001,104 1,116 1,
1240001039244_150_00,2087974001,376 1,252 2,
1240001039244_150_00,2087974001,376 1,261 1,
1240001039244_150_00,2087974001,150 1,62 1,
1240001039244_150_00,2087974001,329 10,325 10,
1240001039244_150_00,2087974001,45 7,116 1,
1240001039244_150_00,2087974001,45 7,194 1,
1240001039244_150_00,2087974001,65 1,242 1,
1240001039244_150_00,821794851,153 1,253 1,
1240001039244_150_00,821794851,153 1,225 1,
1240001039244_150_00,821794851,53 1,133 1,
1240001039244_150_00,821794851,157 1,243 1,
1240001039244_150_00,821794851,157 1,120 2,
1240001039244_150_00,821794851,68 1,163 1,
1240001039244_150_00,821794851,57 1,121 1,
1240001039244_150_00,821794851,120 2,131 1,
1240001039244_150_00,821794851,194 1,211 1,
1240001039244_150_00,821794851,156 1,120 2,
1240001039244_150_00,821794851,131 1,50 1,
1240001039244_150_00,3725711698,180 2,48 2,
1240001039244_150_00,3725711698,88 2,42 2,
1240001039244_150_00,3725711698,196 2,244 2,
1240001039244_150_00,3725711698,116 2,196 2,
1240001039244_150_00,3725711698,233 2,210 2,
1240001039244_150_00,866760787,262 1,251 2,
1240001039244_150_00,866760787,376 1,251 2,
1240001039244_150_00,866760787,376 1,252 2,
1240001039244_150_00,866760787,376 1,261 1,
1240001039244_150_00,866760787,65 1,43 1,
1240001039244_150_00,866760787,242 1,43 1,
1240001039244_150_00,1981030781,95 1,388 1,
1240001039244_150_00,1981030781,207 1,28 10,
1240001039244_150_00,1981030781,26 1,40 1,
1240001039244_150_00,1981030781,385 1,183 2,
1240001039244_150_00,1981030781,385 1,139 2,
1240001039244_150_00,1981030781,241 1,28 10,
1240001039244_150_00,1981030781,102 1,241 1,
1240001039244_150_00,1981030781,86 1,184 1,
1240001039244_150_00,1981030781,150 2,388 1,
1240001039244_150_00,1981030781,183 2,56 1,
1240001039244_150_00,1981030781,183 2,145 1,
1240001039244_150_00,1981030781,183 2,139 2,
1240001039244_150_00,1981030781,388 1,26 1,
1240001039244_150_00,1503516782,244 1,45 10,
1240001039244_150_00,1503516782,126 1,126 2,
1240001039244_150_00,1503516782,126 1,125 1,
1240001039244_150_00,1503516782,42 1,124 1,
1240001039244_150_00,1503516782,196 1,244 2,
1240001039244_150_00,1503516782,154 1,116 1,
1240001039244_150_00,1503516782,194 1,154 2,
1240001039244_150_00,1503516782,194 1,154 1,
1240001039244_150_00,1503516782,104 2,194 2,
1240001039244_150_00,1503516782,192 1,124 2,
1240001039244_150_00,1503516782,178 1,124 2,
1240001039244_150_00,1503516782,244 1,116 1,
1240001039244_150_00,1503516782,194 1,244 1,
1240001039244_150_00,1365247614,57 3,19 2,
1240001039244_150_00,1365247614,35 2,215 2,
1240001039244_150_00,1365247614,170 2,84 2,
1240001039244_150_00,1365247614,170 2,105 2,
1240001039244_150_00,1365247614,227 2,120 1,
1240001039244_150_00,1365247614,299 2,84 2,
1240001039244_150_00,1365247614,299 2,215 2,
1240001039244_150_00,1365247614,299 2,19 2,
1240001039244_150_00,1365247614,32 1,227 2,
1240001039244_150_00,1365247614,81 2,248 2,
1240001039244_150_00,1365247614,81 2,105 2,
1240001039244_150_00,66590572,88 1,180 1,
1240001039244_150_00,66590572,88 1,233 1,
1240001039244_150_00,66590572,232 1,64 1,
1240001039244_150_00,66590572,301 2,166 2,
1240001039244_150_00,66590572,50 2,107 2,
1240001039244_150_00,66590572,233 1,232 1,
1240001039244_150_00,66590572,161 2,248 2,
1240001039244_150_00,1981030781,236 1,241 1,
1240001039244_150_00,1981030781,26 1,56 1,
1240001039244_150_00,1981030781,185 1,86 2,
1240001039244_150_00,1981030781,241 1,185 1,
1240001039244_150_00,1981030781,94 1,141 1,
1240001039244_150_00,1981030781,387 1,58 1,
1240001039244_150_00,1981030781,86 2,94 1,
1240001039244_150_00,1981030781,28 1,241 1,
1240001039244_150_00,1981030781,184 1,86 2,
1240001039244_150_00,1981030781,56 1,95 1,
1240001039244_150_00,1981030781,56 1,139 1,
1240001039244_150_00,1981030781,141 1,385 10,
1240001039244_150_00,1981030781,59 1,385 10,
1240001039244_150_00,1981030781,145 1,388 1,
1240001039244_150_00,66590572,6 2,247 2,
1240001039244_150_00,3725711698,115 2,173 2,
1240001039244_150_00,3725711698,42 2,45 2,
1240001039244_150_00,3725711698,42 2,194 2,
1240001039244_150_00,3725711698,29 2,101 2,
1240001039244_150_00,3725711698,210 2,42 2,
1240001039244_150_00,3725711698,210 2,104 2,
1240001039244_150_00,3725711698,169 2,115 2,
1240001039244_150_00,3725711698,48 2,88 2,
1240001039244_150_00,3725711698,88 2,196 2,
1240001039244_150_00,3725711698,10 2,173 2,
1240001039244_150_00,3725711698,173 2,152 10,
1240001039244_150_00,3725711698,244 2,194 2,
1240001039244_150_00,3725711698,194 2,164 2,
1240001039244_150_00,3725711698,104 2,194 2,
1240001039244_150_00,3638106082,196 3,103 1,
1240001039244_150_00,3638106082,20 1,112 1,
1240001039244_150_00,3638106082,103 1,69 1,
1240001039244_150_00,66590572,213 2,33 2,
1240001039244_150_00,66590572,192 2,125 3,
1240001039244_150_00,66590572,34 2,39 2,
1240001039244_150_00,66590572,50 2,34 2,
1240001039244_150_00,3725711698,193 2,78 2,
1240001039244_150_00,3725711698,193 2,233 2,
1240001039244_150_00,3725711698,154 2,45 10,
1240001039244_150_00,3725711698,80 2,142 2,
1240001039244_150_00,3725711698,80 2,233 2,
1240001039244_150_00,3725711698,43 1,127 1,
1240001039244_150_00,3725711698,115 1,29 1,
1240001039244_150_00,3725711698,42 1,48 1,
1240001039244_150_00,3725711698,196 1,210 1,
1240001039244_150_00,3725711698,154 1,116 1,
1240001039244_150_00,3725711698,194 1,116 1,
1240001039244_150_00,3725711698,233 1,180 1,
1240001039244_150_00,3725711698,127 1,164 1,
1240001039244_150_00,3725711698,101 1,194 1,
1240001039244_150_00,821794851,153 2,244 2,
1240001039244_150_00,821794851,57 2,211 2,
1240001039244_150_00,821794851,121 2,243 2,
1240001039244_150_00,821794851,253 2,156 2,
1240001039244_150_00,821794851,253 2,158 2,
1240001039244_150_00,821794851,131 2,57 2,
1240001039244_150_00,821794851,131 2,121 2,
1240001039244_150_00,821794851,131 2,225 2,
1240001039244_150_00,821794851,72 2,50 2,
1240001039244_150_00,821794851,133 1,123 1,
1240001039244_150_00,821794851,225 2,158 2,
1240001039244_150_00,821794851,120 1,243 2,
1240001039244_150_00,821794851,163 1,53 2,
1240001039244_150_00,821794851,243 2,157 2,
1240001039244_150_00,1365247614,57 3,35 1,
1240001039244_150_00,1365247614,299 1,60 1,
1240001039244_150_00,1365247614,60 1,32 1,
1240001039244_150_00,2945865208,412 10,24 10,
1240001039244_150_00,2945865208,168 1,150 1,
1240001039244_150_00,2945865208,183 1,109 1,
1240001039244_150_00,3725711698,244 1,104 1,
1240001039244_150_00,3725711698,244 1,42 1,
1240001039244_150_00,3725711698,244 1,154 1,
1240001039244_150_00,3725711698,42 1,88 1,
1240001039244_150_00,3725711698,42 1,232 1,
1240001039244_150_00,3725711698,194 1,42 1,
1240001039244_150_00,66590572,256 1,33 1,
1240001039244_150_00,66590572,47 1,34 1,
1240001039244_150_00,66590572,135 2,2 1,
1240001039244_150_00,66590572,111 1,192 1,
1240001039244_150_00,66590572,111 1,178 1,
1240001039244_150_00,3725711698,43 1,169 1,
1240001039244_150_00,3725711698,180 1,113 10,
1240001039244_150_00,3725711698,210 1,232 1,
1240001039244_150_00,3725711698,210 1,233 1,
1240001039244_150_00,3725711698,45 1,116 1,
1240001039244_150_00,1503516782,42 2,116 2,
1240001039244_150_00,1503516782,101 2,10 10,
1240001039244_150_00,1503516782,93 1,10 10,
1240001039244_150_00,1503516782,196 2,104 2,
1240001039244_150_00,1503516782,164 2,29 2,
1240001039244_150_00,3638106082,244 1,211 1,
1240001039244_150_00,3638106082,1 1,69 1,
1240001039244_150_00,3638106082,153 1,1 1,
1240001039244_150_00,3638106082,153 1,243 1,
1240001039244_150_00,3638106082,153 1,159 1,
1240001039244_150_00,3638106082,195 1,47 1,
1240001039244_150_00,3638106082,47 1,106 10,
1240001039244_150_00,3638106082,120 3,69 1,
1240001039244_150_00,3638106082,211 1,225 2,
1240001039244_150_00,3638106082,45 5,194 1,
1240001039244_150_00,3638106082,158 1,57 1,
1240001039244_150_00,3638106082,158 1,225 1,
1240001039244_150_00,66590572,61 1,301 1,
1240001039244_150_00,66590572,248 1,247 1,
1240001039244_150_00,66590572,31 1,41 1,
1240001039244_150_00,3254492749,154 3,156 1,
1240001039244_150_00,3254492749,244 1,211 1,
1240001039244_150_00,3254492749,211 1,253 1,
1240001039244_150_00,3254492749,158 1,120 3,
1240001039244_150_00,66590572,6 1,61 1,
1240001039244_150_00,66590572,42 2,244 2,
1240001039244_150_00,66590572,232 2,48 2,
1240001039244_150_00,66590572,232 2,233 2,
1240001039244_150_00,66590572,301 1,131 1,
1240001039244_150_00,66590572,48 2,42 2,
1240001039244_150_00,66590572,88 2,116 2,
1240001039244_150_00,66590572,244 2,45 4,
1240001039244_150_00,66590572,50 1,213 1,
1240001039244_150_00,66590572,104 2,244 2,
1240001039244_150_00,66590572,116 2,244 2,
1240001039244_150_00,66590572,116 2,196 2,
1240001039244_150_00,66590572,161 1,6 1,
1240001039244_150_00,1365247614,84 1,57 3,
1240001039244_150_00,1365247614,84 1,227 1,
1240001039244_150_00,1365247614,84 1,35 1,
1240001039244_150_00,1365247614,45 3,147 1,
1240001039244_150_00,1365247614,60 1,227 1,
1240001039244_150_00,1365247614,87 1,384 1,
1240001039244_150_00,1365247614,84 2,248 2,
1240001039244_150_00,1365247614,84 2,147 2,
1240001039244_150_00,1365247614,84 2,105 2,
1240001039244_150_00,1365247614,147 2,248 2,
1240001039244_150_00,1365247614,238 1,49 2,
1240001039244_150_00,1365247614,120 1,19 2,
1240001039244_150_00,1416407239,95 1,385 1,
1240001039244_150_00,1416407239,216 1,160 1,
1240001039244_150_00,1416407239,217 1,160 1,
1240001039244_150_00,1416407239,4 1,209 1,
1240001039244_150_00,1416407239,228 1,95 1,
1240001039244_150_00,1416407239,228 1,62 2,
1240001039244_150_00,1416407239,137 2,385 10,
1240001039244_150_00,1416407239,63 1,109 2,
1240001039244_150_00,3725711698,88 1,180 1,
1240001039244_150_00,3725711698,88 1,233 1,
1240001039244_150_00,3725711698,232 1,180 1,
1240001039244_150_00,3725711698,232 1,64 1,
1240001039244_150_00,3725711698,76 1,116 3,
1240001039244_150_00,3725711698,42 1,210 1,
1240001039244_150_00,3725711698,104 1,88 1,
1240001039244_150_00,3725711698,233 1,64 1,
1240001039244_150_00,2871111602,222 2,387 1,
1240001039244_150_00,2871111602,219 1,98 1,
1240001039244_150_00,2871111602,385 1,246 1,
1240001039244_150_00,2871111602,58 1,174 1,
1240001039244_150_00,2871111602,387 1,174 1,
1240001039244_150_00,2871111602,387 1,59 1,
1240001039244_150_00,2871111602,214 1,219 1,
1240001039244_150_00,2871111602,8 1,223 1,
1240001039244_150_00,2871111602,21 1,259 10,
1240001039244_150_00,2871111602,150 2,387 1,
1240001039244_150_00,2871111602,122 1,21 1,
1240001039244_150_00,3038680620,156 2,194 2,
1240001039244_150_00,3038680620,194 2,45 10,
1240001039244_150_00,3038680620,154 3,153 1,
1240001039244_150_00,3038680620,243 1,120 10,
1240001039244_150_00,3038680620,243 1,225 1,
1240001039244_150_00,3038680620,153 1,156 1,
1240001039244_150_00,3038680620,225 1,120 10,
1240001039244_150_00,3038680620,211 1,243 1,
1240001039244_150_00,3038680620,45 5,153 1,
1240001039244_150_00,3038680620,45 5,156 1,
1240001039244_150_00,3038680620,158 1,243 1,
1240001039244_150_00,3038680620,158 1,157 1,
1240001039244_150_00,3725711698,88 2,210 2,
1240001039244_150_00,3725711698,113 1,232 2,
1240001039244_150_00,3725711698,113 1,135 2,
1240001039244_150_00,3725711698,312 2,135 2,
1240001039244_150_00,3725711698,116 2,104 2,
1240001039244_150_00,3038680620,57 3,19 2,
1240001039244_150_00,3038680620,84 2,45 10,
1240001039244_150_00,3038680620,225 1,57 3,
1240001039244_150_00,3038680620,85 2,45 10,
1240001039244_150_00,3038680620,105 2,45 10,
1240001039244_150_00,3038680620,156 1,253 1,
1240001039244_150_00,3038680620,81 2,248 2,
1240001039244_150_00,1365247614,57 3,57 3,
1240001039244_150_00,1365247614,147 1,81 1,
1240001039244_150_00,1365247614,84 1,60 1,
1240001039244_150_00,1365247614,84 1,120 3,
1240001039244_150_00,1365247614,85 1,19 1,
1240001039244_150_00,1365247614,105 1,84 1,
1240001039244_150_00,1365247614,105 1,85 1,
1240001039244_150_00,1365247614,170 1,57 3,
1240001039244_150_00,1365247614,81 1,85 1,
1240001039244_150_00,1365247614,120 3,299 1,
1240001039244_150_00,1365247614,215 1,35 1,
1240001039244_150_00,1365247614,73 1,87 1,
1240001039244_150_00,1365247614,164 2,170 1,
1240001039244_150_00,3038680620,153 1,211 1,
1240001039244_150_00,3038680620,45 5,244 1,
1240001039244_150_00,3038680620,45 5,194 1,
1240001039244_150_00,1981030781,222 2,254 1,
1240001039244_150_00,1981030781,222 2,141 1,
1240001039244_150_00,1981030781,222 2,59 1,
